SAMPLE NUMBER:   6
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  AO     	  AO'		  RV     	  RV'		
-97.96   	-83.92   	 54.77   	-345.88		 10.17   	-610.37		
-98.88   	-93.38   	 53.39   	-325.53		  7.73   	-508.65		
-90.03   	-106.81   	 52.09   	-289.93		  5.70   	-406.92		
-39.98   	-125.43   	 50.93   	-254.32		  4.07   	-300.10		
 91.25   	-141.30   	 49.91   	-228.89		  2.87   	-198.37		
334.17   	-114.75   	 48.99   	-203.46		  2.08   	-111.90		
665.89   	 33.57   	 48.18   	-183.11		  1.63   	 -45.78		
954.90   	382.08   	 47.45   	-167.85		  1.44(D)	   5.09		
993.04   	905.76   	 46.77   	-162.77		  1.46   	  45.78		
645.75   	1410.52(R)	 46.12   	-183.11		  1.65   	 116.99		
-697.94   	1340.64   	 45.39   	-178.03		  2.12   	 122.07		
-1054.69   	670.47   	 44.68   	-183.11		  2.60   	 116.99		
-933.53   	-63.48   	 43.95   	-178.03		  3.07   	  96.64		
-491.03   	-508.73   	 43.23   	-172.94		  3.46   	  71.21		
-56.76   	-538.33   	 42.54   	-167.85		  3.74   	  40.69		
126.65   	-306.40   	 41.87   	-157.68		  3.91   	  15.26		
 51.88   	-76.29   	 41.24   	-147.51		  3.97   	  -5.09		
-115.36   	 -8.54   	 40.65   	-132.25		  3.95   	 -20.35		
-209.66   	-82.40   	 40.12   	-122.07		  3.87   	 -25.43		
-186.46   	-177.00   	 39.63   	-111.90		  3.76   	 -25.43		
-109.86   	-203.86   	 39.19   	 -91.56		  3.66   	  -5.09		
-58.59   	-162.66   	 38.82   	 -86.47		  3.64   	  25.43		
-57.07   	-106.51   	 38.47   	 -71.21		  3.74   	  71.21		
-80.26   	-75.99   	 38.19   	 -71.21		  4.03   	 127.16		
-97.96   	-73.85   	 37.90   	 -66.12		  4.54   	 203.46		
-97.96   	-82.70   	 37.64   	 -61.04		  5.35   	 274.67		
-85.14   	-86.06   	 37.40   	 -66.12		  6.45   	 361.14		
-70.80   	-79.35   	 37.13   	 -66.12		  7.89   	 447.61		
-62.26   	-67.75   	 36.87   	 -71.21		  9.68   	 534.08		
-60.73   	-59.51   	 36.58   	 -71.21		 11.82   	 605.29		
-61.65   	-59.81   	 36.30   	 -71.21		 14.24   	 656.15		
