SAMPLE NUMBER:   9
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RFA     	  RFA'		  RV     	  RV'		
-182.80   	-279.54   	 80.63   	-127.16		 -3.23   	 -35.61		
-169.07   	-253.30   	 80.12   	-116.99		 -3.38   	 -71.21		
-155.03   	-225.52   	 79.65   	-111.90		 -3.66   	 -45.78		
-143.74   	-201.72   	 79.21   	-111.90		 -3.85   	  -5.09		
-138.24   	-188.90   	 78.76   	-106.82		 -3.87(D)	  61.04		
-137.94   	-189.82   	 78.33   	-106.82		 -3.62   	 127.16		
-139.77   	-198.97   	 77.90   	 -91.56		 -3.11   	 142.42		
-138.24   	-205.38   	 77.54   	 -91.56		 -2.54   	 106.82		
-130.92   	-200.20   	 77.17   	 -76.30		 -2.12   	  40.69		
-118.71   	-181.58   	 76.87   	 -76.30		 -1.95   	 -15.26		
-106.51   	-156.25   	 76.56   	 -66.12		 -2.01   	 -30.52		
-99.18   	-134.89   	 76.30   	 -66.12		 -2.14   	 -20.35		
-98.27   	-126.95   	 76.03   	 -61.04		 -2.22   	  15.26		
-102.23   	-136.72   	 75.79   	 -50.86		 -2.16   	  55.95		
-107.42   	-162.96   	 75.58   	 -55.95		 -1.93   	  66.12		
-111.39   	-200.20   	 75.36   	 -45.78		 -1.67   	  50.86		
-115.36   	-240.48   	 75.18   	 -45.78		 -1.46   	  35.61		
-121.15   	-276.18   	 74.99   	 -40.69		 -1.32   	  30.52		
-132.14   	-300.90   	 74.83   	 -40.69		 -1.20   	  55.95		
-149.23   	-314.03   	 74.67   	 -45.78		 -0.98   	  45.78		
-169.68   	-319.52   	 74.49   	 -40.69		 -0.79   	 -10.17		
-188.29   	-323.79   	 74.32   	 -35.61		 -0.83   	-137.33		
-201.11   	-330.51   	 74.18   	 -35.61		 -1.38   	-228.89		
-205.99   	-339.36   	 74.04   	 -30.52		 -2.30   	-223.80		
-205.38   	-346.68   	 73.92   	 -30.52		 -3.19   	-101.73		
-202.33   	-347.60   	 73.79   	 -30.52		 -3.60   	  66.12		
-200.20   	-340.27   	 73.67   	 -30.52		 -3.34   	 193.29		
-199.89   	-327.76   	 73.55   	 -30.52		 -2.56   	 233.98		
-199.89   	-314.33   	 73.43   	 -25.43		 -1.63   	 228.89		
-198.97   	-304.26   	 73.33   	 -20.35		 -0.71   	 198.37		
-196.84   	-298.46   	 73.24   	 -20.35		  0.08   	 157.68		
-194.40   	-295.41   	 73.16   	 -20.35		  0.71   	 137.33		
-192.87   	-293.27   	 73.08   	 -30.52		  1.26   	 142.42		
-191.96   	-292.97   	 72.96   	 -30.52		  1.83   	 162.77		
-190.12   	-300.60   	 72.84   	 -30.52		  2.48   	 183.11		
-183.11   	-323.18   	 72.72   	 -20.35		  3.21   	 188.20		
-166.93   	-361.33   	 72.63   	 -20.35		  3.97   	 167.85		
-141.60   	-403.14   	 72.55   	 -15.26		  4.64   	 116.99		
-111.08   	-419.01   	 72.49   	 -30.52		  5.11   	  55.95		
-80.57   	-369.26   	 72.37   	 -35.61		  5.33   	  15.26		
-50.35   	-222.17   	 72.23   	 -25.43		  5.39   	  10.17		
 -8.85   	 27.47   	 72.13   	 -15.26		  5.43   	   5.09		
 54.93   	355.53   	 72.06   	 -10.17		  5.45   	  -5.09		
133.36   	718.69   	 72.02   	 -15.26		  5.43   	 -20.35		
198.06   	1062.62   	 71.96   	 -35.61		  5.35(E)	  55.95		
154.11   	1379.70(R)	 71.82   	 -25.43		  5.57   	 111.90		
 31.13   	1208.19   	 71.72   	 -25.43		  6.02   	 132.25		
-118.71   	805.66   	 71.62   	 -30.52		  6.55   	 127.16		
-251.77   	268.55   	 71.50   	 -30.52		  7.06   	 101.73		
-334.47   	-244.75   	 71.37   	 -20.35		  7.47   	  86.47		
-351.26   	-598.75   	 71.29   	 -25.43		  7.81   	  45.78		
-305.48   	-744.32   	 71.19   	 -25.43		  8.00   	 -20.35		
-223.08   	-715.33   	 71.09   	 -40.69		  7.91   	 -61.04		
-144.65   	-588.99   	 70.93   	 -40.69		  7.67   	 -61.04		
-103.76   	-444.64   	 70.76   	 -35.61		  7.43   	 -66.12		
-109.56   	-338.13   	 70.62   	 -25.43		  7.16   	 -30.52		
-143.74   	-289.92   	 70.52   	 -25.43		  7.04   	  71.21		
-174.56   	-291.14   	 70.42   	 -30.52		  7.32   	 233.98		
-180.66   	-315.55   	 70.29   	 -35.61		  8.26   	 396.74		
-164.18   	-334.47   	 70.15   	 -35.61		  9.85   	 498.47		
-140.08   	-332.64   	 70.01   	 -30.52		 11.84   	 513.73		
-123.60   	-315.86   	 69.89   	 -30.52		 13.90   	 412.00		
-119.63   	-300.60   	 69.77   	 -40.69		 15.54   	 340.79		
-123.60   	-297.55   	 69.60   	 -35.61		 16.91   	 442.52		
-129.70   	-305.79   	 69.46   	 -35.61		 18.68   	 518.82		
-132.75   	-318.91   	 69.32   	 -40.69		 20.75   	 518.82		
-131.53   	-330.81   	 69.16   	 -45.78		 22.83   	 574.77		
-127.56   	-338.75   	 68.97   	 -45.78		 25.13   	 610.37		
-123.90   	-343.32   	 68.79   	 -40.69		 27.57   	 625.63		
-122.99   	-345.15   	 68.63   	 -30.52		 30.07   	 590.03		
-125.73   	-339.66   	 68.50   	 -30.52		 32.43   	 386.57		
-124.21   	-330.51   	 68.38   	 -35.61		 33.98   	 264.50		
-118.41   	-315.86   	 68.24   	 -45.78		 35.04   	 213.63		
-109.25   	-299.07   	 68.06   	 -40.69		 35.89   	 183.11		
-99.79   	-284.12   	 67.89   	 -40.69		 36.62   	 203.46		
-92.77   	-275.57   	 67.73   	 -35.61		 37.44   	 203.46		
