SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  AO     	  AO'		
-22.58   	-233.15   	 12.11   	 401.83		 87.71   	-111.90		
-19.23   	-241.09   	 13.71   	 467.95		 87.26   	 -61.04		
-10.68   	-233.76   	 15.58   	 544.25		 87.02   	 -30.52		
 -3.36   	-216.98   	 17.76   	 686.67		 86.90   	 -61.04		
  0.31   	-199.58   	 20.51   	 854.52		 86.65   	 -91.56		
  1.53   	-188.90   	 23.93   	 925.73		 86.29   	 -86.47		
  2.75   	-184.63   	 27.63   	 879.96		 85.94   	 -55.95		
  5.19   	-181.27   	 31.15   	 798.57		 85.72   	 -45.78		
  8.85   	-175.48   	 34.34   	 757.88		 85.53   	 -66.12		
 12.82   	-165.71   	 37.38   	 773.14		 85.27   	 -86.47		
 16.78   	-154.42   	 40.47   	 798.57		 84.92   	 -76.30		
 21.06   	-142.82   	 43.66   	 773.14		 84.62   	 -45.78		
 25.63   	-130.62   	 46.75   	 681.58		 84.44   	 -50.86		
 30.52   	-118.10   	 49.48   	 574.77		 84.23   	 -91.56		
 36.32   	-104.37   	 51.78   	 503.56		 83.87   	-132.25		
 43.33   	-90.03   	 53.79   	 437.43		 83.34   	-132.25		
 52.19   	-74.77   	 55.54   	 386.57		 82.81   	-111.90		
 61.95   	-58.90   	 57.09   	 320.45		 82.36   	 -96.64		
 71.41   	-41.50   	 58.37   	 228.89		 81.97   	-116.99		
 79.65   	-22.89   	 59.29   	 137.33		 81.51   	-137.33		
 86.98   	 -1.53   	 59.84   	  71.21		 80.96   	-122.07		
 95.21   	 23.50   	 60.12   	   5.09		 80.47   	 -91.56		
104.98   	 53.10   	 60.14(S)	 -50.86		 80.10   	 -66.12		
117.19   	 87.89   	 59.94   	-122.07		 79.84   	 -45.78		
130.62   	126.65   	 59.45   	-193.29		 79.65(D)	  30.52		
144.35   	168.46   	 58.68   	-254.32		 79.78   	 208.54		
157.17   	211.18   	 57.66   	-300.10		 80.61   	 437.43		
168.46   	253.60   	 56.46   	-310.27		 82.36   	 645.98		
178.83   	294.80   	 55.22   	-284.84		 84.94   	 859.61		
188.29   	333.56   	 54.08   	-279.75		 88.38   	1037.64		
197.14   	367.74   	 52.96   	-295.01		 92.53   	1154.62		
203.86   	395.81   	 51.78   	-300.10		 97.15   	1149.54		
207.82   	417.79   	 50.58   	-305.19		101.75   	1042.72		
209.35   	435.49   	 49.36   	-300.10		105.92   	 915.56		
209.35   	451.97   	 48.16   	-274.67		109.58   	 798.57		
209.05   	468.75   	 47.06   	-223.80		112.78   	 666.32		
208.44   	483.09   	 46.16   	-193.29		115.44   	 523.90		
204.16   	488.28   	 45.39   	-178.03		117.54   	 386.57		
194.09   	476.38   	 44.68   	-167.85		119.08   	 300.10		
177.00   	444.03   	 44.01   	-157.68		120.28   	 259.41		
154.11   	391.54   	 43.38   	-137.33		121.32   	 239.06		
128.17   	325.62   	 42.83   	-101.73		122.28   	 249.24		
101.93   	253.60   	 42.42   	 -81.38		123.28   	 274.67		
 77.21   	181.58   	 42.10   	 -71.21		124.37   	 284.84		
 54.32   	113.53   	 41.81   	 -66.12		125.51   	 269.58		
 33.57   	 52.19   	 41.55   	 -66.12		126.59   	 264.50		
 14.65   	 -2.14   	 41.28   	 -76.30		127.65   	 274.67		
 -2.14   	-48.22   	 40.98   	 -71.21		128.75   	 269.58		
