SAMPLE NUMBER:   4
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  RFA     	  RFA'		
-13.73   	192.26   	  6.55   	 -30.52		 54.43   	-111.90		
-40.28   	133.36   	  6.43   	 -15.26		 53.98   	 -96.64		
-61.95   	 83.31   	  6.37   	 -15.26		 53.59   	 -81.38		
-75.38   	 50.05   	  6.31   	  -5.09		 53.27   	 -66.12		
-80.87   	 32.65   	  6.29(D)	   5.09		 53.00   	 -61.04		
-81.48   	 24.72   	  6.31   	  15.26		 52.76   	 -55.95		
-80.57   	 20.45   	  6.37   	  15.26		 52.53   	 -61.04		
-80.26   	 18.31   	  6.43   	  20.35		 52.29   	 -61.04		
-81.18   	 17.70   	  6.51   	  15.26		 52.04   	 -55.95		
-82.09   	 18.01   	  6.57   	  15.26		 51.82   	 -55.95		
-83.31   	 18.01   	  6.63   	  15.26		 51.60   	 -45.78		
-83.92   	 16.17   	  6.69   	  15.26		 51.41   	 -35.61		
-84.23   	 13.43   	  6.75   	  20.35		 51.27   	 -40.69		
-84.23   	 11.60   	  6.84   	  15.26		 51.11   	 -35.61		
-83.92   	 11.29   	  6.90   	  20.35		 50.97   	 -30.52		
-82.70   	 11.60   	  6.98   	  20.35		 50.84   	 -30.52		
-81.18   	 11.60   	  7.06   	  25.43		 50.72   	 -25.43		
-79.96   	 10.68   	  7.16   	  25.43		 50.62   	 -30.52		
-79.65   	 10.68   	  7.26   	  25.43		 50.50   	 -30.52		
-81.79   	 14.04   	  7.37   	  30.52		 50.38   	 -35.61		
-91.86   	 30.21   	  7.49   	  30.52		 50.23   	 -40.69		
-120.54   	 83.01   	  7.61   	  30.52		 50.07   	 -35.61		
-170.90   	203.25   	  7.73   	  30.52		 49.93   	 -45.78		
-216.37   	409.55   	  7.85   	  30.52		 49.75   	 -40.69		
-192.26   	654.60   	  7.98   	  35.61		 49.58   	 -35.61		
282.90   	619.81   	  8.12   	  25.43		 49.44   	 -35.61		
646.36   	 75.99   	  8.22   	  25.43		 49.30   	 -30.52		
900.88   	-738.53   	  8.32   	  20.35		 49.18   	 -35.61		
921.94   	-1533.20   	  8.40   	  15.26		 49.03   	 -35.61		
708.92   	-2001.04   	  8.46   	  15.26		 48.89   	 -45.78		
380.25   	-2007.75(R)	  8.52(E)	  10.17		 48.71   	 -50.86		
 78.43   	-1651.61   	  8.57   	  10.17		 48.50   	 -45.78		
-127.87   	-1164.55   	  8.61   	   5.09		 48.32   	 -45.78		
-260.31   	-762.02   	  8.63   	   5.09		 48.14   	 -40.69		
-369.26   	-549.62   	  8.65   	   5.09		 47.98   	 -45.78		
-470.89   	-518.49   	  8.67   	   0.00		 47.79   	 -55.95		
-534.97   	-581.67   	  8.67   	   0.00		 47.57   	 -50.86		
-523.07   	-626.83   	  8.67   	  10.17		 47.37   	 -45.78		
-431.52   	-569.76   	  8.71   	  15.26		 47.18   	 -40.69		
-296.63   	-389.10   	  8.77   	  20.35		 47.02   	 -40.69		
-169.07   	-143.74   	  8.85   	  25.43		 46.86   	 -45.78		
-85.14   	 62.26   	  8.95   	  25.43		 46.67   	 -50.86		
-53.10   	156.56   	  9.05   	  30.52		 46.47   	 -55.95		
-56.76   	145.87   	  9.18   	  30.52		 46.25   	 -50.86		
-70.80   	 93.69   	  9.30   	  40.69		 46.04   	 -55.95		
-76.90   	 61.34   	  9.46   	  55.95		 45.82   	 -50.86		
-70.19   	 68.36   	  9.68   	  61.04		 45.62   	 -55.95		
-57.37   	 96.13   	  9.93   	  71.21		 45.39   	 -55.95		
-47.00   	118.71   	 10.21   	  96.64		 45.17   	 -45.78		
-42.72   	125.12   	 10.60   	 178.03		 44.98   	 -45.78		
-40.28   	117.19   	 11.31   	 193.29		 44.80   	 -45.78		
-37.54   	117.80   	 12.09   	 218.72		 44.62   	 -45.78		
-34.18   	123.60   	 12.96   	 249.24		 44.44   	 -40.69		
-30.21   	131.23   	 13.96   	 269.58		 44.27   	 -50.86		
-25.94   	137.63   	 15.04   	 274.67		 44.07   	 -55.95		
-21.97   	140.38   	 16.13   	 279.75		 43.85   	 -61.04		
-17.70   	140.99   	 17.25   	 274.67		 43.60   	 -66.12		
-13.12   	141.30   	 18.35   	 269.58		 43.34   	 -66.12		
 -8.24   	142.82   	 19.43   	 259.41		 43.07   	 -55.95		
 -3.36   	145.87   	 20.47   	 239.06		 42.85   	 -40.69		
  1.53   	149.84   	 21.42   	 228.89		 42.69   	 -35.61		
  6.71   	155.03   	 22.34   	 203.46		 42.54   	 -30.52		
 12.82   	160.52   	 23.15   	 188.20		 42.42   	 -20.35		
 20.14   	166.32   	 23.91   	 172.94		 42.34   	 -20.35		
 28.08   	171.51   	 24.60   	 157.68		 42.26   	 -25.43		
 35.10   	176.39   	 25.23   	 132.25		 42.16   	 -30.52		
 41.20   	181.58   	 25.76   	 122.07		 42.03   	 -40.69		
 47.00   	187.38   	 26.25   	 101.73		 41.87   	 -30.52		
 53.71   	193.48   	 26.65   	  86.47		 41.75   	  -5.09		
 61.95   	198.36   	 27.00   	  76.30		 41.73(D)	  30.52		
 71.11   	201.72   	 27.30   	  66.12		 41.85   	  66.12		
 79.35   	203.25   	 27.57   	  50.86		 42.12   	 111.90		
 86.06   	204.47   	 27.77   	  40.69		 42.56   	 157.68		
 92.16   	205.99   	 27.93   	  25.43		 43.19   	 213.63		
 98.88   	208.74   	 28.04   	  25.43		 44.05   	 350.97		
115.66   	211.79   	 28.14   	  20.35		 45.45   	 361.14		
123.29   	211.49   	 28.22   	  20.35		 46.90   	 356.05		
129.09   	211.49   	 28.30   	  20.35		 48.32   	 340.79		
133.06   	213.01   	 28.38   	  25.43		 49.68   	 330.62		
137.33   	215.15   	 28.48   	  20.35		 51.01   	 335.71		
142.21   	216.37   	 28.57   	  20.35		 52.35   	 350.97		
147.71   	215.76   	 28.65   	  20.35		 53.75   	 376.40		
153.20   	213.62   	 28.73   	  30.52		 55.26   	 401.83		
158.08   	211.79   	 28.85   	  30.52		 56.87   	 417.09		
162.05   	213.01   	 28.97   	  25.43		 58.53   	 422.18		
165.41   	217.90   	 29.07   	  35.61		 60.22   	 417.09		
168.15   	225.83   	 29.22   	  30.52		 61.89   	 401.83		
169.37   	234.68   	 29.34   	  30.52		 63.50   	 381.48		
166.63   	241.70   	 29.46   	  30.52		 65.03   	 350.97		
157.78   	245.36   	 29.58   	  35.61		 66.43   	 315.36		
142.21   	245.06   	 29.73   	  25.43		 67.69   	 284.84		
121.46   	240.17   	 29.83   	  20.35		 68.83   	 254.32		
 97.96   	230.41   	 29.91   	  15.26		 69.85   	 239.06		
 74.77   	215.76   	 29.97   	  10.17		 70.80   	 218.72		
 52.49   	196.84   	 30.01   	  10.17		 71.68   	 193.29		
 30.82   	176.09   	 30.05(S)	  -5.09		 72.45   	 162.77		
 10.68   	156.25   	 30.03   	  -5.09		 73.10   	 127.16		
 -7.32   	139.47   	 30.01   	 -15.26		 73.61   	  91.56		
-22.28   	126.04   	 29.95   	 -25.43		 73.98   	  61.04		
-33.57   	114.44   	 29.85   	 -30.52		 74.22   	  35.61		
-41.50   	103.76   	 29.73   	 -40.69		 74.36   	  10.17		
-47.61   	 94.30   	 29.56   	 -55.95		 74.40(S)	  -5.09		
-51.88   	 86.67   	 29.34   	 -66.12		 74.38   	 -25.43		
-55.24   	 81.48   	 29.07   	 -81.38		 74.28   	 -40.69		
-57.68   	 77.82   	 28.75   	-101.73		 74.12   	 -61.04		
-59.51   	 74.46   	 28.34   	-116.99		 73.88   	 -76.30		
-61.04   	 69.89   	 27.87   	-137.33		 73.57   	 -86.47		
-61.95   	 65.92   	 27.32   	-152.59		 73.22   	-111.90		
-61.95   	 63.48   	 26.71   	-183.11		 72.78   	-122.07		
-61.65   	 62.87   	 25.98   	-203.46		 72.29   	-137.33		
-61.34   	 62.87   	 25.17   	-228.89		 71.74   	-142.42		
-61.04   	 61.65   	 24.25   	-239.06		 71.17   	-132.25		
-61.04   	 59.51   	 23.30   	-259.41		 70.64   	-132.25		
-61.34   	 56.46   	 22.26   	-274.67		 70.11   	-137.33		
-61.34   	 54.63   	 21.16   	-300.10		 69.56   	-142.42		
-61.34   	 54.32   	 19.96   	-315.36		 68.99   	-137.33		
-61.04   	 54.63   	 18.70   	-310.27		 68.44   	-142.42		
-60.73   	 54.32   	 17.46   	-305.19		 67.87   	-157.68		
-60.42   	 53.71   	 16.24   	-305.19		 67.24   	-183.11		
-59.51   	 54.32   	 15.02   	-295.01		 66.51   	-208.54		
-57.68   	 57.37   	 13.84   	-269.58		 65.68   	-218.72		
-53.71   	 64.39   	 12.76   	-254.32		 64.80   	-239.06		
-47.61   	 73.85   	 11.74   	-239.06		 63.85   	-244.15		
-39.98   	 83.92   	 10.78   	-218.72		 62.87   	-239.06		
-32.65   	 93.38   	  9.91   	-188.20		 61.91   	-228.89		
-26.86   	101.62   	  9.16   	-167.85		 61.00   	-213.63		
-23.19   	107.12   	  8.48   	-142.42		 60.14   	-193.29		
-22.28   	108.95   	  7.91   	-127.16		 59.37   	-178.03		
-22.58   	108.03   	  7.41   	-106.82		 58.66   	-157.68		
-21.67   	108.95   	  6.98   	 -96.64		 58.03   	-152.59		
-16.17   	118.10   	  6.59   	 -96.64		 57.42   	-152.59		
 -3.05   	140.99   	  6.21   	 -86.47		 56.81   	-152.59		
 17.70   	176.39   	  5.86   	 -81.38		 56.20   	-152.59		
 40.89   	215.76   	  5.53   	 -71.21		 55.58   	-152.59		
 59.20   	248.11   	  5.25   	 -61.04		 54.97   	-152.59		
 65.31   	261.84   	  5.01   	 -61.04		 54.36   	-142.42		
 55.24   	250.85   	  4.76   	 -45.78		 53.79   	-122.07		
 32.04   	216.37   	  4.58   	 -35.61		 53.31   	-101.73		
  2.14   	166.32   	  4.44   	 -20.35		 52.90   	 -91.56		
-25.63   	113.83   	  4.35   	 -10.17		 52.53   	 -81.38		
-46.39   	 69.27   	  4.31   	  -5.09		 52.21   	 -76.30		
-59.20   	 39.06   	  4.29(D)	  10.17		 51.90   	 -81.38		
-65.61   	 20.75   	  4.33   	  20.35		 51.58   	 -81.38		
-68.66   	 10.38   	  4.42   	  25.43		 51.25   	 -86.47		
-69.89   	  4.58   	  4.52   	  25.43		 50.91   	 -81.38		
-70.19   	  2.14   	  4.62   	  25.43		 50.58   	 -66.12		
-69.89   	  0.92   	  4.72   	  30.52		 50.32   	 -50.86		
-70.50   	 -0.92   	  4.84   	  35.61		 50.11   	 -35.61		
-72.02   	 -3.66   	  4.98   	  30.52		 49.97   	 -40.69		
-74.16   	 -6.71   	  5.11   	  25.43		 49.81   	 -35.61		
-75.68   	 -7.93   	  5.21   	  30.52		 49.66   	 -30.52		
-75.68   	 -7.02   	  5.33   	  30.52		 49.54   	 -35.61		
-75.38   	 -5.80   	  5.45   	  30.52		 49.40   	 -30.52		
-75.07   	 -6.10   	  5.57   	  25.43		 49.28   	 -30.52		
-75.99   	 -8.54   	  5.68   	  30.52		 49.16   	 -30.52		
-77.51   	-11.60   	  5.80   	  30.52		 49.03   	 -30.52		
-79.65   	-12.51   	  5.92   	  30.52		 48.91   	 -35.61		
-84.53   	 -7.02   	  6.04   	  25.43		 48.77   	 -45.78		
-101.93   	 18.92   	  6.14   	  25.43		 48.59   	 -40.69		
-144.04   	 91.86   	  6.25   	  30.52		 48.42   	 -30.52		
