SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  AO     	  AO'		  RV     	  RV'		
 47.16   	 -40.69		  3.32   	  10.17		
 47.00   	 -40.69		  3.36   	  10.17		
 46.84   	 -35.61		  3.40   	   5.09		
 46.69   	 -40.69		  3.42   	  10.17		
 46.53   	 -35.61		  3.46   	  10.17		
 46.39   	 -35.61		  3.50   	  10.17		
 46.25   	 -30.52		  3.54   	  10.17		
 46.12   	 -35.61		  3.58   	  10.17		
 45.98   	 -40.69		  3.62   	  10.17		
 45.82   	 -35.61		  3.66   	  15.26		
 45.68   	 -35.61		  3.72   	  15.26		
 45.53   	 -40.69		  3.78   	  15.26		
 45.37   	 -40.69		  3.85   	  10.17		
 45.21   	 -40.69		  3.89   	  20.35		
 45.05   	 -40.69		  3.97   	  25.43		
 44.88   	 -40.69		  4.07   	  25.43		
 44.72   	 -40.69		  4.17   	  20.35		
 44.56   	 -35.61		  4.25   	  25.43		
 44.41   	 -35.61		  4.35   	  25.43		
 44.27   	 -40.69		  4.46   	  20.35		
 44.11   	 -35.61		  4.54(E)	  20.35		
 43.97   	 -30.52		  4.62   	  20.35		
 43.85   	 -35.61		  4.70   	  20.35		
 43.70   	 -35.61		  4.78   	  15.26		
 43.56   	 -30.52		  4.84   	  10.17		
 43.44   	 -30.52		  4.88   	  10.17		
 43.32   	 -35.61		  4.92   	  10.17		
 43.17   	 -30.52		  4.96   	  10.17		
 43.05   	 -35.61		  5.01   	   5.09		
 42.91   	 -35.61		  5.03   	   0.00		
 42.77   	 -30.52		  5.03   	   5.09		
 42.64   	 -30.52		  5.05   	  20.35		
 42.52   	 -35.61		  5.13   	  20.35		
 42.38   	 -30.52		  5.21   	  15.26		
 42.26   	 -35.61		  5.27   	  20.35		
 42.12   	 -35.61		  5.35   	  30.52		
 41.97   	 -30.52		  5.47   	  45.78		
 41.85   	 -35.61		  5.66   	  61.04		
 41.71   	 -30.52		  5.90   	  76.30		
 41.59   	 -25.43		  6.21   	  96.64		
 41.49   	 -25.43		  6.59   	 122.07		
 41.38   	 -25.43		  7.08   	 137.33		
 41.28   	 -25.43		  7.63   	 162.77		
 41.18   	 -25.43		  8.28   	 188.20		
 41.08   	 -35.61		  9.03   	 264.50		
 40.94   	 -35.61		 10.09   	 279.75		
 40.79   	 -35.61		 11.21   	 295.01		
 40.65   	 -35.61		 12.39   	 315.36		
 40.51   	 -30.52		 13.65   	 330.62		
 40.39   	 -30.52		 14.97   	 340.79		
 40.26   	 -25.43		 16.34   	 340.79		
 40.16   	 -25.43		 17.70   	 345.88		
 40.06   	 -25.43		 19.08   	 350.97		
 39.96   	 -20.35		 20.49   	 345.88		
 39.88   	 -25.43		 21.87   	 340.79		
 39.78   	 -25.43		 23.23   	 330.62		
 39.67   	 -20.35		 24.56   	 315.36		
 39.59   	 -25.43		 25.82   	 305.19		
 39.49   	 -25.43		 27.04   	 295.01		
 39.39   	 -20.35		 28.22   	 274.67		
 39.31   	 -15.26		 29.32   	 264.50		
 39.25   	 -15.26		 30.38   	 249.24		
 39.19   	  -5.09		 31.37   	 233.98		
 39.17(D)	   5.09		 32.31   	 213.63		
 39.19   	  20.35		 33.16   	 208.54		
 39.27   	  45.78		 34.00   	 193.29		
 39.45   	  71.21		 34.77   	 188.20		
 39.74   	 111.90		 35.52   	 172.94		
 40.18   	 147.51		 36.22   	 167.85		
 40.77   	 249.24		 36.89   	 183.11		
 41.77   	 274.67		 37.62   	 172.94		
 42.87   	 295.01		 38.31   	 167.85		
 44.05   	 310.27		 38.98   	 167.85		
 45.29   	 325.53		 39.65   	 162.77		
 46.59   	 335.71		 40.31   	 157.68		
 47.93   	 335.71		 40.94   	 157.68		
 49.28   	 345.88		 41.57   	 157.68		
 50.66   	 345.88		 42.20   	 152.59		
 52.04   	 356.05		 42.81   	 152.59		
 53.47   	 356.05		 43.42   	 147.51		
 54.89   	 356.05		 44.01   	 142.42		
 56.32   	 356.05		 44.58   	 142.42		
 57.74   	 350.97		 45.15   	 137.33		
 59.15   	 345.88		 45.70   	 132.25		
 60.53   	 330.62		 46.23   	 127.16		
 61.85   	 325.53		 46.73   	 116.99		
 63.15   	 310.27		 47.20   	 111.90		
 64.39   	 305.19		 47.65   	 101.73		
 65.62   	 300.10		 48.06   	  96.64		
 66.82   	 295.01		 48.44   	  86.47		
 68.00   	 289.93		 48.79   	  76.30		
 69.16   	 284.84		 49.09   	  71.21		
 70.29   	 264.50		 49.38   	  55.95		
 71.35   	 244.15		 49.60   	  50.86		
 72.33   	 213.63		 49.81   	  40.69		
 73.18   	 172.94		 49.97   	  40.69		
 73.88   	 127.16		 50.13   	  30.52		
 74.38   	  81.38		 50.25   	  25.43		
