SAMPLE NUMBER:   1
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  AO     	  AO'		  SVC     	  SVC'		
151.98   	135.50   	 31.45   	 137.33		 66.55   	 473.04		  2.32   	   0.00		
137.94   	112.92   	 32.00   	  66.12		 68.44   	 376.40		  2.32   	   0.00		
116.27   	 89.42   	 32.27   	  55.95		 69.95   	 335.71		  2.32   	   0.00		
116.27   	 89.42   	 32.49(S)	 -25.43		 71.29   	 193.29		  2.32   	   5.09		
106.20   	108.95   	 32.39   	 -66.12		 72.06   	 116.99		  2.34   	   0.00		
112.00   	145.26   	 32.13   	-101.73		 72.53   	  40.69		  2.34   	   5.09		
124.21   	189.82   	 31.72   	-137.33		 72.70(S)	 -25.43		  2.36(V)	   0.00		
140.08   	227.66   	 31.17   	-228.89		 72.59   	-147.51		  2.36   	  -5.09		
172.73   	255.13   	 30.25   	-259.41		 72.00   	-188.20		  2.34   	  -5.09		
185.55   	256.04   	 29.22   	-289.93		 71.25   	-223.80		  2.32   	  -5.09		
190.73   	257.57   	 28.06   	-310.27		 70.36   	-259.41		  2.30   	   5.09		
184.02   	253.91   	 26.82   	-335.71		 69.32   	-284.84		  2.32   	   0.00		
163.88   	233.46   	 25.47   	-350.97		 68.18   	-310.27		  2.32   	   5.09		
134.28   	190.43   	 24.07   	-371.31		 66.94   	-320.45		  2.34   	   5.09		
101.62   	129.70   	 22.58   	-386.57		 65.66   	-320.45		  2.36   	   5.09		
 69.89   	 63.17   	 21.04   	-396.74		 64.37   	-320.45		  2.38   	   0.00		
 37.54   	  1.22   	 19.45   	-406.92		 63.09   	-310.27		  2.38   	   5.09		
  3.36   	-49.44   	 17.82   	-417.09		 61.85   	-295.01		  2.40   	   0.00		
-31.13   	-84.23   	 16.15   	-422.18		 60.67   	-269.58		  2.40   	   5.09		
-58.90   	-101.32   	 14.47   	-417.09		 59.59   	-249.24		  2.42   	  10.17		
-73.55   	-102.23   	 12.80   	-417.09		 58.60   	-218.72		  2.46   	   5.09		
-74.46   	-94.60   	 11.13   	-412.00		 57.72   	-193.29		  2.48   	   5.09		
-68.66   	-88.50   	  9.48   	-401.83		 56.95   	-167.85		  2.50   	   5.09		
-64.70   	-89.72   	  7.87   	-381.48		 56.28   	-132.25		  2.52   	  10.17		
-65.92   	-96.44   	  6.35   	-366.22		 55.75   	-111.90		  2.56   	   5.09		
-70.50   	-103.76   	  4.88   	-345.88		 55.30   	 -81.38		  2.58   	  10.17		
-74.46   	-107.12   	  3.50   	-320.45		 54.97   	 -66.12		  2.62   	  10.17		
-75.07   	-107.12   	  2.22   	-295.01		 54.71   	 -50.86		  2.67   	  20.35		
-72.94   	-105.90   	  1.04   	-269.58		 54.51   	 -40.69		  2.75   	  20.35		
-69.58   	-105.59   	 -0.04   	-233.98		 54.34   	 -30.52		  2.83   	  20.35		
-66.83   	-106.81   	 -0.98   	-203.46		 54.22   	 -25.43		  2.91   	  25.43		
-61.95   	-113.53   	 -1.79   	-167.85		 54.12   	 -25.43		  3.01   	  20.35		
-48.52   	-130.92   	 -2.46   	-111.90		 54.02   	 -35.61		  3.09   	  25.43		
 34.48   	-189.21   	 -2.91   	 -76.30		 53.88   	 -40.69		  3.19   	  20.35		
112.92   	-184.94   	 -3.21   	 -40.69		 53.71   	 -45.78		  3.28   	  25.43		
202.33   	-122.38   	 -3.38   	 -15.26		 53.53   	 -55.95		  3.38   	  25.43		
248.11   	-22.58   	 -3.44(D)	  15.26		 53.31   	 -61.04		  3.48   	  30.52		
159.30   	 36.32   	 -3.38   	  35.61		 53.06   	 -66.12		  3.60   	  25.43		
-132.75   	-32.96   	 -3.23   	  61.04		 52.80   	 -71.21		  3.70   	  25.43		
-600.28   	-266.11   	 -2.99   	  86.47		 52.51   	 -76.30		  3.80   	  20.35		
-1081.54   	-592.96   	 -2.64   	  71.21		 52.21   	 -66.12		  3.89   	  20.35		
-1081.54   	-592.96   	 -2.36   	 116.99		 51.94   	 -96.64		  3.97   	  15.26		
-1238.40   	-898.13   	 -1.89   	 106.82		 51.56   	 -81.38		  4.03   	  15.26		
-1238.40   	-898.13   	 -1.46   	 137.33		 51.23   	-101.73		  4.09   	  15.26		
-278.63   	-377.20   	 -0.92   	 116.99		 50.82   	 -96.64		  4.15   	  10.17		
-278.63   	-377.20   	 -0.45   	 142.42		 50.44   	-101.73		  4.19   	   5.09		
226.75   	 96.44   	  0.12   	 122.07		 50.03   	 -96.64		  4.21   	   5.09		
226.75   	 96.44   	  0.61   	 132.25		 49.64   	-101.73		  4.23   	 -10.17		
 24.11   	 39.98   	  1.14   	 116.99		 49.24   	 -91.56		  4.19   	  -5.09		
 24.11   	 39.98   	  1.61   	 122.07		 48.87   	 -96.64		  4.17   	 -15.26		
-13.12   	-24.41   	  2.10   	 111.90		 48.48   	 -91.56		  4.11   	 -10.17		
-13.12   	-24.41   	  2.54   	 111.90		 48.12   	 -96.64		  4.07   	 -20.35		
 74.46   	 42.72   	  2.99   	 111.90		 47.73   	 -96.64		  3.99   	 -15.26		
 72.33   	 54.93   	  3.44   	 106.82		 47.34   	 -91.56		  3.93   	 -20.35		
 52.19   	 47.00   	  3.87   	 111.90		 46.98   	 -86.47		  3.85   	 -20.35		
 37.23   	 35.40   	  4.31   	 106.82		 46.63   	 -81.38		  3.76   	 -20.35		
 37.54   	 31.74   	  4.74   	 116.99		 46.31   	 -76.30		  3.68   	 -20.35		
 49.13   	 37.23   	  5.21   	 162.77		 46.00   	 -81.38		  3.60   	 -25.43		
 69.58   	 52.19   	  5.86   	 178.03		 45.68   	 -71.21		  3.50   	 -25.43		
 71.72   	 56.76   	  6.57   	 203.46		 45.39   	 -76.30		  3.40   	 -25.43		
 73.55   	 61.65   	  7.39   	 218.72		 45.09   	 -66.12		  3.30   	 -15.26		
 78.74   	 68.36   	  8.26   	 249.24		 44.82   	 -61.04		  3.23   	 -20.35		
 88.20   	 78.13   	  9.26   	 274.67		 44.58   	 -55.95		  3.15   	 -15.26		
 99.79   	 89.11   	 10.36   	 300.10		 44.35   	 -50.86		  3.09   	 -10.17		
111.69   	 99.49   	 11.56   	 330.62		 44.15   	 -35.61		  3.05   	 -10.17		
123.29   	108.64   	 12.88   	 350.97		 44.01   	 -15.26		  3.01   	 -10.17		
134.28   	116.88   	 14.28   	 376.40		 43.95(D)	  25.43		  2.97   	 -10.17		
145.57   	124.82   	 15.79   	 391.66		 44.05   	  86.47		  2.93   	   0.00		
156.25   	131.84   	 17.35   	 406.92		 44.39   	 172.94		  2.93   	  -5.09		
165.41   	137.33   	 18.98   	 412.00		 45.09   	 269.58		  2.91   	   0.00		
170.90   	140.69   	 20.63   	 422.18		 46.16   	 366.22		  2.91   	   0.00		
173.03   	142.21   	 22.32   	 417.09		 47.63   	 452.69		  2.91   	  -5.09		
172.42   	142.82   	 23.99   	 412.00		 49.44   	 523.90		  2.89   	   0.00		
170.59   	143.13   	 25.64   	 396.74		 51.54   	 579.86		  2.89   	   0.00		
168.46   	143.43   	 27.22   	 381.48		 53.86   	 605.29		  2.89   	   0.00		
166.02   	143.13   	 28.75   	 356.05		 56.28   	 625.63		  2.89   	   0.00		
162.66   	141.91   	 30.17   	 330.62		 58.78   	 630.72		  2.89   	   5.09		
158.69   	138.85   	 31.50   	 295.01		 61.30   	 615.46		  2.91   	   5.09		
154.11   	134.89   	 32.68   	 264.50		 63.76   	 595.11		  2.93   	  10.17		
149.84   	129.39   	 33.73   	 223.80		 66.14   	 554.42		  2.97   	  10.17		
145.26   	122.07   	 34.63   	 178.03		 68.36   	 503.56		  3.01   	   5.09		
139.77   	113.22   	 35.34   	 137.33		 70.38   	 437.43		  3.03   	   5.09		
132.14   	103.15   	 35.89   	  61.04		 72.13   	 320.45		  3.05   	   5.09		
109.56   	 85.14   	 36.13   	  15.26		 73.41   	 233.98		  3.07   	   5.09		
100.10   	 87.59   	 36.20(S)	 -30.52		 74.34   	 142.42		  3.09   	   0.00		
 97.35   	107.12   	 36.07   	 -71.21		 74.91   	  66.12		  3.09   	   5.09		
103.76   	144.65   	 35.79   	-111.90		 75.18(S)	  -5.09		  3.11   	   0.00		
118.10   	190.73   	 35.34   	-147.51		 75.16   	 -61.04		  3.11   	   0.00		
136.72   	229.49   	 34.75   	-127.16		 74.91   	 -55.95		  3.11   	   0.00		
136.72   	229.49   	 34.24   	-223.80		 74.69   	-172.94		  3.11   	   0.00		
173.95   	256.65   	 33.35   	-198.37		 74.00   	-152.59		  3.11   	   0.00		
173.95   	256.65   	 32.55   	-295.01		 73.39   	-259.41		  3.11   	  -5.09		
195.62   	258.79   	 31.37   	-259.41		 72.35   	-223.80		  3.09   	   0.00		
195.62   	258.79   	 30.34   	-356.05		 71.45   	-315.36		  3.09   	   0.00		
171.20   	238.95   	 28.91   	-305.19		 70.19   	-279.75		  3.09   	  -5.09		
171.20   	238.95   	 27.69   	-401.83		 69.07   	-340.79		  3.07   	   5.09		
111.69   	138.55   	 26.08   	-350.97		 67.71   	-300.10		  3.09   	   0.00		
111.69   	138.55   	 24.68   	-432.35		 66.51   	-340.79		  3.09   	   0.00		
 50.05   	  7.32   	 22.95   	-381.48		 65.15   	-300.10		  3.09   	   0.00		
 50.05   	  7.32   	 21.42   	-457.78		 63.95   	-310.27		  3.09   	  -5.09		
-24.41   	-86.67   	 19.59   	-462.87		 62.71   	-295.01		  3.07   	   0.00		
-56.76   	-107.12   	 17.74   	-462.87		 61.53   	-264.50		  3.07   	   5.09		
-74.46   	-109.25   	 15.89   	-457.78		 60.47   	-233.98		  3.09   	   0.00		
-76.29   	-101.01   	 14.06   	-452.69		 59.53   	-208.54		  3.09   	   0.00		
-69.58   	-93.38   	 12.25   	-437.43		 58.70   	-178.03		  3.09   	   0.00		
-64.09   	-93.38   	 10.50   	-427.26		 57.99   	-152.59		  3.09   	   0.00		
