SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  FA     	  FA'		  RV     	  RV'		
 78.09   	-188.20		  5.57   	-284.84		
 77.33   	-178.03		  4.44   	-264.50		
 76.62   	-167.85		  3.38   	-239.06		
 75.95   	-147.51		  2.42   	-223.80		
 75.36   	-142.42		  1.53   	-193.29		
 74.79   	-127.16		  0.75   	-178.03		
 74.28   	-122.07		  0.04   	-152.59		
 73.79   	-111.90		 -0.57   	-127.16		
 73.35   	-111.90		 -1.08   	-111.90		
 72.90   	-101.73		 -1.53   	 -91.56		
 72.49   	-101.73		 -1.89   	 -71.21		
 72.09   	-101.73		 -2.18   	 -55.95		
 71.68   	-101.73		 -2.40   	 -35.61		
 71.27   	-101.73		 -2.54   	 -20.35		
 70.86   	 -96.64		 -2.62   	  -5.09		
 70.48   	 -96.64		 -2.64(D)	  15.26		
 70.09   	 -96.64		 -2.58   	  20.35		
 69.70   	 -91.56		 -2.50   	  35.61		
 69.34   	 -91.56		 -2.36   	  40.69		
 68.97   	 -86.47		 -2.20   	  55.95		
 68.63   	 -81.38		 -1.97   	  55.95		
 68.30   	 -76.30		 -1.75   	  66.12		
 68.00   	 -71.21		 -1.49   	  71.21		
 67.71   	 -66.12		 -1.20   	  76.30		
 67.45   	 -61.04		 -0.90   	  86.47		
 67.20   	 -55.95		 -0.55   	  91.56		
 66.98   	 -55.95		 -0.18   	  96.64		
 66.75   	 -50.86		  0.20   	 106.82		
 66.55   	 -45.78		  0.63   	 111.90		
 66.37   	 -45.78		  1.08   	 116.99		
 66.18   	 -45.78		  1.55   	 122.07		
 66.00   	 -45.78		  2.03   	 132.25		
 65.82   	 -40.69		  2.56   	 132.25		
 65.66   	 -40.69		  3.09(E)	 137.33		
 65.49   	 -40.69		  3.64   	 132.25		
 65.33   	 -40.69		  4.17   	 142.42		
 65.17   	 -35.61		  4.74   	 137.33		
 65.03   	 -40.69		  5.29   	 137.33		
 64.86   	 -35.61		  5.84   	 157.68		
 64.72   	 -40.69		  6.47   	 157.68		
 64.56   	 -40.69		  7.10   	 157.68		
 64.39   	 -35.61		  7.73   	 157.68		
 64.25   	 -35.61		  8.36   	 157.68		
 64.11   	 -35.61		  8.99   	 152.59		
 63.97   	 -35.61		  9.60   	 157.68		
 63.82   	 -35.61		 10.23   	 167.85		
 63.68   	 -35.61		 10.91   	 183.11		
 63.54   	 -30.52		 11.64   	 183.11		
 63.42   	 -40.69		 12.37   	 193.29		
 63.26   	 -30.52		 13.14   	 203.46		
 63.13   	 -35.61		 13.96   	 218.72		
 62.99   	 -35.61		 14.83   	 228.89		
 62.85   	 -35.61		 15.75   	 239.06		
 62.71   	 -35.61		 16.70   	 254.32		
 62.56   	 -40.69		 17.72   	 264.50		
 62.40   	 -35.61		 18.78   	 279.75		
 62.26   	 -35.61		 19.90   	 284.84		
 62.12   	 -35.61		 21.04   	 300.10		
 61.97   	 -35.61		 22.24   	 300.10		
 61.83   	 -30.52		 23.44   	 305.19		
