SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  AO     	  AO'		
208.74   	342.10   	 38.66   	 167.85		 56.42   	 -20.35		
215.76   	352.17   	 39.33   	 132.25		 56.34   	 -45.78		
222.78   	362.55   	 39.86   	 101.73		 56.15   	 -40.69		
229.80   	372.01   	 40.26   	  76.30		 55.99   	  -5.09		
237.43   	379.94   	 40.57   	  61.04		 55.97   	   0.00		
245.97   	386.66   	 40.81   	  55.95		 55.97   	 -15.26		
255.13   	393.98   	 41.04   	  50.86		 55.91   	 -25.43		
263.98   	401.92   	 41.24   	  45.78		 55.81   	 -20.35		
272.22   	411.07   	 41.42   	  40.69		 55.73(D)	   5.09		
281.07   	420.53   	 41.59   	  40.69		 55.75   	  20.35		
290.53   	429.69   	 41.75   	  35.61		 55.83   	  20.35		
301.51   	437.93   	 41.89   	  30.52		 55.91   	  45.78		
313.11   	445.86   	 42.01   	  25.43		 56.09   	 106.82		
325.01   	454.10   	 42.12   	  20.35		 56.52   	 198.37		
336.00   	462.34   	 42.20   	  10.17		 57.31   	 305.19		
346.07   	470.58   	 42.24   	 -10.17		 58.53   	 376.40		
364.99   	485.23   	 42.20   	  -5.09		 60.04   	 300.10		
373.54   	491.94   	 42.18   	   0.00		 61.24   	 249.24		
381.16   	498.66   	 42.18   	  15.26		 62.24   	 259.41		
388.18   	505.68   	 42.24   	  25.43		 63.28   	 269.58		
394.59   	513.00   	 42.34   	  40.69		 64.35   	 244.15		
401.00   	520.02   	 42.50   	  50.86		 65.33   	 223.80		
406.80   	525.82   	 42.71   	  61.04		 66.23   	 198.37		
409.85   	529.79   	 42.95   	  55.95		 67.02   	 208.54		
409.24   	531.01   	 43.17   	  50.86		 67.85   	 264.50		
403.44   	528.56   	 43.38   	  55.95		 68.91   	 300.10		
393.37   	521.24   	 43.60   	  50.86		 70.11   	 279.75		
