SAMPLE NUMBER:   1
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  DAO     	  DAO'		  RV     	  RV'		
 86.98   	113.53   	 68.08   	 -81.38		  3.05   	  30.52		
 66.53   	 43.03   	 67.75   	 -45.78		  3.17   	  -5.09		
 47.61   	  6.71   	 67.57   	 -45.78		  3.15   	 -10.17		
 26.86   	-23.50   	 67.39   	 -40.69		  3.11   	 -25.43		
  6.71   	-48.83   	 67.22   	 -35.61		  3.01   	 -25.43		
-10.99   	-71.72   	 67.08   	 -40.69		  2.91   	 -30.52		
-24.11   	-92.77   	 66.92   	 -45.78		  2.79   	 -40.69		
-32.04   	-111.69   	 66.73   	 -35.61		  2.62   	 -45.78		
-35.71   	-125.73   	 66.59   	 -30.52		  2.44   	 -55.95		
-36.01   	-133.67   	 66.47   	 -30.52		  2.22   	 -61.04		
-35.40   	-136.11   	 66.35   	 -25.43		  1.97   	 -61.04		
-34.79   	-134.89   	 66.25   	 -30.52		  1.73   	 -66.12		
-35.10   	-133.67   	 66.12   	 -25.43		  1.46   	 -76.30		
-36.32   	-134.28   	 66.02   	 -35.61		  1.16   	 -76.30		
-38.15   	-136.72   	 65.88   	 -30.52		  0.85   	 -71.21		
-40.89   	-140.38   	 65.76   	 -35.61		  0.57   	 -55.95		
-43.33   	-143.13   	 65.62   	 -30.52		  0.35   	 -25.43		
-45.47   	-144.65   	 65.49   	 -30.52		  0.24   	   0.00		
-45.78   	-144.65   	 65.37   	 -30.52		  0.24   	  30.52		
-44.86   	-144.04   	 65.25   	 -45.78		  0.37   	  61.04		
-43.33   	-143.13   	 65.07   	 -40.69		  0.61   	  96.64		
-42.42   	-141.60   	 64.90   	 -45.78		  1.00   	 111.90		
-41.50   	-139.77   	 64.72   	 -50.86		  1.44   	 137.33		
-39.98   	-136.72   	 64.52   	 -45.78		  1.99   	 142.42		
-36.32   	-132.14   	 64.33   	 -45.78		  2.56   	 137.33		
-31.43   	-126.65   	 64.15   	 -45.78		  3.11   	 127.16		
-26.86   	-120.54   	 63.97   	 -50.86		  3.62   	 111.90		
-23.80   	-115.36   	 63.76   	 -50.86		  4.07   	  91.56		
-23.19   	-113.53   	 63.56   	 -45.78		  4.44   	  71.21		
-23.19   	-120.54   	 63.38   	 -45.78		  4.72   	  50.86		
-23.19   	-139.47   	 63.19   	 -50.86		  4.92   	  30.52		
-21.67   	-164.18   	 62.99   	 -45.78		  5.05   	  15.26		
-16.17   	-174.56   	 62.81   	 -40.69		  5.11   	  10.17		
 -2.14   	-140.08   	 62.64   	 -35.61		  5.15   	   0.00		
 23.80   	-27.16   	 62.50   	 -40.69		  5.15   	 -10.17		
 60.42   	185.85   	 62.34   	 -40.69		  5.11   	  -5.09		
 97.66   	495.61   	 62.18   	 -35.61		  5.09   	  -5.09		
113.22   	861.21   	 62.03   	 -40.69		  5.07(E)	   5.09		
