SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  AO     	  AO'		  RV     	  RV'		
 54.51   	-228.89		 88.67   	-422.18		
 53.59   	-254.32		 86.98   	-498.47		
 52.57   	-249.24		 84.98   	-554.42		
 51.58   	-213.63		 82.77   	-615.46		
 50.72   	-167.85		 80.30   	-671.41		
 50.05   	-101.73		 77.62   	-717.19		
 49.64   	 -40.69		 74.75   	-742.62		
 49.48   	  10.17		 71.78   	-747.71		
 49.52   	  40.69		 68.79   	-752.79		
 49.68   	  40.69		 65.78   	-752.79		
 49.85   	  30.52		 62.77   	-732.45		
 49.97   	  25.43		 59.84   	-707.02		
 50.07   	   5.09		 57.01   	-686.67		
 50.09   	 -20.35		 54.26   	-656.15		
 50.01   	 -40.69		 51.64   	-640.89		
 49.85   	 -40.69		 49.07   	-610.37		
 49.68   	 -45.78		 46.63   	-595.11		
 49.50   	 -61.04		 44.25   	-574.77		
 49.26   	 -66.12		 41.95   	-564.60		
 48.99   	 -61.04		 39.69   	-554.42		
 48.75   	 -66.12		 37.48   	-539.16		
 48.48   	 -66.12		 35.32   	-518.82		
 48.22   	 -66.12		 33.25   	-518.82		
 47.96   	 -66.12		 31.17   	-508.65		
 47.69   	 -61.04		 29.14   	-508.65		
 47.45   	 -55.95		 27.10   	-498.47		
 47.22   	 -61.04		 25.11   	-488.30		
 46.98   	 -55.95		 23.15   	-488.30		
 46.75   	 -50.86		 21.20   	-478.13		
 46.55   	 -55.95		 19.29   	-457.78		
 46.33   	 -50.86		 17.46   	-422.18		
 46.12   	 -55.95		 15.77   	-391.66		
 45.90   	 -55.95		 14.20   	-340.79		
 45.68   	 -50.86		 12.84   	-289.93		
 45.47   	 -45.78		 11.68   	-239.06		
 45.29   	 -45.78		 10.72   	-193.29		
 45.11   	 -45.78		  9.95   	-152.59		
 44.92   	 -40.69		  9.34   	-111.90		
 44.76   	 -35.61		  8.89   	 -76.30		
 44.62   	 -30.52		  8.59   	 -50.86		
