SAMPLE NUMBER:   6
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  FA     	  FA'		  RV     	  RV'		
 -0.92   	 24.41   	 36.17   	 -66.12		 18.60   	 244.15		
  1.22   	 25.33   	 35.91   	 -55.95		 19.57   	 203.46		
  3.05   	 26.55   	 35.69   	 -15.26		 20.39   	 208.54		
  4.88   	 29.60   	 35.63(D)	  30.52		 21.22   	 269.58		
 11.60   	 41.20   	 35.75   	  66.12		 22.30   	 310.27		
 17.09   	 48.52   	 36.01   	  91.56		 23.54   	 310.27		
 23.19   	 55.85   	 36.38   	 152.59		 24.78   	 300.10		
 28.99   	 62.56   	 36.99   	 274.67		 25.98   	 269.58		
 33.87   	 68.66   	 38.09   	 386.57		 27.06   	 218.72		
 37.54   	 75.07   	 39.63   	 564.60		 27.93   	 172.94		
 39.98   	 82.09   	 41.89   	 686.67		 28.63   	 132.25		
 42.42   	 89.11   	 44.64   	 752.79		 29.16   	 111.90		
 45.17   	 96.13   	 47.65   	 768.05		 29.60   	 106.82		
 48.22   	103.15   	 50.72   	 742.62		 30.03   	 122.07		
 51.88   	109.56   	 53.69   	 691.76		 30.52   	 132.25		
 55.85   	115.66   	 56.46   	 605.29		 31.05   	 132.25		
 59.20   	120.85   	 58.88   	 467.95		 31.58   	 111.90		
 62.56   	125.43   	 60.75   	 345.88		 32.02   	  86.47		
 65.92   	129.70   	 62.14   	 228.89		 32.37   	  61.04		
 68.97   	133.67   	 63.05   	 157.68		 32.61   	  30.52		
 72.63   	136.72   	 63.68   	 127.16		 32.74   	   5.09		
 75.99   	138.85   	 64.19   	 122.07		 32.76   	   0.00		
 79.35   	139.77   	 64.68   	 127.16		 32.76   	  10.17		
 82.09   	140.08   	 65.19   	 132.25		 32.80   	  20.35		
 83.92   	140.38   	 65.72   	 137.33		 32.88   	  20.35		
 85.75   	141.30   	 66.27   	 127.16		 32.96   	  15.26		
 87.89   	142.52   	 66.77   	 106.82		 33.02   	  10.17		
 90.64   	143.13   	 67.20   	  96.64		 33.06(S)	   0.00		
 93.99   	142.82   	 67.59   	 111.90		 33.06   	 -30.52		
101.93   	142.21   	 68.04   	  20.35		 32.94   	 -35.61		
107.12   	143.74   	 68.12   	  15.26		 32.80   	 -35.61		
112.61   	146.48   	 68.18   	  15.26		 32.66   	 -30.52		
116.58   	149.23   	 68.24   	  15.26		 32.53   	 -35.61		
116.88   	150.45   	 68.30   	 -20.35		 32.39   	 -35.61		
112.30   	148.62   	 68.22   	  10.17		 32.25   	 -30.52		
102.23   	142.21   	 68.26   	  30.52		 32.13   	 -35.61		
 87.28   	129.70   	 68.38(S)	 -25.43		 31.98   	 -40.69		
 68.66   	109.86   	 68.28   	 -76.30		 31.82   	 -40.69		
 47.30   	 83.01   	 67.98   	-147.51		 31.66   	 -55.95		
 25.02   	 51.27   	 67.39   	-213.63		 31.43   	 -50.86		
  3.97   	 17.40   	 66.53   	-183.11		 31.23   	 -61.04		
-14.34   	-14.34   	 65.80   	-147.51		 30.99   	 -66.12		
-28.69   	-41.50   	 65.21   	-106.82		 30.72   	 -61.04		
-39.37   	-62.56   	 64.78   	 -61.04		 30.48   	 -71.21		
-46.69   	-77.51   	 64.54   	 -55.95		 30.19   	 -66.12		
-51.88   	-87.28   	 64.31   	 -66.12		 29.93   	 -76.30		
-55.54   	-93.99   	 64.05   	 -81.38		 29.62   	 -76.30		
-58.29   	-98.27   	 63.72   	-101.73		 29.32   	 -76.30		
-60.73   	-101.62   	 63.32   	-106.82		 29.01   	 -81.38		
-62.56   	-104.06   	 62.89   	 -91.56		 28.69   	 -96.64		
-64.39   	-106.20   	 62.52   	 -61.04		 28.30   	-106.82		
-65.31   	-107.12   	 62.28   	 -71.21		 27.87   	-127.16		
-65.92   	-107.42   	 61.99   	 -86.47		 27.37   	-167.85		
-65.92   	-107.12   	 61.65   	-101.73		 26.69   	-203.46		
-65.92   	-107.12   	 61.24   	-122.07		 25.88   	-249.24		
-65.61   	-106.81   	 60.75   	-178.03		 24.88   	-284.84		
-64.70   	-105.90   	 60.04   	-208.54		 23.74   	-295.01		
-63.78   	-104.68   	 59.21   	-213.63		 22.56   	-295.01		
-62.87   	-103.76   	 58.35   	-203.46		 21.38   	-310.27		
-62.56   	-102.84   	 57.54   	-178.03		 20.14   	-300.10		
-62.87   	-102.23   	 56.83   	-162.77		 18.94   	-269.58		
-63.17   	-101.32   	 56.17   	-172.94		 17.86   	-254.32		
-62.56   	-100.40   	 55.48   	-198.37		 16.85   	-223.80		
-61.34   	-99.49   	 54.69   	-233.98		 15.95   	-208.54		
-59.81   	-98.57   	 53.75   	-274.67		 15.12   	-193.29		
-58.90   	-97.35   	 52.65   	-259.41		 14.34   	-183.11		
-58.29   	-95.52   	 51.62   	-228.89		 13.61   	-183.11		
-58.29   	-94.30   	 50.70   	-188.20		 12.88   	-183.11		
-57.68   	-93.08   	 49.95   	-116.99		 12.15   	-178.03		
-57.07   	-91.55   	 49.48   	 -81.38		 11.43   	-178.03		
-55.85   	-89.11   	 49.16   	 -30.52		 10.72   	-162.77		
-53.71   	-83.62   	 49.03   	  -5.09		 10.07   	-152.59		
-49.13   	-72.63   	 49.01   	 -30.52		  9.46   	-132.25		
-40.89   	-53.71   	 48.89   	 -35.61		  8.93   	-106.82		
-27.47   	-25.02   	 48.75   	 -76.30		  8.50   	 -81.38		
-10.07   	 10.99   	 48.44   	-106.82		  8.18   	 -61.04		
  8.24   	 48.83   	 48.02   	-122.07		  7.93   	 -61.04		
 25.33   	 82.09   	 47.53   	-127.16		  7.69   	 -55.95		
 38.15   	107.42   	 47.02   	-111.90		  7.47   	 -50.86		
 44.56   	121.77   	 46.57   	-101.73		  7.26   	 -45.78		
 43.33   	122.68   	 46.16   	 -71.21		  7.08   	 -35.61		
 34.48   	105.29   	 45.88   	 -45.78		  6.94   	 -15.26		
 20.14   	 68.36   	 45.70   	 -40.69		  6.88   	   0.00		
  3.05   	 17.09   	 45.53   	 -25.43		  6.88   	  15.26		
-13.73   	-36.32   	 45.43   	 -20.35		  6.94   	  25.43		
