SAMPLE NUMBER:   4
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  FA     	  FA'		
118.41   	-33.26   	 65.78   	  66.12		 68.91   	 -40.69		
121.77   	-27.77   	 66.04   	  81.38		 68.75   	 -50.86		
120.54   	-20.75   	 66.37   	 101.73		 68.55   	 -50.86		
117.80   	-13.12   	 66.77   	 122.07		 68.34   	 -50.86		
117.19   	 -5.19   	 67.26   	 142.42		 68.14   	 -55.95		
119.93   	  2.44   	 67.83   	 167.85		 67.91   	 -50.86		
123.60   	 10.07   	 68.50   	 188.20		 67.71   	 -40.69		
126.34   	 18.31   	 69.26   	 193.29		 67.55   	 -20.35		
127.56   	 28.08   	 70.03   	 198.37		 67.47(D)	  25.43		
128.17   	 39.98   	 70.82   	 203.46		 67.57   	 101.73		
128.17   	 52.80   	 71.64   	 203.46		 67.98   	 228.89		
127.56   	 64.70   	 72.45   	 193.29		 68.89   	 391.66		
124.82   	 74.77   	 73.22   	 193.29		 70.46   	 534.08		
120.54   	 83.62   	 74.00   	 193.29		 72.59   	 625.63		
115.05   	 92.16   	 74.77   	 193.29		 75.10   	 666.32		
109.25   	101.62   	 75.54   	 178.03		 77.76   	 651.07		
102.23   	111.39   	 76.26   	 178.03		 80.37   	 640.89		
 92.77   	119.93   	 76.97   	 172.94		 82.93   	 620.55		
 81.18   	126.95   	 77.66   	 162.77		 85.41   	 610.37		
 68.66   	132.45   	 78.31   	 157.68		 87.85   	 574.77		
 56.76   	137.33   	 78.94   	 147.51		 90.15   	 534.08		
 44.56   	139.77   	 79.53   	 147.51		 92.29   	 473.04		
 31.13   	137.33   	 80.12   	 142.42		 94.18   	 432.35		
 15.87   	128.17   	 80.69   	 137.33		 95.91   	 396.74		
 -0.92   	112.30   	 81.24   	 132.25		 97.50   	 371.31		
-17.70   	 92.77   	 81.77   	 127.16		 98.98   	 345.88		
-31.74   	 73.55   	 82.28   	 116.99		100.37   	 325.53		
-41.81   	 55.85   	 82.75   	 111.90		101.67   	 305.19		
-48.52   	 39.37   	 83.19   	  91.56		102.89   	 284.84		
-54.02   	 22.89   	 83.56   	  81.38		104.03   	 264.50		
-61.34   	  5.49   	 83.89   	  66.12		105.09   	 249.24		
-70.80   	-11.90   	 84.15   	  45.78		106.08   	 233.98		
-80.87   	-26.86   	 84.33   	  25.43		107.02   	 203.46		
-88.20   	-37.84   	 84.44(S)	  -5.09		107.83   	 178.03		
-91.55   	-43.95   	 84.41   	 -30.52		108.54   	 142.42		
-92.16   	-47.00   	 84.29   	 -61.04		109.11   	 111.90		
-92.47   	-49.13   	 84.05   	 -91.56		109.56   	  76.30		
-93.38   	-51.88   	 83.68   	-137.33		109.87   	  50.86		
-94.60   	-55.85   	 83.13   	-198.37		110.07   	  10.17		
-93.69   	-59.20   	 82.34   	-264.50		110.11(S)	 -15.26		
-90.33   	-60.12   	 81.28   	-315.36		110.05   	 -40.69		
-86.36   	-57.68   	 80.02   	-366.22		109.89   	 -66.12		
-84.84   	-53.10   	 78.56   	-427.26		109.62   	 -86.47		
-86.67   	-50.05   	 76.85   	-452.69		109.28   	-106.82		
-91.86   	-51.27   	 75.04   	-478.13		108.85   	-111.90		
-97.35   	-56.76   	 73.12   	-534.08		108.40   	-122.07		
-98.88   	-62.26   	 70.99   	-600.20		107.91   	-132.25		
-94.91   	-64.39   	 68.59   	-645.98		107.39   	-137.33		
-87.59   	-62.56   	 66.00   	-686.67		106.84   	-137.33		
-79.96   	-58.59   	 63.26   	-727.36		106.29   	-142.42		
-73.85   	-54.93   	 60.35   	-762.97		105.72   	-147.51		
-69.89   	-53.41   	 57.29   	-798.57		105.13   	-142.42		
-65.92   	-52.19   	 54.10   	-824.00		104.56   	-147.51		
-61.04   	-49.74   	 50.80   	-844.35		103.97   	-152.59		
-56.15   	-46.69   	 47.43   	-844.35		103.36   	-147.51		
