SAMPLE NUMBER:   1
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  LPA     	  LPA'		  AO     	  AO'		  RV     	  RV'		
 79.96   	-15.56   	 54.93   	 310.27		 44.90   	 -15.26		 72.94   	-132.25		
 81.18   	-10.07   	 56.17   	 371.31		 44.84   	 -15.26		 72.41   	-137.33		
 83.01   	 -3.97   	 57.66   	 432.35		 44.78   	 -10.17		 71.86   	-127.16		
 84.84   	  2.75   	 59.39   	 513.73		 44.74   	 -15.26		 71.35   	-116.99		
 86.67   	 10.38   	 61.44   	 579.86		 44.68   	 -25.43		 70.88   	 -96.64		
 88.20   	 18.92   	 63.76   	 564.60		 44.58   	 -30.52		 70.50   	 -61.04		
 89.42   	 28.38   	 66.02   	 528.99		 44.46   	 -25.43		 70.25   	 -10.17		
 90.03   	 38.76   	 68.14   	 534.08		 44.35(D)	   0.00		 70.21   	  50.86		
 90.33   	 49.74   	 70.27   	 605.29		 44.35   	   5.09		 70.42   	 127.16		
 90.64   	 60.73   	 72.70   	 666.32		 44.37   	  15.26		 70.93   	 198.37		
 91.25   	 71.41   	 75.36   	 656.15		 44.44   	  40.69		 71.72   	 269.58		
 92.47   	 81.18   	 77.99   	 554.42		 44.60   	  76.30		 72.80   	 325.53		
 93.08   	 89.42   	 80.20   	 401.83		 44.90   	 122.07		 74.10   	 366.22		
 93.69   	 96.74   	 81.81   	 274.67		 45.39   	 178.03		 75.56   	 406.92		
 94.30   	104.06   	 82.91   	 513.73		 46.10   	 610.37		 77.19   	 895.22		
100.40   	122.38   	 84.96   	 340.79		 48.55   	 437.43		 80.77   	 478.13		
103.76   	133.36   	 86.33   	 350.97		 50.29   	 493.39		 82.69   	 473.04		
105.59   	144.65   	 87.73   	 259.41		 52.27   	 513.73		 84.58   	 462.87		
104.98   	155.94   	 88.77   	 132.25		 54.32   	 503.56		 86.43   	 437.43		
103.15   	167.24   	 89.30   	  45.78		 56.34   	 467.95		 88.18   	 412.00		
101.01   	180.36   	 89.48   	  30.52		 58.21   	 412.00		 89.83   	 386.57		
 98.88   	195.01   	 89.60   	  81.38		 59.86   	 371.31		 91.37   	 345.88		
 96.74   	210.88   	 89.93   	 137.33		 61.34   	 335.71		 92.76   	 315.36		
 93.08   	226.44   	 90.48   	 172.94		 62.69   	 315.36		 94.02   	 269.58		
 89.42   	240.78   	 91.17   	 183.11		 63.95   	 279.75		 95.10   	 223.80		
 86.36   	254.52   	 91.90   	 167.85		 65.07   	 233.98		 95.99   	 172.94		
 84.84   	268.55   	 92.57   	 147.51		 66.00   	 183.11		 96.68   	 111.90		
 84.84   	283.20   	 93.16   	 162.77		 66.73   	 157.68		 97.13   	  71.21		
 84.23   	298.16   	 93.81   	 203.46		 67.36   	 142.42		 97.42   	  25.43		
 82.70   	312.81   	 94.63   	 249.24		 67.93   	 137.33		 97.52(S)	 -30.52		
 80.57   	325.93   	 95.63   	 259.41		 68.48   	 157.68		 97.40   	-106.82		
 78.43   	337.22   	 96.66   	 239.06		 69.11   	 172.94		 96.97   	-172.94		
 76.60   	345.15   	 97.62   	 203.46		 69.81   	 188.20		 96.28   	-244.15		
 74.46   	348.21   	 98.43   	 203.46		 70.56   	 183.11		 95.30   	-295.01		
 70.50   	345.15   	 99.25   	 213.63		 71.29   	 167.85		 94.12   	-335.71		
 63.78   	335.39   	100.10   	 239.06		 71.96   	 152.59		 92.78   	-371.31		
 54.93   	318.91   	101.06   	 239.06		 72.57   	 137.33		 91.29   	-371.31		
 45.78   	296.94   	102.01   	 203.46		 73.12   	 137.33		 89.81   	-371.31		
 39.06   	269.47   	102.83   	 172.94		 73.67   	 152.59		 88.32   	-356.05		
 36.01   	237.43   	103.52   	 269.58		 74.28   	 320.45		 86.90   	-691.76		
 36.01   	160.83   	104.60   	 122.07		 75.56   	 152.59		 84.13   	-442.52		
 35.71   	120.54   	105.09   	 127.16		 76.17   	 142.42		 82.36   	-534.08		
 34.48   	 82.40   	105.59   	 127.16		 76.74   	 116.99		 80.22   	-549.34		
 32.35   	 48.52   	106.10   	  96.64		 77.21   	  96.64		 78.03   	-518.82		
 30.82   	 18.31   	106.49   	  71.21		 77.60   	  76.30		 75.95   	-452.69		
 29.60   	 -8.24   	106.77   	  30.52		 77.90   	  71.21		 74.14   	-401.83		
 28.38   	-32.04   	106.90(S)	   0.00		 78.19   	  61.04		 72.53   	-320.45		
 26.55   	-52.19   	106.90   	 -10.17		 78.43   	  45.78		 71.25   	-208.54		
 24.11   	-68.05   	106.86   	  -5.09		 78.62   	  25.43		 70.42   	 -76.30		
 21.36   	-79.35   	106.84   	   0.00		 78.72(S)	  -5.09		 70.11   	  25.43		
 19.23   	-87.28   	106.84   	 -10.17		 78.70   	 -45.78		 70.21   	  61.04		
 17.09   	-93.38   	106.80   	 -30.52		 78.51   	 -81.38		 70.46   	  35.61		
 15.56   	-98.88   	106.67   	 -71.21		 78.19   	-101.73		 70.60   	  10.17		
 14.95   	-104.06   	106.39   	-101.73		 77.78   	-106.82		 70.64   	  15.26		
