SAMPLE NUMBER:   1
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  DAO     	  DAO'		  RV     	  RV'		
-18.01   	-76.29   	 44.27   	 -30.52		  8.12   	  30.52		
-16.48   	-75.68   	 44.15   	 -30.52		  8.24   	  35.61		
-15.26   	-75.07   	 44.03   	 -35.61		  8.38   	  35.61		
-15.26   	-74.46   	 43.89   	 -35.61		  8.52   	  35.61		
-15.87   	-73.55   	 43.74   	 -35.61		  8.67   	  40.69		
-15.56   	-74.16   	 43.60   	 -35.61		  8.83   	  35.61		
-13.12   	-77.51   	 43.46   	 -35.61		  8.97   	  40.69		
 -7.63   	-83.62   	 43.32   	 -35.61		  9.14   	  45.78		
  3.36   	-90.94   	 43.17   	 -35.61		  9.32   	  40.69		
 23.50   	-94.60   	 43.03   	 -35.61		  9.48   	  45.78		
 54.93   	-86.67   	 42.89   	 -30.52		  9.66   	  50.86		
 93.38   	-58.29   	 42.77   	 -30.52		  9.87   	  45.78		
127.56   	 -0.61   	 42.64   	 -25.43		 10.05   	  50.86		
131.23   	 95.83   	 42.54   	 -25.43		 10.25   	  50.86		
 67.14   	234.38   	 42.44   	 -25.43		 10.46   	  50.86		
-92.77   	399.17   	 42.34   	 -20.35		 10.66   	  50.86		
-341.19   	545.04(R)	 42.26   	 -20.35		 10.86   	  55.95		
-851.14   	537.72   	 42.18   	 -15.26		 11.09   	  55.95		
-943.30   	327.45   	 42.12   	 -10.17		 11.31   	  50.86		
-874.63   	 54.63   	 42.08   	 -10.17		 11.52   	  45.78		
-687.26   	-160.83   	 42.03   	 -10.17		 11.70   	  40.69		
-460.21   	-228.58   	 41.99   	 -10.17		 11.86   	  30.52		
-265.20   	-141.91   	 41.95   	  -5.09		 11.98   	  20.35		
-137.02   	 13.43   	 41.93   	  -5.09		 12.07   	  15.26		
-69.89   	122.07   	 41.91   	  -5.09		 12.13   	  10.17		
-36.62   	120.54   	 41.89   	  -5.09		 12.17   	   5.09		
-14.04   	 33.57   	 41.87   	  -5.09		 12.19   	  10.17		
  6.10   	-64.09   	 41.85   	  -5.09		 12.23   	  10.17		
 20.45   	-111.69   	 41.83   	 -10.17		 12.27   	  20.35		
 26.55   	-100.10   	 41.79   	  -5.09		 12.35   	  30.52		
 25.33   	-63.17   	 41.77   	 -10.17		 12.47   	  50.86		
 22.58   	-39.37   	 41.73   	 -15.26		 12.68   	  76.30		
 22.89   	-41.50   	 41.67   	 -10.17		 12.98   	  96.64		
 27.47   	-56.76   	 41.63   	 -20.35		 13.37   	 127.16		
 32.96   	-68.36   	 41.55   	 -15.26		 13.88   	 147.51		
 36.32   	-68.66   	 41.49   	 -25.43		 14.47   	 183.11		
 36.62   	-61.65   	 41.38   	 -20.35		 15.20   	 208.54		
 35.10   	-54.93   	 41.30   	 -25.43		 16.03   	 254.32		
 32.65   	-52.49   	 41.20   	 -30.52		 17.05   	 310.27		
 30.21   	-53.71   	 41.08   	 -30.52		 18.29   	 361.14		
 28.69   	-56.15   	 40.96   	 -35.61		 19.74   	 406.92		
 28.69   	-56.76   	 40.81   	 -40.69		 21.36   	 554.42		
 30.82   	-51.27   	 40.65   	 -45.78		 23.58   	 605.29		
 32.35   	-47.00   	 40.47   	 -40.69		 26.00   	 640.89		
 33.87   	-43.03   	 40.31   	 -35.61		 28.57   	 686.67		
 35.40   	-40.28   	 40.16   	 -35.61		 31.31   	 717.19		
 36.01   	-38.76   	 40.02   	 -30.52		 34.18   	 742.62		
 35.10   	-37.84   	 39.90   	 -25.43		 37.15   	 742.62		
 32.35   	-36.32   	 39.80   	 -15.26		 40.12   	 737.54		
 30.21   	-34.18   	 39.74   	   0.00		 43.07   	 732.45		
 29.91   	-31.13   	 39.74   	  20.35		 46.00   	 707.02		
 31.74   	-28.08   	 39.82   	  50.86		 48.83   	 676.50		
 34.79   	-25.02   	 40.02   	  86.47		 51.54   	 630.72		
 37.23   	-21.97   	 40.37   	 137.33		 54.06   	 569.68		
 38.15   	-18.92   	 40.92   	 188.20		 56.34   	 503.56		
 38.15   	-16.17   	 41.67   	 249.24		 58.35   	 432.35		
 38.45   	-13.43   	 42.67   	 305.19		 60.08   	 356.05		
 39.98   	-10.07   	 43.89   	 366.22		 61.51   	 284.84		
 42.42   	 -6.71   	 45.35   	 417.09		 62.64   	 223.80		
 45.47   	 -3.05   	 47.02   	 462.87		 63.54   	 162.77		
 48.22   	  0.31   	 48.87   	 493.39		 64.19   	 106.82		
 49.74   	  3.66   	 50.84   	 513.73		 64.62   	  66.12		
 50.66   	  7.93   	 52.90   	 518.82		 64.88   	  35.61		
 50.96   	 13.12   	 54.97   	 498.47		 65.03   	  10.17		
 51.27   	 18.92   	 56.97   	 473.04		 65.07   	   0.00		
 51.88   	 24.72   	 58.86   	 432.35		 65.07   	  -5.09		
 53.10   	 30.52   	 60.59   	 350.97		 65.05   	  20.35		
 54.63   	 42.72   	 61.99   	 274.67		 65.13   	  45.78		
 54.63   	 50.05   	 63.09   	 188.20		 65.31   	  66.12		
 53.71   	 57.98   	 63.85   	 111.90		 65.57   	  96.64		
 52.19   	 65.61   	 64.29   	  40.69		 65.96   	 127.16		
 51.88   	 73.85   	 64.46   	 -35.61		 66.47   	 167.85		
 53.71   	 82.40   	 64.31   	 -96.64		 67.14   	 198.37		
 56.76   	 91.25   	 63.93   	-142.42		 67.93   	 228.89		
 59.20   	101.01   	 63.36   	-183.11		 68.85   	 259.41		
