SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  RV     	  RV'		  AO     	  AO'		
 48.40   	  55.95		 76.46   	 467.95		
 48.63   	  71.21		 78.33   	 345.88		
 48.91   	  61.04		 79.71   	 361.14		
 49.16   	  61.04		 81.16   	 473.04		
 49.40   	  55.95		 83.05   	 554.42		
 49.62   	  50.86		 85.27   	 544.25		
 49.83   	  35.61		 87.45   	 467.95		
 49.97   	  25.43		 89.32   	 432.35		
 50.07   	  15.26		 91.05   	 447.61		
 50.13   	   5.09		 92.84   	 462.87		
 50.15   	   0.00		 94.69   	 442.52		
 50.15   	 -10.17		 96.46   	 432.35		
 50.11   	 -20.35		 98.19   	 412.00		
 50.03   	 -25.43		 99.84   	 381.48		
 49.93   	 -30.52		101.36   	 350.97		
 49.81   	 -30.52		102.77   	 340.79		
 49.68   	 -20.35		104.13   	 330.62		
 49.60   	   0.00		105.45   	 300.10		
 49.60   	  20.35		106.65   	 264.50		
 49.68   	  81.38		107.71   	 223.80		
 50.01   	 147.51		108.61   	 203.46		
 50.60   	 188.20		109.42   	 162.77		
 51.35   	 198.37		110.07   	 106.82		
 52.15   	 178.03		110.50   	  76.30		
 52.86   	 137.33		110.80   	  55.95		
 53.41   	  81.38		111.03   	  30.52		
 53.73(S)	   0.00		111.15(S)	 -15.26		
 53.73   	 -76.30		111.09   	 -40.69		
 53.43   	-152.59		110.93   	 -61.04		
 52.82   	-213.63		110.68   	 -86.47		
 51.96   	-279.75		110.34   	-106.82		
 50.84   	-325.53		109.91   	-127.16		
 49.54   	-371.31		109.40   	-147.51		
 48.06   	-406.92		108.81   	-162.77		
 46.43   	-417.09		108.16   	-157.68		
 44.76   	-417.09		107.53   	-152.59		
 43.09   	-473.04		106.92   	-162.77		
 41.20   	-513.73		106.27   	-167.85		
 39.15   	-528.99		105.59   	-157.68		
 37.03   	-554.42		104.96   	-162.77		
 34.81   	-579.86		104.31   	-193.29		
 32.49   	-584.94		103.54   	-193.29		
 30.15   	-584.94		102.77   	-178.03		
 27.81   	-569.68		102.05   	-178.03		
 25.53   	-554.42		101.34   	-193.29		
 23.32   	-528.99		100.57   	-183.11		
 21.20   	-508.65		 99.84   	-178.03		
 19.17   	-483.21		 99.12   	-193.29		
 17.23   	-447.61		 98.35   	-208.54		
 15.44   	-406.92		 97.52   	-198.37		
 13.81   	-381.48		 96.72   	-203.46		
 12.29   	-345.88		 95.91   	-208.54		
 10.91   	-315.36		 95.08   	-223.80		
  9.64   	-289.93		 94.18   	-228.89		
  8.48   	-269.58		 93.27   	-249.24		
  7.41   	-254.32		 92.27   	-254.32		
  6.39   	-228.89		 91.25   	-233.98		
  5.47   	-208.54		 90.32   	-223.80		
  4.64   	-193.29		 89.42   	-233.98		
  3.87   	-172.94		 88.48   	-233.98		
  3.17   	-147.51		 87.55   	-208.54		
  2.58   	-122.07		 86.71   	-193.29		
  2.10   	-101.73		 85.94   	-178.03		
  1.69   	 -76.30		 85.23   	-167.85		
  1.38   	 -55.95		 84.56   	-162.77		
  1.16   	 -40.69		 83.91   	-152.59		
  1.00   	 -20.35		 83.30   	-137.33		
  0.92   	 -10.17		 82.75   	-137.33		
  0.87   	   0.00		 82.20   	-137.33		
  0.87   	  -5.09		 81.65   	-116.99		
  0.85   	 -10.17		 81.18   	-106.82		
  0.81   	 -15.26		 80.75   	-116.99		
  0.75   	 -15.26		 80.28   	-101.73		
  0.69   	 -20.35		 79.88   	 -76.30		
  0.61   	 -30.52		 79.57   	 -76.30		
  0.49   	 -50.86		 79.27   	 -76.30		
  0.28   	 -76.30		 78.96   	 -71.21		
 -0.02   	 -91.56		 78.68   	 -55.95		
 -0.39   	 -76.30		 78.45   	 -61.04		
 -0.69   	 -61.04		 78.21   	 -45.78		
 -0.94   	 -35.61		 78.03   	 -40.69		
 -1.08   	 -10.17		 77.86   	 -30.52		
 -1.12(D)	   5.09		 77.74   	 -35.61		
 -1.10   	  20.35		 77.60   	 -30.52		
 -1.02   	  35.61		 77.48   	 -35.61		
 -0.87   	  40.69		 77.33   	 -30.52		
 -0.71   	  40.69		 77.21   	 -25.43		
 -0.55   	  40.69		 77.11   	 -25.43		
 -0.39   	  35.61		 77.01   	 -25.43		
 -0.24   	  30.52		 76.91   	 -25.43		
 -0.12   	  30.52		 76.81   	 -30.52		
  0.00   	  20.35		 76.68   	 -30.52		
  0.08   	  10.17		 76.56   	 -30.52		
  0.12   	   5.09		 76.44   	 -25.43		
  0.14   	  10.17		 76.34   	 -30.52		
  0.18   	   5.09		 76.22   	 -40.69		
  0.20   	   5.09		 76.05   	 -30.52		
  0.22   	  10.17		 75.93   	 -20.35		
  0.26   	  10.17		 75.85   	 -40.69		
  0.31   	  20.35		 75.69   	 -50.86		
  0.39   	  20.35		 75.48   	 -40.69		
  0.47   	  20.35		 75.32   	 -30.52		
  0.55   	  20.35		 75.20   	 -50.86		
  0.63   	  25.43		 74.99   	 -50.86		
  0.73   	  30.52		 74.79   	 -35.61		
  0.85   	  30.52		 74.65   	 -40.69		
  0.98   	  30.52		 74.49   	 -66.12		
  1.10   	  40.69		 74.22   	 -50.86		
  1.26   	  55.95		 74.02   	 -35.61		
  1.49   	  55.95		 73.88   	 -55.95		
  1.71   	  55.95		 73.65   	 -66.12		
