SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  AO     	  AO'		  RV     	  RV'		
 91.55   	 97.35   	 60.24   	 208.54		 43.62   	 289.93		
103.15   	107.73   	 61.08   	 127.16		 44.78   	 264.50		
112.30   	145.57   	 61.59   	  55.95		 45.84   	 249.24		
109.86   	150.45   	 61.81   	   5.09		 46.84   	 228.89		
119.63   	150.45   	 61.83   	 -10.17		 47.75   	 213.63		
103.45   	159.91   	 61.79   	   5.09		 48.61   	 193.29		
109.86   	164.79   	 61.81   	  30.52		 49.38   	 188.20		
105.59   	170.90   	 61.93   	  81.38		 50.13   	 178.03		
106.81   	177.61   	 62.26   	 127.16		 50.84   	 172.94		
128.17   	180.97   	 62.77   	 193.29		 51.54   	 167.85		
115.05   	187.38   	 63.54   	 249.24		 52.21   	 157.68		
127.87   	189.82   	 64.54   	 300.10		 52.84   	 157.68		
117.49   	210.88   	 65.74   	 335.71		 53.47   	 152.59		
114.75   	238.95   	 67.08   	 350.97		 54.08   	 152.59		
122.99   	231.93   	 68.48   	 335.71		 54.69   	 152.59		
 97.05   	225.22   	 69.83   	 310.27		 55.30   	 142.42		
106.51   	211.79   	 71.07   	 289.93		 55.87   	 137.33		
 74.77   	166.02   	 72.23   	 254.32		 56.42   	 132.25		
 71.11   	146.48   	 73.24   	 218.72		 56.95   	 127.16		
 71.11   	115.05   	 74.12   	 162.77		 57.46   	 127.16		
 32.35   	 75.99   	 74.77   	 127.16		 57.97   	 111.90		
 31.74   	 56.15   	 75.28   	 111.90		 58.41   	 106.82		
 -8.85   	  5.19   	 75.73   	 101.73		 58.84   	  91.56		
-28.99   	-42.72   	 76.13   	  86.47		 59.21   	  81.38		
-33.57   	-79.35   	 76.48   	  66.12		 59.53   	  66.12		
-46.08   	-119.32   	 76.74   	  45.78		 59.80   	  55.95		
-38.45   	-126.95   	 76.93   	  50.86		 60.02   	  40.69		
-49.44   	-129.09   	 77.13   	  55.95		 60.18   	  35.61		
-50.66   	-141.60   	 77.35   	  50.86		 60.33   	  25.43		
-55.85   	-144.65   	 77.56   	  35.61		 60.43   	  10.17		
-74.16   	-156.25   	 77.70   	  20.35		 60.47(S)	  -5.09		
-55.54   	-159.00   	 77.78   	   5.09		 60.45   	  -5.09		
-76.29   	-154.72   	 77.80   	   5.09		 60.43   	 -15.26		
-63.78   	-166.93   	 77.82(S)	 -15.26		 60.37   	 -20.35		
-55.24   	-171.51   	 77.76   	 -30.52		 60.28   	 -30.52		
-97.66   	-178.22   	 77.64   	 -55.95		 60.16   	 -35.61		
-72.02   	-176.70   	 77.42   	 -61.04		 60.02   	 -40.69		
-87.89   	-166.63   	 77.17   	 -66.12		 59.86   	 -45.78		
-105.90   	-169.68   	 76.91   	 -76.30		 59.67   	 -45.78		
-67.14   	-165.41   	 76.60   	 -96.64		 59.49   	 -61.04		
-97.66   	-173.34   	 76.22   	-116.99		 59.25   	 -66.12		
-85.75   	-176.39   	 75.75   	-116.99		 58.98   	 -81.38		
-79.35   	-175.48   	 75.28   	-116.99		 58.66   	-101.73		
-98.88   	-182.80   	 74.81   	-127.16		 58.25   	-127.16		
-78.13   	-176.70   	 74.30   	-142.42		 57.74   	-162.77		
-92.47   	-174.87   	 73.73   	-157.68		 57.09   	-203.46		
-91.86   	-179.44   	 73.10   	-167.85		 56.28   	-259.41		
-72.02   	-174.26   	 72.43   	-183.11		 55.24   	-315.36		
-87.59   	-184.33   	 71.70   	-208.54		 53.98   	-386.57		
-74.46   	-194.09   	 70.86   	-244.15		 52.43   	-457.78		
-84.84   	-196.53   	 69.89   	-284.84		 50.60   	-544.25		
-76.29   	-176.39   	 68.75   	-310.27		 48.42   	-620.55		
-85.75   	-168.15   	 67.51   	-305.19		 45.94   	-676.50		
-87.28   	-158.39   	 66.29   	-259.41		 43.23   	-712.10		
-55.85   	-139.77   	 65.25   	-198.37		 40.39   	-727.36		
-89.42   	-169.68   	 64.46   	-142.42		 37.48   	-742.62		
-62.87   	-177.31   	 63.89   	 -91.56		 34.51   	-742.62		
-66.83   	-183.41   	 63.52   	 -61.04		 31.54   	-737.54		
-86.06   	-200.20   	 63.28   	 -30.52		 28.59   	-727.36		
-57.07   	-185.85   	 63.15   	 -20.35		 25.68   	-701.93		
-65.31   	-176.70   	 63.07   	 -35.61		 22.87   	-661.24		
-53.10   	-173.95   	 62.93   	 -66.12		 20.22   	-600.20		
-70.80   	-175.17   	 62.67   	-101.73		 17.82   	-534.08		
-67.14   	-166.63   	 62.26   	-127.16		 15.69   	-473.04		
-92.16   	-185.24   	 61.75   	-152.59		 13.79   	-412.00		
-61.04   	-172.42   	 61.14   	-167.85		 12.15   	-361.14		
-48.22   	-144.65   	 60.47   	-183.11		 10.70   	-295.01		
-52.49   	-123.90   	 59.74   	-183.11		  9.52   	-233.98		
-13.12   	-82.70   	 59.00   	-172.94		  8.59   	-188.20		
-47.00   	-68.05   	 58.31   	-147.51		  7.83   	-137.33		
-10.07   	-47.00   	 57.72   	-116.99		  7.28   	-101.73		
 -9.46   	-48.83   	 57.25   	 -86.47		  6.88   	 -71.21		
 10.38   	-26.55   	 56.91   	 -71.21		  6.59   	 -45.78		
 36.62   	 19.23   	 56.62   	 -55.95		  6.41   	 -30.52		
 18.62   	 40.28   	 56.40   	 -45.78		  6.29   	 -15.26		
 44.86   	 86.06   	 56.22   	 -30.52		  6.23   	   0.00		
 34.48   	 66.53   	 56.09   	 -45.78		  6.23   	   0.00		
 40.59   	 26.86   	 55.91   	 -66.12		  6.23   	   0.00		
 36.62   	  0.00   	 55.65   	 -71.21		  6.23   	  10.17		
 27.47   	-48.52   	 55.36   	 -91.56		  6.27   	   5.09		
 -7.93   	-88.50   	 54.99   	 -96.64		  6.29   	   0.00		
-27.47   	-115.97   	 54.61   	-116.99		  6.29   	 -10.17		
-57.68   	-162.66   	 54.14   	-122.07		  6.25   	 -10.17		
-95.83   	-207.21   	 53.65   	-116.99		  6.21   	 -15.26		
-96.44   	-210.57   	 53.18   	-111.90		  6.14   	  -5.09		
-137.94   	-224.61   	 52.74   	-101.73		  6.12   	  -5.09		
-133.36   	-224.00   	 52.33   	 -91.56		  6.10(D)	   5.09		
-114.75   	-208.13   	 51.96   	 -86.47		  6.12   	   0.00		
-122.07   	-218.20   	 51.62   	 -76.30		  6.12   	   5.09		
-103.45   	-216.98   	 51.31   	 -66.12		  6.14   	   0.00		
-107.12   	-225.52   	 51.05   	 -61.04		  6.14   	   5.09		
-51.57   	-303.96   	 50.80   	 -55.95		  6.16   	   5.09		
 94.91   	-375.06   	 50.58   	 -55.95		  6.19   	  10.17		
341.49   	-373.84   	 50.36   	 -61.04		  6.23   	  10.17		
711.06   	-162.35   	 50.11   	 -66.12		  6.27   	  15.26		
1038.82   	358.89   	 49.85   	 -71.21		  6.33   	  10.17		
1299.74   	1062.01   	 49.56   	 -76.30		  6.37   	  15.26		
1140.14   	1788.33(R)	 49.26   	 -86.47		  6.43(E)	  20.35		
-105.29   	1646.12   	 48.91   	 -86.47		  6.51   	  15.26		
-838.62   	778.20   	 48.57   	 -81.38		  6.57   	  20.35		
-1059.88   	-81.18   	 48.24   	 -66.12		  6.65   	  20.35		
-769.65   	-658.26   	 47.98   	 -61.04		  6.73   	  15.26		
-462.34   	-604.55   	 47.73   	 -66.12		  6.80   	  15.26		
-143.74   	-212.40   	 47.47   	 -66.12		  6.86   	  20.35		
-48.52   	-56.15   	 47.20   	 -61.04		  6.94   	  20.35		
-85.75   	-138.55   	 46.96   	 -50.86		  7.02   	  25.43		
-130.00   	-182.80   	 46.75   	 -50.86		  7.12   	  25.43		
-110.78   	-216.98   	 46.55   	 -55.95		  7.22   	  30.52		
-81.79   	-189.21   	 46.33   	 -55.95		  7.34   	  40.69		
-75.07   	-145.57   	 46.10   	 -66.12		  7.51   	  55.95		
-70.50   	-156.25   	 45.84   	 -61.04		  7.73   	  66.12		
-68.36   	-191.35   	 45.59   	 -61.04		  8.00   	  81.38		
-58.59   	-206.30   	 45.35   	 -55.95		  8.32   	  96.64		
-53.10   	-156.56   	 45.13   	 -55.95		  8.71   	 106.82		
-54.32   	-128.17   	 44.90   	 -66.12		  9.14   	 142.42		
-49.44   	-137.33   	 44.64   	 -71.21		  9.70   	 183.11		
-38.15   	-155.64   	 44.35   	 -66.12		 10.44   	 244.15		
