SAMPLE NUMBER:   30
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  RFA     	  RFA'		
-763.86   	152.28   	  3.03   	  -5.09		 53.79   	 -45.78		
-765.08   	131.84   	  3.01   	   0.00		 53.61   	 -40.69		
-769.96   	115.36   	  3.01   	   0.00		 53.45   	 -40.69		
-781.25   	109.56   	  3.01   	   0.00		 53.29   	 -40.69		
-778.50   	106.20   	  3.01   	   0.00		 53.12   	 -35.61		
-779.72   	101.32   	  3.01   	   5.09		 52.98   	 -40.69		
-781.86   	 94.91   	  3.03   	   0.00		 52.82   	 -35.61		
-780.94   	 89.72   	  3.03   	   5.09		 52.68   	 -35.61		
-785.22   	 73.85   	  3.05   	   5.09		 52.53   	 -35.61		
-789.18   	 67.14   	  3.07   	   5.09		 52.39   	 -30.52		
-801.09   	 63.17   	  3.09   	   0.00		 52.27   	 -35.61		
-816.04   	 56.15   	  3.09   	   5.09		 52.13   	 -40.69		
-823.67   	 57.07   	  3.11   	   5.09		 51.96   	 -35.61		
-835.27   	 60.73   	  3.13   	   0.00		 51.82   	 -40.69		
-834.35   	 62.56   	  3.13   	   0.00		 51.66   	 -40.69		
-827.64   	 56.46   	  3.13   	  -5.09		 51.50   	 -35.61		
-831.60   	 57.98   	  3.11   	  -5.09		 51.35   	 -40.69		
-831.60   	 58.29   	  3.09   	 -15.26		 51.19   	 -35.61		
-832.21   	 52.49   	  3.03   	 -20.35		 51.05   	 -35.61		
-840.45   	 55.54   	  2.95   	 -25.43		 50.91   	 -30.52		
-856.32   	 48.22   	  2.85   	 -30.52		 50.78   	 -30.52		
-885.01   	 32.96   	  2.73   	 -35.61		 50.66   	 -30.52		
-903.93   	  7.63   	  2.58   	 -30.52		 50.54   	 -30.52		
-901.79   	 34.18   	  2.46   	 -30.52		 50.42   	 -35.61		
-881.65   	163.27   	  2.34   	 -20.35		 50.27   	 -30.52		
-810.24   	399.48   	  2.26   	  -5.09		 50.15   	 -30.52		
-724.49   	707.40   	  2.24(E)	  15.26		 50.03   	 -30.52		
-574.95   	955.20   	  2.30   	  61.04		 49.91   	 -35.61		
-381.16   	1225.28(R)	  2.54   	  76.30		 49.77   	 -30.52		
-496.52   	1053.77   	  2.85   	  96.64		 49.64   	 -30.52		
-751.04   	843.20   	  3.23   	 106.82		 49.52   	 -30.52		
-974.43   	437.62   	  3.66   	  96.64		 49.40   	 -35.61		
-1142.58   	-16.17   	  4.05   	  96.64		 49.26   	 -30.52		
-1215.52   	-181.58   	  4.44   	  81.38		 49.14   	 -30.52		
-1248.78   	-239.26   	  4.76   	  71.21		 49.01   	 -30.52		
-1414.80   	-212.10   	  5.05   	  45.78		 48.89   	 -30.52		
-1593.63   	-121.15   	  5.23   	  25.43		 48.77   	 -30.52		
-1709.90   	-189.51   	  5.33   	  -5.09		 48.65   	 -25.43		
-1795.04   	-316.47   	  5.31   	 -25.43		 48.55   	 -30.52		
-1839.29   	-408.02   	  5.21   	 -40.69		 48.42   	 -25.43		
-1842.04   	-461.73   	  5.05   	 -45.78		 48.32   	 -25.43		
-1848.75   	-496.83   	  4.86   	 -35.61		 48.22   	 -25.43		
-1808.17   	-477.29   	  4.72   	 -10.17		 48.12   	 -30.52		
-1727.91   	-394.59   	  4.68   	  20.35		 48.00   	 -30.52		
-1628.42   	-274.05   	  4.76   	  45.78		 47.87   	 -30.52		
-1500.55   	-154.72   	  4.94   	  55.95		 47.75   	 -25.43		
-1362.00   	-86.36   	  5.17   	  50.86		 47.65   	 -30.52		
-1198.12   	-37.54   	  5.37   	  30.52		 47.53   	 -25.43		
-1029.66   	-15.26   	  5.49   	  35.61		 47.43   	 -25.43		
-900.27   	  2.75   	  5.64   	  20.35		 47.32   	 -25.43		
-819.70   	 78.43   	  5.72   	  15.26		 47.22   	 -20.35		
-786.74   	 93.69   	  5.78   	  20.35		 47.14   	 -20.35		
-776.37   	 86.98   	  5.86   	  71.21		 47.06   	 -25.43		
-767.52   	 84.84   	  6.14   	 137.33		 46.96   	 -25.43		
-758.97   	 97.05   	  6.69   	 223.80		 46.86   	 -25.43		
