SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  AO     	  AO'		  RV     	  RV'		
 66.22   	 49.13   	 75.30   	 -40.69		  2.32   	  91.56		
 83.62   	 65.00   	 75.14   	 -35.61		  2.69   	 111.90		
 83.62   	 62.87   	 74.99   	 -30.52		  3.13   	 116.99		
 67.44   	 46.39   	 74.87   	 -25.43		  3.60   	 111.90		
 48.22   	 29.60   	 74.77   	 -30.52		  4.05   	  96.64		
 41.50   	 25.02   	 74.65   	 -35.61		  4.44   	  66.12		
 51.27   	 31.13   	 74.51   	 -40.69		  4.70   	  40.69		
 68.05   	 34.79   	 74.34   	 -45.78		  4.86   	  10.17		
 76.60   	 21.97   	 74.16   	 -35.61		  4.90   	 -10.17		
 68.97   	-11.60   	 74.02   	 -35.61		  4.86   	 -20.35		
 46.69   	-58.59   	 73.88   	 -35.61		  4.78   	 -20.35		
 19.84   	-106.20   	 73.73   	 -30.52		  4.70   	 -25.43		
 -4.58   	-143.13   	 73.61   	 -30.52		  4.60   	 -15.26		
-22.89   	-164.49   	 73.49   	 -30.52		  4.54   	 -10.17		
-35.71   	-171.81   	 73.37   	 -35.61		  4.50   	 -10.17		
-43.64   	-170.59   	 73.22   	 -35.61		  4.46   	   5.09		
-46.69   	-166.63   	 73.08   	 -25.43		  4.48   	  15.26		
-45.17   	-164.18   	 72.98   	 -25.43		  4.54   	  10.17		
-42.11   	-163.88   	 72.88   	 -30.52		  4.58   	  20.35		
-39.98   	-163.88   	 72.76   	 -30.52		  4.66   	  30.52		
-41.20   	-162.35   	 72.63   	 -30.52		  4.78   	  35.61		
-45.47   	-159.00   	 72.51   	 -30.52		  4.92   	  40.69		
-49.13   	-152.28   	 72.39   	 -40.69		  5.09   	  40.69		
-47.61   	-140.38   	 72.23   	 -35.61		  5.25   	  40.69		
-39.37   	-123.90   	 72.09   	 -35.61		  5.41   	  45.78		
-26.55   	-104.37   	 71.94   	 -30.52		  5.60   	  40.69		
-11.60   	-84.53   	 71.82   	 -35.61		  5.76   	  35.61		
  1.83   	-67.44   	 71.68   	 -35.61		  5.90   	  40.69		
 12.51   	-55.54   	 71.54   	 -30.52		  6.06   	  45.78		
 20.14   	-50.35   	 71.41   	 -35.61		  6.25   	  50.86		
