SAMPLE NUMBER:   21
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  II     	  aR     	  RV     	  RV'		  RFA     	  RFA'		
457.46   	-228.58   	 43.01   	  91.56		 64.25   	 -55.95		
473.94   	-236.82   	 43.38   	  86.47		 64.03   	 -55.95		
490.42   	-245.06   	 43.72   	 178.03		 63.80   	 -55.95		
507.20   	-253.91   	 44.44   	 218.72		 63.58   	 -55.95		
523.99   	-262.15   	 45.31   	 233.98		 63.36   	 -50.86		
541.08   	-270.39   	 46.25   	 269.58		 63.15   	 -55.95		
560.00   	-279.85   	 47.32   	 289.93		 62.93   	 -50.86		
581.67   	-290.83   	 48.48   	 335.71		 62.73   	 -55.95		
607.61   	-303.96   	 49.83   	 467.95		 62.50   	 -50.86		
636.60   	-318.60   	 51.70   	 732.45		 62.30   	 -45.78		
666.50   	-333.25   	 54.63   	 762.97		 62.12   	 -40.69		
696.11   	-347.90   	 57.68   	 595.11		 61.95   	 -40.69		
726.01   	-362.85   	 60.06   	 605.29		 61.79   	 -40.69		
758.67   	-379.03   	 62.48   	 620.55		 61.63   	 -35.61		
794.98   	-397.03   	 64.96   	 457.78		 61.49   	 -35.61		
835.27   	-417.48   	 66.80   	 284.84		 61.34   	 -35.61		
877.38   	-438.54   	 67.93   	 178.03		 61.20   	 -35.61		
920.41   	-460.21   	 68.65   	  91.56		 61.06   	 -35.61		
963.44   	-481.57   	 69.01   	  -5.09		 60.92   	 -40.69		
1005.25   	-502.62   	 68.99   	 -91.56		 60.75   	 -40.69		
1044.01   	-521.85   	 68.63   	-142.42		 60.59   	 -40.69		
1076.97   	-538.33   	 68.06   	-188.20		 60.43   	 -45.78		
1103.82   	-551.76   	 67.30   	-213.63		 60.24   	 -40.69		
1124.57   	-562.13   	 66.45   	-218.72		 60.08   	 -45.78		
1138.92   	-569.15   	 65.57   	-193.29		 59.90   	 -40.69		
1146.24   	-572.81   	 64.80   	-152.59		 59.74   	 -40.69		
1145.32   	-572.51   	 64.19   	 -81.38		 59.57   	 -30.52		
1134.03   	-567.02   	 63.87   	   5.09		 59.45   	 -25.43		
1113.59   	-556.95   	 63.89   	  50.86		 59.35   	 -20.35		
1084.59   	-542.60   	 64.09   	 -35.61		 59.27   	 -10.17		
1049.19   	-524.90   	 63.95   	-137.33		 59.23   	   0.00		
1007.08   	-503.85   	 63.40   	-167.85		 59.23   	  15.26		
957.64   	-478.82   	 62.73   	-178.03		 59.29   	  30.52		
900.88   	-450.44   	 62.01   	-188.20		 59.41   	  45.78		
837.71   	-418.70   	 61.26   	-208.54		 59.59   	  71.21		
769.96   	-384.83   	 60.43   	-193.29		 59.88   	  86.47		
699.46   	-349.73   	 59.65   	-172.94		 60.22   	 106.82		
628.97   	-314.33   	 58.96   	-152.59		 60.65   	 127.16		
558.78   	-279.54   	 58.35   	-122.07		 61.16   	 142.42		
489.50   	-245.06   	 57.86   	-122.07		 61.73   	 147.51		
419.92   	-210.27   	 57.38   	-116.99		 62.32   	 147.51		
350.04   	-174.87   	 56.91   	-106.82		 62.91   	 147.51		
280.46   	-140.08   	 56.48   	-122.07		 63.50   	 142.42		
213.62   	-106.81   	 55.99   	-157.68		 64.07   	 132.25		
152.59   	-76.29   	 55.36   	-223.80		 64.60   	 122.07		
 98.57   	-49.13   	 54.47   	-279.75		 65.09   	 111.90		
 50.66   	-25.33   	 53.35   	-269.58		 65.53   	 106.82		
  7.93   	 -3.97   	 52.27   	-269.58		 65.96   	  96.64		
-30.52   	 14.95   	 51.19   	-361.14		 66.35   	  96.64		
-64.70   	 32.04   	 49.75   	-432.35		 66.73   	  91.56		
-93.99   	 47.00   	 48.02   	-386.57		 67.10   	  96.64		
-118.10   	 58.90   	 46.47   	-376.40		 67.49   	  96.64		
-137.63   	 68.66   	 44.96   	-498.47		 67.87   	  96.64		
-152.59   	 76.29   	 42.97   	-579.86		 68.26   	 101.73		
-163.27   	 81.48   	 40.65   	-640.89		 68.67   	 101.73		
-169.98   	 84.84   	 38.09   	-691.76		 69.07   	 101.73		
-174.56   	 87.28   	 35.32   	-701.93		 69.48   	  91.56		
-178.53   	 89.11   	 32.51   	-625.63		 69.85   	  81.38		
-182.19   	 90.94   	 30.01   	-534.08		 70.17   	  71.21		
-185.85   	 92.77   	 27.87   	-508.65		 70.46   	  55.95		
-188.90   	 94.30   	 25.84   	-503.56		 70.68   	  45.78		
-191.04   	 95.52   	 23.82   	-473.04		 70.86   	  35.61		
-192.87   	 96.44   	 21.93   	-417.09		 71.01   	  15.26		
-193.48   	 96.74   	 20.26   	-345.88		 71.07   	  10.17		
-193.18   	 96.44   	 18.88   	-279.75		 71.11   	   0.00		
-191.96   	 95.83   	 17.76   	-213.63		 71.11   	 -10.17		
-191.35   	 95.52   	 16.91   	-147.51		 71.07   	 -20.35		
-191.96   	 95.83   	 16.32   	-116.99		 70.99   	 -25.43		
-194.09   	 97.05   	 15.85   	-122.07		 70.88   	 -35.61		
-195.92   	 97.96   	 15.36   	-116.99		 70.74   	 -45.78		
-196.84   	 98.27   	 14.89   	-152.59		 70.56   	 -50.86		
-197.14   	 98.57   	 14.28   	-218.72		 70.36   	 -66.12		
-197.14   	 98.57   	 13.41   	-269.58		 70.09   	 -71.21		
-197.75   	 98.88   	 12.33   	-320.45		 69.81   	 -81.38		
-198.06   	 98.57   	 11.05   	-345.88		 69.48   	 -91.56		
-196.84   	 97.96   	  9.66   	-345.88		 69.11   	 -91.56		
-194.40   	 96.44   	  8.28   	-345.88		 68.75   	-101.73		
-191.96   	 95.52   	  6.90   	-320.45		 68.34   	 -96.64		
-190.73   	 94.91   	  5.62   	-269.58		 67.95   	 -96.64		
-191.65   	 95.83   	  4.54   	-203.46		 67.57   	 -91.56		
-194.09   	 97.05   	  3.72   	-122.07		 67.20   	 -91.56		
-196.53   	 98.27   	  3.23   	 -50.86		 66.84   	 -86.47		
-197.14   	 98.57   	  3.03   	   5.09		 66.49   	 -81.38		
-195.62   	 97.35   	  3.05   	  35.61		 66.16   	 -81.38		
-193.18   	 96.13   	  3.19   	  55.95		 65.84   	 -81.38		
-190.43   	 94.91   	  3.42   	  45.78		 65.51   	 -86.47		
-189.51   	 94.30   	  3.60   	 -25.43		 65.17   	 -86.47		
-190.43   	 94.91   	  3.50   	 -86.47		 64.82   	 -96.64		
-192.57   	 95.83   	  3.15   	-106.82		 64.44   	 -96.64		
-194.70   	 97.05   	  2.73   	-157.68		 64.05   	-101.73		
-195.92   	 97.66   	  2.10   	-391.66		 63.64   	-101.73		
-195.62   	 97.66   	  0.53   	-757.88		 63.23   	-101.73		
-195.01   	 97.35   	 -2.50   	-630.72		 62.83   	-106.82		
-195.01   	 97.35   	 -5.03   	-122.07		 62.40   	 -96.64		
-195.31   	 97.66   	 -5.51(D)	 111.90		 62.01   	 -96.64		
-195.31   	 97.35   	 -5.07   	 198.37		 61.63   	 -86.47		
-193.79   	 96.44   	 -4.27   	 361.14		 61.28   	 -81.38		
-192.87   	 96.13   	 -2.83   	 483.21		 60.96   	 -76.30		
-194.70   	 97.05   	 -0.90   	 523.90		 60.65   	 -76.30		
-198.67   	 98.88   	  1.20   	 559.51		 60.35   	 -66.12		
-199.58   	 99.49   	  3.44   	 544.25		 60.08   	 -61.04		
-189.51   	 94.30   	  5.62   	 478.13		 59.84   	 -61.04		
-166.02   	 82.70   	  7.53   	 376.40		 59.59   	 -61.04		
-134.58   	 66.83   	  9.03   	 249.24		 59.35   	 -55.95		
-107.73   	 53.41   	 10.03   	 101.73		 59.12   	 -55.95		
-97.66   	 48.83   	 10.44   	 -25.43		 58.90   	 -50.86		
-106.51   	 53.10   	 10.34   	-142.42		 58.70   	 -50.86		
-124.51   	 62.26   	  9.77   	-259.41		 58.49   	 -50.86		
-137.02   	 68.36   	  8.73   	-320.45		 58.29   	 -50.86		
-133.67   	 66.83   	  7.45   	-356.05		 58.09   	 -45.78		
-115.36   	 57.68   	  6.02   	-361.14		 57.90   	 -45.78		
-94.60   	 47.30   	  4.58   	-345.88		 57.72   	 -40.69		
-87.28   	 43.64   	  3.19   	-284.84		 57.56   	 -40.69		
-97.96   	 48.83   	  2.05   	-193.29		 57.40   	 -35.61		
-117.19   	 58.59   	  1.28   	 -91.56		 57.25   	 -40.69		
-133.06   	 66.53   	  0.92   	  15.26		 57.09   	 -40.69		
-141.91   	 70.80   	  0.98   	 106.82		 56.93   	 -40.69		
-152.28   	 75.99   	  1.40   	 162.77		 56.76   	 -35.61		
-174.26   	 86.98   	  2.05   	 213.63		 56.62   	 -40.69		
-209.05   	104.37   	  2.91   	 244.15		 56.46   	 -35.61		
-242.92   	121.46   	  3.89   	 233.98		 56.32   	 -40.69		
-260.93   	130.31   	  4.82   	 193.29		 56.15   	 -35.61		
-259.70   	129.70   	  5.60   	 152.59		 56.01   	 -35.61		
-246.58   	123.29   	  6.21   	 127.16		 55.87   	 -35.61		
-234.07   	116.88   	  6.71   	 106.82		 55.73   	 -35.61		
-229.49   	114.75   	  7.14   	  66.12		 55.58   	 -35.61		
-232.24   	115.97   	  7.41   	  25.43		 55.44   	 -35.61		
-236.82   	118.41   	  7.51   	 -15.26		 55.30   	 -35.61		
-238.95   	119.32   	  7.45   	 -35.61		 55.16   	 -40.69		
-237.73   	118.71   	  7.30   	 -30.52		 54.99   	 -35.61		
-234.68   	116.88   	  7.18   	 -20.35		 54.85   	 -40.69		
-231.32   	115.36   	  7.10   	 -20.35		 54.69   	 -35.61		
-228.27   	114.14   	  7.02   	 -10.17		 54.55   	 -40.69		
-225.83   	112.92   	  6.98   	   0.00		 54.38   	 -40.69		
-224.30   	112.00   	  6.98   	  20.35		 54.22   	 -35.61		
-224.30   	112.00   	  7.06   	  45.78		 54.08   	 -35.61		
-226.44   	113.22   	  7.24   	  66.12		 53.94   	 -35.61		
-230.41   	115.05   	  7.51   	 106.82		 53.79   	 -35.61		
-234.07   	116.88   	  7.93   	 137.33		 53.65   	 -30.52		
-232.54   	116.27   	  8.48   	 137.33		 53.53   	 -30.52		
-220.64   	110.17   	  9.03   	 116.99		 53.41   	 -35.61		
-194.09   	 97.05   	  9.50   	  76.30		 53.27   	 -30.52		
-149.84   	 74.77   	  9.81   	  15.26		 53.14   	 -35.61		
-84.53   	 42.11   	  9.87   	 -50.86		 53.00   	 -35.61		
 13.43   	 -6.71   	  9.66   	 -96.64		 52.86   	 -35.61		
166.02   	-83.01   	  9.28   	 -81.38		 52.72   	 -30.52		
392.15   	-195.92   	  8.95   	 -71.21		 52.59   	 -30.52		
672.61   	-336.30   	  8.67   	 -71.21		 52.47   	 -35.61		
929.26   	-464.48   	  8.38   	 -61.04		 52.33   	 -30.52		
959.47(R)	-479.74   	  8.14(E)	  55.95		 52.21   	 -35.61		
654.30   	-327.15   	  8.36   	  91.56		 52.06   	 -30.52		
241.39   	-120.54   	  8.73   	 127.16		 51.94   	 -30.52		
-131.53   	 65.61   	  9.24   	  96.64		 51.82   	 -30.52		
-359.80   	179.75   	  9.62   	  55.95		 51.70   	 -35.61		
-428.47   	214.23   	  9.85   	  55.95		 51.56   	 -30.52		
-396.42   	198.06   	 10.07   	  55.95		 51.43   	 -30.52		
-350.34   	175.17   	 10.29   	  66.12		 51.31   	 -30.52		
-354.00   	177.31   	 10.56   	  71.21		 51.19   	 -35.61		
-415.65   	208.13   	 10.84   	 101.73		 51.05   	 -30.52		
-494.69   	247.50   	 11.25   	 132.25		 50.93   	 -25.43		
-534.36   	267.03   	 11.78   	 157.68		 50.82   	 -30.52		
-495.30   	247.50   	 12.41   	 198.37		 50.70   	 -30.52		
-380.25   	190.12   	 13.20   	 305.19		 50.58   	 -30.52		
-236.21   	118.10   	 14.43   	 447.61		 50.46   	 -30.52		
-122.99   	 61.34   	 16.22   	 676.50		 50.34   	 -25.43		
-75.07   	 37.54   	 18.92   	 930.82		 50.23   	 -30.52		
-84.84   	 42.42   	 22.64   	 946.08		 50.11   	 -30.52		
-116.58   	 58.29   	 26.43   	 920.65		 49.99   	 -30.52		
