SAMPLE NUMBER:   21
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  II     	  aR     	  RV     	  RV'		  RFA     	  RFA'		
-87.59   	 43.64   	  5.19   	  86.47		 71.82   	-116.99		
-218.20   	108.95   	  5.53   	  76.30		 71.35   	-106.82		
-236.21   	118.41   	  5.84   	  55.95		 70.93   	-111.90		
-205.99   	103.15   	  6.06   	  10.17		 70.48   	-106.82		
-198.06   	 99.18   	  6.10   	 -15.26		 70.05   	-111.90		
-244.75   	122.68   	  6.04   	 -30.52		 69.60   	-111.90		
-327.76   	163.88   	  5.92   	 -40.69		 69.16   	-111.90		
-397.64   	198.67   	  5.76   	-106.82		 68.71   	-111.90		
-406.80   	203.25   	  5.33   	-198.37		 68.26   	-111.90		
-340.27   	169.98   	  4.54   	-157.68		 67.81   	-106.82		
-226.75   	113.53   	  3.91   	  40.69		 67.39   	-106.82		
-120.54   	 60.42   	  4.07   	 284.84		 66.96   	 -96.64		
-63.48   	 32.04   	  5.21   	 544.25		 66.57   	 -96.64		
-60.42   	 30.52   	  7.39   	 844.35		 66.18   	 -86.47		
-87.28   	 43.64   	 10.76   	 971.51		 65.84   	 -86.47		
-112.61   	 56.15   	 14.65   	1063.07		 65.49   	 -81.38		
-118.71   	 59.20   	 18.90   	1353.00		 65.17   	 -81.38		
-108.03   	 54.02   	 24.31   	1551.37		 64.84   	 -76.30		
-93.99   	 47.00   	 30.52   	1363.17		 64.54   	 -81.38		
-86.67   	 43.33   	 35.97   	1088.50		 64.21   	 -76.30		
-87.28   	 43.95   	 40.33   	1907.42		 63.91   	 -81.38		
-91.55   	 46.08   	 47.96   	 839.26		 63.58   	 -81.38		
-89.72   	 45.17   	 51.31   	 778.23		 63.26   	 -76.30		
-86.98   	 43.64   	 54.43   	 701.93		 62.95   	 -76.30		
-85.75   	 43.03   	 57.23   	 544.25		 62.64   	 -71.21		
-86.36   	 43.33   	 59.41   	 381.48		 62.36   	 -71.21		
-87.89   	 44.25   	 60.94   	 330.62		 62.08   	 -71.21		
-88.50   	 44.56   	 62.26   	 366.22		 61.79   	 -66.12		
-87.59   	 44.25   	 63.72   	 330.62		 61.53   	 -61.04		
-86.06   	 43.64   	 65.05   	 310.27		 61.28   	 -66.12		
-85.14   	 42.72   	 66.29   	 473.04		 61.02   	 -61.04		
-84.53   	 42.42   	 68.18   	 686.67		 60.77   	 -61.04		
-83.01   	 41.81   	 70.93   	 778.23		 60.53   	 -55.95		
-79.35   	 39.98   	 74.04   	 869.78		 60.30   	 -61.04		
-74.46   	 37.54   	 77.52   	 854.52		 60.06   	 -55.95		
-68.97   	 34.79   	 80.94   	 747.71		 59.84   	 -55.95		
-64.70   	 32.65   	 83.93   	 773.14		 59.61   	 -55.95		
-61.65   	 31.13   	 87.02   	 849.44		 59.39   	 -55.95		
-59.20   	 29.91   	 90.42   	 762.97		 59.17   	 -50.86		
-55.85   	 28.08   	 93.47   	 457.78		 58.96   	 -50.86		
-52.19   	 26.25   	 95.30   	  45.78		 58.76   	 -45.78		
-48.22   	 24.41   	 95.48   	-345.88		 58.58   	 -45.78		
-44.86   	 22.58   	 94.10   	-727.36		 58.39   	 -45.78		
-42.11   	 21.36   	 91.19   	-1037.64		 58.21   	 -40.69		
-38.45   	 19.53   	 87.04   	-1215.66		 58.05   	 -45.78		
-33.26   	 16.78   	 82.18   	-1210.58		 57.86   	 -40.69		
-25.94   	 13.12   	 77.33   	-940.99		 57.70   	 -40.69		
-16.78   	  8.54   	 73.57   	-605.29		 57.54   	 -45.78		
 -5.49   	  3.05   	 71.15   	-259.41		 57.35   	 -40.69		
  7.63   	 -3.36   	 70.11   	 157.68		 57.19   	 -35.61		
 22.58   	-10.99   	 70.74   	 534.08		 57.05   	 -25.43		
 38.76   	-18.92   	 72.88   	 747.71		 56.95   	 -15.26		
 55.85   	-27.47   	 75.87   	 885.04		 56.89   	   5.09		
 74.16   	-36.62   	 79.41   	 935.91		 56.91   	  40.69		
 93.38   	-46.39   	 83.15   	 900.30		 57.07   	  81.38		
113.53   	-56.46   	 86.75   	 793.49		 57.40   	 152.59		
135.19   	-67.14   	 89.93   	 656.15		 58.01   	 218.72		
156.86   	-78.13   	 92.55   	 498.47		 58.88   	 300.10		
177.92   	-88.50   	 94.55   	 295.01		 60.08   	 356.05		
198.06   	-98.27   	 95.73   	 127.16		 61.51   	 401.83		
216.37   	-107.42   	 96.24   	  25.43		 63.11   	 417.09		
232.24   	-115.36   	 96.34(S)	 -55.95		 64.78   	 406.92		
244.45   	-121.46   	 96.11   	-111.90		 66.41   	 376.40		
250.55   	-124.82   	 95.67   	-183.11		 67.91   	 330.62		
249.33   	-124.21   	 94.93   	-213.63		 69.24   	 269.58		
241.39   	-120.24   	 94.08   	-162.77		 70.32   	 228.89		
227.66   	-113.53   	 93.43   	-116.99		 71.23   	 188.20		
210.57   	-104.68   	 92.96   	-106.82		 71.98   	 167.85		
190.73   	-94.60   	 92.53   	 -91.56		 72.65   	 172.94		
168.46   	-83.92   	 92.17   	 -96.64		 73.35   	 193.29		
142.82   	-71.11   	 91.78   	-137.33		 74.12   	 223.80		
113.53   	-56.76   	 91.23   	-213.63		 75.01   	 269.58		
 82.09   	-40.89   	 90.38   	-289.93		 76.09   	 310.27		
 50.35   	-25.02   	 89.22   	-366.22		 77.33   	 340.79		
 20.45   	-10.07   	 87.75   	-467.95		 78.70   	 356.05		
 -5.80   	  3.05   	 85.88   	-564.60		 80.12   	 366.22		
-28.38   	 14.34   	 83.62   	-625.63		 81.59   	 350.97		
-48.52   	 24.41   	 81.12   	-676.50		 82.99   	 330.62		
-67.44   	 33.87   	 78.41   	-727.36		 84.31   	 300.10		
-85.45   	 43.03   	 75.50   	-762.97		 85.51   	 269.58		
-101.32   	 50.96   	 72.45   	-808.75		 86.59   	 239.06		
-114.14   	 57.68   	 69.22   	-900.30		 87.55   	 218.72		
-124.51   	 62.87   	 65.62   	-1017.29		 88.42   	 198.37		
-132.75   	 66.83   	 61.55   	-1119.02		 89.22   	 188.20		
-140.08   	 70.50   	 57.07   	-1215.66		 89.97   	 172.94		
-146.48   	 73.55   	 52.21   	-1398.77		 90.66   	 172.94		
-151.98   	 75.99   	 46.61   	-1302.13		 91.35   	 162.77		
-155.94   	 77.82   	 41.40   	-935.91		 92.00   	 147.51		
-159.00   	 79.35   	 37.66   	-874.87		 92.59   	 127.16		
-161.13   	 80.57   	 34.16   	-910.47		 93.10   	 101.73		
-162.35   	 81.48   	 30.52   	-696.84		 93.51   	  76.30		
-162.05   	 81.18   	 27.73   	-554.42		 93.81   	  40.69		
-161.13   	 80.57   	 25.51   	-488.30		 93.98   	   5.09		
-159.91   	 79.96   	 23.56   	-356.05		 94.00(S)	 -35.61		
-159.61   	 79.65   	 22.14   	-269.58		 93.86   	 -66.12		
-159.61   	 79.65   	 21.06   	-264.50		 93.59   	 -96.64		
-159.30   	 79.96   	 20.00   	-254.32		 93.20   	-122.07		
-157.47   	 79.04   	 18.98   	-193.29		 92.72   	-142.42		
-153.81   	 77.21   	 18.21   	 -81.38		 92.15   	-157.68		
-149.23   	 74.77   	 17.88   	 -40.69		 91.52   	-172.94		
-145.57   	 72.94   	 17.72   	-137.33		 90.82   	-178.03		
-144.04   	 72.33   	 17.17   	-264.50		 90.11   	-178.03		
-144.65   	 72.63   	 16.11   	-345.88		 89.40   	-193.29		
-146.18   	 73.24   	 14.73   	-422.18		 88.63   	-193.29		
-147.09   	 73.85   	 13.04   	-508.65		 87.85   	-203.46		
-146.18   	 72.94   	 11.01   	-554.42		 87.04   	-208.54		
-144.65   	 72.33   	  8.79   	-549.34		 86.21   	-213.63		
-143.74   	 71.72   	  6.59   	-503.56		 85.35   	-218.72		
-144.04   	 72.02   	  4.58   	-422.18		 84.48   	-223.80		
-144.04   	 72.02   	  2.89   	-300.10		 83.58   	-218.72		
-142.82   	 71.72   	  1.69   	-172.94		 82.71   	-218.72		
-139.47   	 69.89   	  1.00   	 -76.30		 81.83   	-213.63		
-136.11   	 68.36   	  0.69   	 -15.26		 80.98   	-208.54		
-134.58   	 67.14   	  0.63(D)	  30.52		 80.14   	-193.29		
-135.80   	 67.75   	  0.75   	  61.04		 79.37   	-183.11		
-138.85   	 69.27   	  1.00   	  71.21		 78.64   	-162.77		
-142.52   	 71.11   	  1.28   	  86.47		 77.99   	-157.68		
-144.65   	 72.63   	  1.63   	  91.56		 77.35   	-142.42		
-144.65   	 72.63   	  1.99   	  66.12		 76.79   	-137.33		
-142.82   	 71.72   	  2.26   	  40.69		 76.24   	-127.16		
-141.30   	 70.80   	  2.42   	   5.09		 75.73   	-127.16		
-140.99   	 70.50   	  2.44   	 -30.52		 75.22   	-132.25		
-141.30   	 70.50   	  2.32   	 -40.69		 74.69   	-127.16		
-141.60   	 70.80   	  2.16   	 -81.38		 74.18   	-132.25		
-141.30   	 70.50   	  1.83   	-320.45		 73.65   	-137.33		
-140.38   	 70.50   	  0.55   	-559.51		 73.10   	-137.33		
-140.99   	 70.80   	 -1.69   	-356.05		 72.55   	-137.33		
-144.04   	 72.02   	 -3.11   	-116.99		 72.00   	-137.33		
-148.62   	 74.16   	 -3.58   	-106.82		 71.45   	-137.33		
-152.89   	 76.29   	 -4.01   	   5.09		 70.91   	-127.16		
-153.81   	 76.90   	 -3.99   	 198.37		 70.40   	-127.16		
-151.37   	 75.68   	 -3.19   	 315.36		 69.89   	-116.99		
-147.71   	 74.16   	 -1.93   	 386.57		 69.42   	-111.90		
-146.79   	 73.55   	 -0.39   	 457.78		 68.97   	-106.82		
-149.54   	 75.07   	  1.44   	 462.87		 68.55   	-101.73		
-154.72   	 77.51   	  3.30   	 417.09		 68.14   	 -96.64		
-159.00   	 79.35   	  4.96   	 340.79		 67.75   	 -96.64		
-159.91   	 79.96   	  6.33   	 244.15		 67.36   	 -96.64		
-158.39   	 79.04   	  7.30   	 142.42		 66.98   	 -86.47		
-157.17   	 78.43   	  7.87   	  55.95		 66.63   	 -86.47		
-157.78   	 78.74   	  8.10   	 -20.35		 66.29   	 -86.47		
-161.13   	 80.57   	  8.02   	 -86.47		 65.94   	 -81.38		
-164.79   	 82.40   	  7.67   	-132.25		 65.62   	 -76.30		
-166.32   	 83.01   	  7.14   	-167.85		 65.31   	 -76.30		
-165.41   	 82.70   	  6.47   	-162.77		 65.00   	 -71.21		
-162.35   	 81.18   	  5.82   	-127.16		 64.72   	 -66.12		
-159.91   	 79.96   	  5.31   	 -86.47		 64.46   	 -66.12		
-159.61   	 79.65   	  4.96   	 -50.86		 64.19   	 -61.04		
-161.44   	 80.57   	  4.76   	 -61.04		 63.95   	 -55.95		
-164.18   	 82.09   	  4.52   	 -71.21		 63.72   	 -55.95		
-166.02   	 83.01   	  4.23   	 -40.69		 63.50   	 -55.95		
-165.71   	 82.70   	  4.07   	 -20.35		 63.28   	 -50.86		
-164.79   	 82.70   	  3.99   	 -15.26		 63.07   	 -50.86		
-163.88   	 82.09   	  3.93   	  45.78		 62.87   	 -50.86		
-164.49   	 82.09   	  4.11   	  71.21		 62.67   	 -50.86		
-165.10   	 82.40   	  4.39   	  45.78		 62.46   	 -50.86		
-165.41   	 82.70   	  4.58   	  25.43		 62.26   	 -45.78		
-164.49   	 82.09   	  4.68   	  15.26		 62.08   	 -50.86		
-162.35   	 81.18   	  4.74   	   5.09		 61.87   	 -50.86		
-159.61   	 79.65   	  4.76   	   0.00		 61.67   	 -45.78		
-157.78   	 78.74   	  4.76   	  -5.09		 61.49   	 -45.78		
-157.78   	 78.74   	  4.74   	 -35.61		 61.30   	 -45.78		
-158.69   	 79.35   	  4.60   	 -50.86		 61.12   	 -45.78		
-159.91   	 79.96   	  4.39   	 -30.52		 60.94   	 -45.78		
-159.91   	 79.96   	  4.27   	 -45.78		 60.75   	 -40.69		
-158.08   	 79.04   	  4.09   	 -55.95		 60.59   	 -45.78		
-155.64   	 77.82   	  3.87   	 -35.61		 60.41   	 -40.69		
-153.20   	 76.60   	  3.72   	 -10.17		 60.24   	 -45.78		
-151.06   	 75.38   	  3.68   	  20.35		 60.06   	 -40.69		
-149.54   	 74.77   	  3.76   	  25.43		 59.90   	 -40.69		
-148.01   	 74.16   	  3.87   	  25.43		 59.74   	 -40.69		
-146.48   	 73.55   	  3.97   	  25.43		 59.57   	 -45.78		
-145.26   	 72.94   	  4.07   	  40.69		 59.39   	 -40.69		
-144.35   	 72.33   	  4.23   	  55.95		 59.23   	 -40.69		
-143.43   	 71.72   	  4.46   	  55.95		 59.06   	 -40.69		
-143.74   	 71.72   	  4.68   	  76.30		 58.90   	 -45.78		
-144.96   	 72.33   	  4.98   	  91.56		 58.72   	 -40.69		
-147.09   	 73.85   	  5.35   	  76.30		 58.56   	 -40.69		
-149.84   	 75.07   	  5.66   	  45.78		 58.39   	 -45.78		
-151.06   	 75.68   	  5.84   	  40.69		 58.21   	 -40.69		
-150.76   	 75.68   	  6.00   	  40.69		 58.05   	 -40.69		
-148.62   	 74.46   	  6.16   	   0.00		 57.88   	 -40.69		
-145.87   	 73.24   	  6.16   	 -30.52		 57.72   	 -40.69		
-143.74   	 72.02   	  6.04   	 -40.69		 57.56   	 -40.69		
-142.52   	 71.41   	  5.88   	 -40.69		 57.40   	 -40.69		
-142.21   	 71.41   	  5.72   	 -35.61		 57.23   	 -35.61		
-142.52   	 71.41   	  5.57   	 -35.61		 57.09   	 -40.69		
-142.21   	 71.11   	  5.43   	 -30.52		 56.93   	 -35.61		
-140.69   	 70.19   	  5.31   	 -20.35		 56.79   	 -35.61		
-137.94   	 68.97   	  5.23   	  10.17		 56.64   	 -40.69		
-135.50   	 67.75   	  5.27   	  30.52		 56.48   	 -35.61		
-134.28   	 67.44   	  5.39   	  45.78		 56.34   	 -35.61		
-133.97   	 67.14   	  5.57   	  55.95		 56.20   	 -35.61		
-133.06   	 66.83   	  5.80   	  71.21		 56.05   	 -40.69		
-131.23   	 65.92   	  6.08   	  81.38		 55.89   	 -35.61		
-128.48   	 64.09   	  6.41   	  66.12		 55.75   	 -35.61		
-126.65   	 63.17   	  6.67   	  40.69		 55.61   	 -30.52		
-125.43   	 62.56   	  6.84   	  15.26		 55.48   	 -35.61		
-124.21   	 61.95   	  6.90   	 -20.35		 55.34   	 -35.61		
-121.46   	 60.73   	  6.82   	 -45.78		 55.20   	 -35.61		
-117.49   	 58.59   	  6.63   	 -40.69		 55.06   	 -35.61		
-114.44   	 57.07   	  6.47   	 -45.78		 54.91   	 -35.61		
-113.83   	 56.76   	  6.29   	 -45.78		 54.77   	 -35.61		
-115.36   	 57.68   	  6.10   	 -30.52		 54.63   	 -30.52		
-117.49   	 58.59   	  5.98   	 -10.17		 54.51   	 -35.61		
-118.41   	 59.20   	  5.94   	   0.00		 54.36   	 -35.61		
-116.88   	 58.29   	  5.94   	   0.00		 54.22   	 -35.61		
-114.14   	 57.07   	  5.94   	  20.35		 54.08   	 -35.61		
-112.30   	 56.15   	  6.02   	  25.43		 53.94   	 -30.52		
-112.61   	 56.46   	  6.12   	  20.35		 53.81   	 -35.61		
-115.05   	 57.68   	  6.21   	  15.26		 53.67   	 -35.61		
-117.19   	 58.90   	  6.27   	  20.35		 53.53   	 -30.52		
-117.19   	 58.90   	  6.35   	   5.09		 53.41   	 -35.61		
-114.44   	 57.37   	  6.37   	   5.09		 53.27   	 -30.52		
-111.08   	 55.85   	  6.39   	  -5.09		 53.14   	 -35.61		
-108.95   	 54.63   	  6.37   	   0.00		 53.00   	 -30.52		
-108.03   	 54.02   	  6.37   	  10.17		 52.88   	 -30.52		
-106.81   	 53.41   	  6.41   	  15.26		 52.76   	 -30.52		
-104.06   	 51.88   	  6.47   	  15.26		 52.63   	 -35.61		
-100.71   	 50.35   	  6.53   	  10.17		 52.49   	 -30.52		
-98.88   	 49.44   	  6.57   	  25.43		 52.37   	 -30.52		
-101.01   	 50.66   	  6.67   	  15.26		 52.25   	 -35.61		
-106.51   	 53.41   	  6.73   	  10.17		 52.11   	 -30.52		
-111.08   	 55.85   	  6.78   	   0.00		 51.98   	 -30.52		
-107.42   	 54.02   	  6.78   	  -5.09		 51.86   	 -35.61		
-88.81   	 44.25   	  6.75   	 -20.35		 51.72   	 -30.52		
-50.35   	 25.02   	  6.67   	 -25.43		 51.60   	 -30.52		
  9.77   	 -4.88   	  6.57   	 -10.17		 51.47   	 -30.52		
 94.30   	-47.00   	  6.53   	   0.00		 51.35   	 -30.52		
218.51   	-108.95   	  6.53   	   5.09		 51.23   	 -30.52		
407.41   	-203.25   	  6.55   	  15.26		 51.11   	 -25.43		
672.00   	-335.69   	  6.61   	  15.26		 51.01   	 -30.52		
971.07   	-485.23   	  6.67   	  25.43		 50.88   	 -30.52		
1263.73(R)	-631.71   	  6.78   	  -5.09		 50.76   	 -30.52		
1085.51   	-542.30   	  6.75   	 -15.26		 50.64   	 -30.52		
719.60   	-359.50   	  6.69   	 -15.26		 50.52   	 -30.52		
303.04   	-151.06   	  6.63(E)	   0.00		 50.40   	 -30.52		
-19.23   	  9.77   	  6.63   	  25.43		 50.27   	 -30.52		
-178.53   	 89.42   	  6.73   	  50.86		 50.15   	 -30.52		
-200.81   	100.71   	  6.94   	  96.64		 50.03   	 -30.52		
-166.02   	 83.31   	  7.32   	 137.33		 49.91   	 -30.52		
-152.89   	 76.60   	  7.87   	 162.77		 49.79   	 -30.52		
-192.26   	 96.44   	  8.52   	 198.37		 49.66   	 -30.52		
-259.70   	130.00   	  9.32   	 218.72		 49.54   	 -30.52		
-307.01   	153.81   	 10.19   	 223.80		 49.42   	 -25.43		
-296.02   	148.32   	 11.09   	 218.72		 49.32   	 -25.43		
-219.42   	109.56   	 11.96   	 213.63		 49.22   	 -30.52		
-106.51   	 53.41   	 12.82   	 233.98		 49.09   	 -25.43		
 -5.19   	  2.75   	 13.75   	 259.41		 48.99   	 -20.35		
 50.05   	-24.72   	 14.79   	 289.93		 48.91   	 -25.43		
 53.10   	-26.25   	 15.95   	 391.66		 48.81   	 -25.43		
 23.19   	-11.29   	 17.52   	 615.46		 48.71   	 -25.43		
-14.34   	  7.32   	 19.98   	 879.96		 48.61   	 -20.35		
-43.64   	 21.97   	 23.50   	1215.66		 48.52   	 -25.43		
-60.12   	 30.21   	 28.36   	1658.18		 48.42   	 -25.43		
-67.14   	 33.87   	 34.99   	1780.26		 48.32   	 -20.35		
-68.36   	 34.48   	 42.12   	1500.50		 48.24   	 -20.35		
-65.92   	 33.26   	 48.12   	2110.88		 48.16   	 -30.52		
-57.37   	 28.99   	 56.56   	 508.65		 48.04   	 -25.43		
-55.54   	 28.08   	 58.60   	 371.31		 47.93   	 -30.52		
-56.46   	 28.38   	 60.08   	 518.82		 47.81   	 -25.43		
-57.68   	 28.99   	 62.16   	 544.25		 47.71   	 -30.52		
-57.37   	 28.99   	 64.33   	 427.26		 47.59   	 -25.43		
-54.93   	 27.77   	 66.04   	 381.48		 47.49   	 -25.43		
-51.27   	 25.94   	 67.57   	 366.22		 47.39   	 -25.43		
-48.22   	 24.41   	 69.03   	 452.69		 47.28   	 -25.43		
-46.69   	 23.50   	 70.84   	 707.02		 47.18   	 -15.26		
-45.78   	 23.19   	 73.67   	1113.93		 47.12   	 -20.35		
-44.25   	 22.28   	 78.13   	1174.97		 47.04   	 -15.26		
-41.81   	 21.06   	 82.83   	 879.96		 46.98   	 -10.17		
-37.84   	 19.23   	 86.35   	 834.18		 46.94   	 -15.26		
-33.57   	 17.09   	 89.68   	 676.50		 46.88   	 -10.17		
-30.21   	 14.95   	 92.39   	 188.20		 46.84   	 -15.26		
-27.16   	 13.43   	 93.14   	 -71.21		 46.77   	 -10.17		
-24.72   	 12.21   	 92.86   	-320.45		 46.73   	 -15.26		
-21.97   	 10.99   	 91.58   	-864.70		 46.67   	 -15.26		
-18.31   	  9.16   	 88.12   	-1108.85		 46.61   	 -15.26		
-12.82   	  6.71   	 83.68   	-1052.90		 46.55   	 -15.26		
 -6.10   	  3.36   	 79.47   	-1012.20		 46.49   	 -10.17		
  0.00   	  0.31   	 75.42   	-808.75		 46.45   	 -15.26		
  5.49   	 -2.44   	 72.19   	-401.83		 46.39   	 -10.17		
  9.77   	 -4.58   	 70.58   	  40.69		 46.35   	 -10.17		
 14.04   	 -6.71   	 70.74   	 381.48		 46.31(D)	   0.00		
 20.14   	-10.07   	 72.27   	 691.76		 46.31   	  20.35		
 28.69   	-14.34   	 75.04   	 895.22		 46.39   	  81.38		
 39.06   	-19.53   	 78.62   	 991.86		 46.71   	 198.37		
 49.74   	-24.72   	 82.58   	 981.68		 47.51   	 366.22		
 60.12   	-29.91   	 86.51   	 925.73		 48.97   	 528.99		
 70.80   	-35.10   	 90.21   	 808.75		 51.09   	 676.50		
 83.31   	-41.20   	 93.45   	 661.24		 53.79   	 762.97		
 99.18   	-49.13   	 96.09   	 528.99		 56.85   	 788.40		
117.80   	-58.59   	 98.21   	 412.00		 60.00   	 747.71		
138.24   	-68.66   	 99.86   	 279.75		 62.99   	 645.98		
159.61   	-79.65   	100.98   	 157.68		 65.57   	 518.82		
180.36   	-90.03   	101.61   	  86.47		 67.65   	 381.48		
200.50   	-100.10   	101.95(S)	 -10.17		 69.18   	 259.41		
219.12   	-109.56   	101.91   	 -91.56		 70.21   	 183.11		
236.82   	-118.41   	101.55   	 -71.21		 70.95   	 147.51		
254.82   	-126.95   	101.26   	 -10.17		 71.54   	 152.59		
274.96   	-137.02   	101.22   	   0.00		 72.15   	 213.63		
297.85   	-148.32   	101.22   	  20.35		 73.00   	 305.19		
321.35   	-160.22   	101.30   	  50.86		 74.22   	 412.00		
343.02   	-171.20   	101.51   	  35.61		 75.87   	 513.73		
360.11   	-179.75   	101.65   	  -5.09		 77.92   	 610.37		
372.01   	-185.55   	101.63   	 -35.61		 80.37   	 661.24		
379.64   	-189.51   	101.48   	 -55.95		 83.01   	 681.58		
383.61   	-191.35   	101.26   	-111.90		 85.74   	 661.24		
383.61   	-191.35   	100.81   	-167.85		 88.38   	 620.55		
377.50   	-188.29   	100.14   	-167.85		 90.86   	 554.42		
362.85   	-180.97   	 99.47   	-172.94		 93.08   	 483.21		
338.13   	-168.76   	 98.78   	-178.03		 95.01   	 417.09		
305.18   	-152.28   	 98.07   	-208.54		 96.68   	 361.14		
267.94   	-133.67   	 97.23   	-228.89		 98.13   	 330.62		
231.32   	-115.36   	 96.32   	-274.67		 99.45   	 305.19		
198.06   	-98.57   	 95.22   	-330.62		100.67   	 274.67		
168.15   	-83.62   	 93.90   	-381.48		101.77   	 239.06		
140.38   	-70.19   	 92.37   	-442.52		102.73   	 218.72		
112.92   	-56.46   	 90.60   	-513.73		103.60   	 213.63		
 85.45   	-42.72   	 88.54   	-549.34		104.46   	 208.54		
 59.51   	-29.30   	 86.35   	-610.37		105.29   	 208.54		
 37.23   	-18.31   	 83.91   	-666.32		106.12   	 193.29		
 19.53   	 -9.46   	 81.24   	-742.62		106.90   	 162.77		
  6.41   	 -2.75   	 78.27   	-788.40		107.55   	 116.99		
 -4.27   	  2.14   	 75.12   	-798.57		108.02   	  81.38		
-14.34   	  7.02   	 71.92   	-930.82		108.34   	  35.61		
-25.02   	 12.51   	 68.20   	-1174.97		108.48(S)	 -15.26		
-35.40   	 18.01   	 63.50   	-1332.65		108.42   	 -71.21		
-43.64   	 21.97   	 58.17   	-1312.30		108.14   	-106.82		
-48.83   	 24.72   	 52.92   	-1312.30		107.71   	-137.33		
-51.27   	 25.94   	 47.67   	-1164.80		107.16   	-157.68		
-53.41   	 26.55   	 43.01   	-930.82		106.53   	-178.03		
-55.85   	 27.77   	 39.29   	-864.70		105.82   	-198.37		
-57.98   	 28.99   	 35.83   	-829.09		105.03   	-213.63		
-58.59   	 29.30   	 32.51   	-717.19		104.17   	-223.80		
-57.68   	 28.69   	 29.64   	-615.46		103.28   	-218.72		
-56.46   	 28.08   	 27.18   	-498.47		102.40   	-218.72		
-56.76   	 28.69   	 25.19   	-417.09		101.53   	-213.63		
-58.90   	 29.60   	 23.52   	-361.14		100.67   	-203.46		
-61.95   	 31.13   	 22.08   	-295.01		 99.86   	-188.20		
-65.61   	 32.96   	 20.90   	-300.10		 99.10   	-188.20		
-68.66   	 34.48   	 19.69   	-340.79		 98.35   	-183.11		
-71.11   	 35.40   	 18.33   	-289.93		 97.62   	-188.20		
-72.33   	 36.01   	 17.17   	-167.85		 96.87   	-198.37		
-72.94   	 36.32   	 16.50   	-132.25		 96.07   	-213.63		
-73.24   	 36.62   	 15.97   	-218.72		 95.22   	-218.72		
-73.24   	 36.62   	 15.10   	-300.10		 94.34   	-223.80		
-74.16   	 36.93   	 13.90   	-356.05		 93.45   	-233.98		
-75.38   	 37.54   	 12.47   	-432.35		 92.51   	-239.06		
-77.51   	 38.76   	 10.74   	-483.21		 91.56   	-239.06		
-80.87   	 40.28   	  8.81   	-473.04		 90.60   	-239.06		
-85.14   	 42.42   	  6.92   	-427.26		 89.64   	-233.98		
-89.42   	 44.56   	  5.21   	-361.14		 88.71   	-233.98		
-91.55   	 45.78   	  3.76   	-289.93		 87.77   	-233.98		
-91.25   	 45.47   	  2.60   	-233.98		 86.84   	-228.89		
-90.03   	 45.17   	  1.67   	-167.85		 85.92   	-223.80		
-89.72   	 45.17   	  1.00   	-101.73		 85.03   	-218.72		
-91.55   	 46.08   	  0.59   	 -25.43		 84.15   	-213.63		
-95.21   	 47.61   	  0.49   	  25.43		 83.30   	-208.54		
-97.66   	 48.83   	  0.59   	  45.78		 82.46   	-203.46		
-97.35   	 48.52   	  0.77   	  45.78		 81.65   	-193.29		
-94.30   	 47.00   	  0.96   	  10.17		 80.87   	-183.11		
-90.33   	 45.17   	  1.00   	  -5.09		 80.14   	-178.03		
-86.98   	 43.64   	  0.98   	  -5.09		 79.43   	-167.85		
-85.75   	 43.03   	  0.96   	  10.17		 78.76   	-167.85		
-86.36   	 43.33   	  1.00   	  20.35		 78.09   	-162.77		
-87.28   	 43.95   	  1.08   	 -35.61		 77.44   	-157.68		
-87.59   	 43.64   	  0.94   	-310.27		 76.81   	-157.68		
-86.98   	 43.33   	 -0.31   	-554.42		 76.17   	-157.68		
-86.06   	 43.33   	 -2.52   	-340.79		 75.54   	-147.51		
-85.75   	 43.03   	 -3.89   	 -15.26		 74.95   	-152.59		
-87.28   	 43.95   	 -3.95(D)	  91.56		 74.34   	-142.42		
-90.03   	 44.86   	 -3.58   	 203.46		 73.77   	-137.33		
-93.08   	 46.39   	 -2.77   	 345.88		 73.22   	-132.25		
-95.83   	 47.91   	 -1.38   	 401.83		 72.70   	-127.16		
-97.05   	 48.52   	  0.22   	 412.00		 72.19   	-116.99		
-97.35   	 48.52   	  1.87   	 417.09		 71.72   	-116.99		
-97.35   	 48.52   	  3.54   	 376.40		 71.25   	-106.82		
-97.96   	 49.13   	  5.05   	 315.36		 70.82   	-101.73		
-99.18   	 49.74   	  6.31   	 254.32		 70.42   	 -96.64		
-101.93   	 51.27   	  7.32   	 183.11		 70.03   	 -91.56		
-106.20   	 53.41   	  8.06   	  66.12		 69.66   	 -86.47		
-111.69   	 56.15   	  8.32   	 -76.30		 69.32   	 -86.47		
-117.19   	 58.90   	  8.02   	-178.03		 68.97   	 -86.47		
-122.38   	 61.04   	  7.30   	-223.80		 68.63   	 -81.38		
-126.04   	 62.87   	  6.41   	-300.10		 68.30   	 -76.30		
-128.48   	 64.09   	  5.21   	-315.36		 68.00   	 -76.30		
-130.00   	 65.00   	  3.95   	-274.67		 67.69   	 -76.30		
-131.53   	 65.61   	  2.85   	-193.29		 67.39   	 -71.21		
