SAMPLE NUMBER:   8
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  DAO     	  DAO'		
 13.43   	  1.53   	 35.14   	 554.42		 31.27   	 -45.78		
 15.87   	  4.88   	 37.35   	 483.21		 31.09   	 -35.61		
 18.62   	  7.63   	 39.29   	 412.00		 30.95   	 -35.61		
 21.06   	  9.77   	 40.94   	 345.88		 30.80   	 -20.35		
 22.89   	 11.60   	 42.32   	 289.93		 30.72(D)	   0.00		
 23.80   	 13.73   	 43.48   	 233.98		 30.72   	  20.35		
 23.80   	 16.48   	 44.41   	 193.29		 30.80   	  66.12		
 24.11   	 19.53   	 45.19   	 147.51		 31.07   	 122.07		
 25.33   	 22.89   	 45.78   	 116.99		 31.56   	 178.03		
 26.86   	 25.94   	 46.25   	 101.73		 32.27   	 233.98		
 28.69   	 28.69   	 46.65   	  96.64		 33.20   	 279.75		
 29.60   	 31.13   	 47.04   	  91.56		 34.32   	 310.27		
 28.69   	 33.57   	 47.41   	  86.47		 35.56   	 335.71		
 26.86   	 36.01   	 47.75   	  81.38		 36.91   	 350.97		
 24.72   	 38.76   	 48.08   	  66.12		 38.31   	 361.14		
 22.89   	 42.11   	 48.34   	  50.86		 39.76   	 366.22		
 21.36   	 45.17   	 48.55   	  30.52		 41.22   	 376.40		
 19.23   	 47.91   	 48.67   	  10.17		 42.73   	 381.48		
 16.17   	 49.74   	 48.71(S)	 -20.35		 44.25   	 381.48		
 12.21   	 51.88   	 48.63   	 -45.78		 45.78   	 366.22		
  7.93   	 54.02   	 48.44   	 -71.21		 47.24   	 335.71		
  4.27   	 56.46   	 48.16   	 -86.47		 48.59   	 289.93		
  0.61   	 59.51   	 47.81   	 -96.64		 49.75   	 249.24		
 -2.75   	 62.87   	 47.43   	-111.90		 50.74   	 208.54		
 -5.19   	 66.83   	 46.98   	-137.33		 51.58   	 167.85		
 -7.02   	 77.21   	 46.43   	-142.42		 52.25   	 132.25		
 -6.41   	 84.23   	 45.86   	-142.42		 52.78   	 122.07		
 -5.49   	 91.86   	 45.29   	-142.42		 53.27   	 122.07		
 -4.88   	100.71   	 44.72   	-152.59		 53.75   	 137.33		
 -3.05   	110.47   	 44.11   	-157.68		 54.30   	 162.77		
  0.61   	121.46   	 43.48   	-162.77		 54.95   	 183.11		
  7.02   	133.36   	 42.83   	-167.85		 55.69   	 178.03		
 15.56   	145.87   	 42.16   	-178.03		 56.40   	 167.85		
 25.02   	156.86   	 41.44   	-183.11		 57.07   	 142.42		
 32.96   	164.79   	 40.71   	-188.20		 57.64   	 111.90		
 39.06   	167.85   	 39.96   	-198.37		 58.09   	  81.38		
 42.72   	164.79   	 39.17   	-213.63		 58.41   	  30.52		
 44.25   	156.56   	 38.31   	-218.72		 58.53(S)	   0.00		
 43.64   	144.65   	 37.44   	-239.06		 58.53   	 -30.52		
 41.50   	131.53   	 36.48   	-259.41		 58.41   	 -35.61		
 37.84   	118.41   	 35.44   	-289.93		 58.27   	 -45.78		
 32.96   	105.90   	 34.28   	-320.45		 58.09   	 -40.69		
 27.77   	 93.99   	 33.00   	-350.97		 57.92   	 -30.52		
 22.89   	 82.09   	 31.60   	-386.57		 57.80   	 -25.43		
 18.62   	 70.80   	 30.05   	-422.18		 57.70   	 -35.61		
 15.87   	 61.04   	 28.36   	-462.87		 57.56   	 -55.95		
 14.34   	 56.76   	 26.51   	-488.30		 57.33   	 -81.38		
 15.26   	 63.17   	 24.56   	-498.47		 57.01   	-101.73		
 18.62   	 84.23   	 22.56   	-493.39		 56.60   	-116.99		
