SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  AO     	  AO'		  RV     	  RV'		
 35.10   	 63.48   	 80.65   	 167.85		 48.79   	 -86.47		
 28.99   	 72.02   	 81.32   	 101.73		 48.44   	 -81.38		
 33.26   	 80.87   	 81.73   	  45.78		 48.12   	 -76.30		
 39.06   	 90.94   	 81.91   	   0.00		 47.81   	 -61.04		
 44.25   	101.32   	 81.91   	 -25.43		 47.57   	 -50.86		
 47.91   	112.61   	 81.81   	 -50.86		 47.37   	 -35.61		
 51.27   	126.04   	 81.61   	 -61.04		 47.22   	 -15.26		
 56.15   	141.30   	 81.36   	 -50.86		 47.16   	   5.09		
 62.56   	156.86   	 81.16   	 -35.61		 47.18   	  25.43		
 68.97   	170.29   	 81.02   	 -10.17		 47.28   	  35.61		
 73.85   	180.36   	 80.98   	  30.52		 47.43   	  50.86		
 77.21   	187.68   	 81.10   	  71.21		 47.63   	  61.04		
 81.18   	194.40   	 81.38   	 122.07		 47.87   	  71.21		
 86.36   	203.86   	 81.87   	 162.77		 48.16   	  81.38		
 90.94   	215.76   	 82.52   	 198.37		 48.48   	  91.56		
 91.86   	228.88   	 83.32   	 228.89		 48.85   	  96.64		
 86.98   	240.78   	 84.23   	 264.50		 49.24   	 106.82		
 77.21   	251.16   	 85.29   	 289.93		 49.66   	 111.90		
 66.83   	261.23   	 86.45   	 289.93		 50.11   	 116.99		
 58.90   	272.83   	 87.61   	 284.84		 50.58   	 116.99		
 56.15   	288.39   	 88.75   	 269.58		 51.05   	 116.99		
 57.07   	307.62   	 89.83   	 223.80		 51.52   	 106.82		
 60.12   	328.37   	 90.72   	 183.11		 51.94   	 106.82		
 64.09   	346.98   	 91.45   	 147.51		 52.37   	  96.64		
 68.05   	358.89   	 92.04   	 116.99		 52.76   	  86.47		
 71.41   	361.02   	 92.51   	  76.30		 53.10   	  86.47		
 73.55   	351.87   	 92.82   	  40.69		 53.45   	  76.30		
 74.16   	333.25   	 92.98   	  20.35		 53.75   	  66.12		
 72.94   	307.62   	 93.06(S)	  -5.09		 54.02   	  66.12		
 71.11   	276.79   	 93.04   	 -20.35		 54.28   	  55.95		
 68.66   	241.09   	 92.96   	 -35.61		 54.51   	  40.69		
 65.00   	201.72   	 92.82   	 -30.52		 54.67   	  35.61		
