SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  RV     	  RV'		  FA     	  FA'		
  9.93   	 137.33		 54.69   	 -35.61		
 10.48   	 167.85		 54.55   	 -30.52		
 11.15   	 233.98		 54.43   	 -30.52		
 12.09   	 295.01		 54.30   	 -35.61		
 13.27   	 325.53		 54.16   	 -30.52		
 14.57   	 361.14		 54.04   	 -30.52		
 16.01   	 406.92		 53.92   	 -30.52		
 17.64   	 457.78		 53.79   	 -30.52		
 19.47   	 478.13		 53.67   	 -30.52		
 21.38   	 488.30		 53.55   	 -25.43		
 23.34   	 493.39		 53.45   	 -30.52		
 25.31   	 488.30		 53.33   	 -30.52		
 27.26   	 473.04		 53.20   	 -30.52		
 29.16   	 462.87		 53.08   	 -30.52		
 31.01   	 437.43		 52.96   	 -25.43		
 32.76   	 406.92		 52.86   	 -30.52		
 34.38   	 376.40		 52.74   	 -25.43		
 35.89   	 340.79		 52.63   	 -30.52		
 37.25   	 305.19		 52.51   	 -25.43		
 38.47   	 284.84		 52.41   	 -25.43		
 39.61   	 259.41		 52.31   	 -30.52		
 40.65   	 233.98		 52.19   	 -25.43		
 41.59   	 203.46		 52.09   	 -30.52		
 42.40   	 183.11		 51.96   	 -25.43		
 43.13   	 157.68		 51.86   	 -20.35		
 43.76   	 122.07		 51.78   	 -25.43		
 44.25   	  91.56		 51.68   	 -25.43		
 44.62   	  66.12		 51.58   	 -25.43		
 44.88   	  40.69		 51.47   	 -25.43		
 45.05   	  15.26		 51.37   	 -20.35		
 45.11   	   5.09		 51.29   	 -15.26		
 45.13   	 -10.17		 51.23   	 -10.17		
 45.09   	 -25.43		 51.19   	  -5.09		
 44.98   	 -25.43		 51.17(D)	  10.17		
 44.88   	 -25.43		 51.21   	  30.52		
 44.78   	 -30.52		 51.33   	  50.86		
 44.66   	 -25.43		 51.54   	  76.30		
 44.56   	 -25.43		 51.84   	 106.82		
 44.46   	  -5.09		 52.27   	 137.33		
 44.44   	  -5.09		 52.82   	 162.77		
 44.41   	  10.17		 53.47   	 193.29		
 44.46   	  20.35		 54.24   	 223.80		
 44.54   	  30.52		 55.14   	 244.15		
 44.66   	  45.78		 56.11   	 269.58		
 44.84   	  66.12		 57.19   	 289.93		
 45.11   	  66.12		 58.35   	 305.19		
 45.37   	  76.30		 59.57   	 320.45		
 45.68   	  86.47		 60.85   	 330.62		
 46.02   	  91.56		 62.18   	 330.62		
 46.39   	  91.56		 63.50   	 340.79		
 46.75   	  91.56		 64.86   	 335.71		
 47.12   	  91.56		 66.21   	 330.62		
 47.49   	  91.56		 67.53   	 330.62		
 47.85   	  86.47		 68.85   	 325.53		
 48.20   	  81.38		 70.15   	 315.36		
 48.52   	  76.30		 71.41   	 305.19		
 48.83   	  66.12		 72.63   	 305.19		
 49.09   	  61.04		 73.86   	 295.01		
 49.34   	  50.86		 75.04   	 295.01		
 49.54   	  40.69		 76.22   	 289.93		
 49.70   	  35.61		 77.38   	 284.84		
 49.85   	  25.43		 78.51   	 284.84		
 49.95   	   5.09		 79.65   	 289.93		
 49.97   	   5.09		 80.81   	 279.75		
 49.99(S)	   0.00		 81.93   	 284.84		
 49.99   	 -15.26		 83.07   	 274.67		
 49.93   	 -30.52		 84.17   	 274.67		
 49.81   	 -30.52		 85.27   	 259.41		
 49.68   	 -40.69		 86.31   	 249.24		
 49.52   	 -45.78		 87.30   	 228.89		
 49.34   	 -55.95		 88.22   	 208.54		
 49.11   	 -81.38		 89.05   	 178.03		
 48.79   	 -96.64		 89.77   	 147.51		
 48.40   	-101.73		 90.36   	 116.99		
 48.00   	-137.33		 90.82   	  76.30		
 47.45   	-172.94		 91.13   	  45.78		
 46.75   	-203.46		 91.31   	   5.09		
 45.94   	-244.15		 91.33(S)	 -25.43		
 44.96   	-279.75		 91.23   	 -61.04		
 43.85   	-325.53		 90.99   	 -86.47		
 42.54   	-366.22		 90.64   	-116.99		
 41.08   	-406.92		 90.17   	-132.25		
 39.45   	-447.61		 89.64   	-147.51		
 37.66   	-493.39		 89.05   	-157.68		
 35.69   	-528.99		 88.42   	-167.85		
 33.57   	-554.42		 87.75   	-162.77		
 31.35   	-564.60		 87.10   	-167.85		
 29.09   	-569.68		 86.43   	-157.68		
 26.82   	-574.77		 85.80   	-157.68		
 24.52   	-569.68		 85.17   	-147.51		
 22.24   	-559.51		 84.58   	-147.51		
 20.00   	-534.08		 83.99   	-142.42		
 17.86   	-528.99		 83.42   	-132.25		
 15.75   	-493.39		 82.89   	-137.33		
 13.77   	-462.87		 82.34   	-132.25		
 11.92   	-432.35		 81.81   	-127.16		
 10.19   	-401.83		 81.30   	-137.33		
  8.59   	-366.22		 80.75   	-132.25		
  7.12   	-330.62		 80.22   	-142.42		
  5.80   	-295.01		 79.65   	-142.42		
  4.62   	-269.58		 79.08   	-142.42		
  3.54   	-259.41		 78.51   	-152.59		
  2.50   	-218.72		 77.90   	-152.59		
  1.63   	-167.85		 77.29   	-152.59		
  0.96   	-132.25		 76.68   	-152.59		
  0.43   	-106.82		 76.07   	-147.51		
  0.00   	 -76.30		 75.48   	-147.51		
 -0.31   	 -55.95		 74.89   	-147.51		
 -0.53   	 -30.52		 74.30   	-142.42		
 -0.65   	  -5.09		 73.73   	-132.25		
 -0.67(D)	  15.26		 73.20   	-132.25		
 -0.61   	  45.78		 72.68   	-127.16		
 -0.43   	  66.12		 72.17   	-122.07		
 -0.16   	  86.47		 71.68   	-122.07		
  0.18   	  91.56		 71.19   	-111.90		
  0.55   	  96.64		 70.74   	-111.90		
  0.94   	 106.82		 70.29   	-106.82		
  1.36   	 122.07		 69.87   	-101.73		
  1.85   	 122.07		 69.46   	 -96.64		
  2.34   	 127.16		 69.07   	-101.73		
  2.85   	 122.07		 68.67   	 -96.64		
  3.34   	 122.07		 68.28   	 -91.56		
  3.83   	 106.82		 67.91   	 -91.56		
  4.25   	 101.73		 67.55   	 -91.56		
  4.66   	  96.64		 67.18   	 -86.47		
