SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  FA     	  FA'		  RV     	  RV'		
-47.91   	 -9.16   	 56.42   	-157.68		 30.15   	-335.71		
-48.52   	-10.68   	 55.79   	-162.77		 28.81   	-361.14		
-49.44   	-11.90   	 55.14   	-157.68		 27.37   	-396.74		
-50.05   	-11.29   	 54.51   	-147.51		 25.78   	-442.52		
-49.44   	 -8.54   	 53.92   	-142.42		 24.01   	-498.47		
-47.61   	 -4.88   	 53.35   	-142.42		 22.01   	-549.34		
-46.39   	 -2.75   	 52.78   	-137.33		 19.82   	-584.94		
-46.69   	 -3.36   	 52.23   	-132.25		 17.48   	-610.37		
-47.91   	 -5.49   	 51.70   	-127.16		 15.04   	-620.55		
-49.13   	 -7.63   	 51.19   	-132.25		 12.55   	-610.37		
-49.44   	 -8.24   	 50.66   	-137.33		 10.11   	-590.03		
-49.13   	 -7.63   	 50.11   	-152.59		  7.75   	-559.51		
-48.83   	 -7.32   	 49.50   	-167.85		  5.51   	-518.82		
-48.52   	 -7.63   	 48.83   	-178.03		  3.44   	-473.04		
-47.91   	 -7.63   	 48.12   	-183.11		  1.55   	-422.18		
-46.08   	 -7.02   	 47.39   	-183.11		 -0.14   	-366.22		
-42.42   	 -4.58   	 46.65   	-162.77		 -1.61   	-305.19		
-37.23   	  0.61   	 46.00   	-142.42		 -2.83   	-244.15		
-29.60   	 10.99   	 45.43   	-122.07		 -3.80   	-198.37		
-20.75   	 28.69   	 44.94   	-116.99		 -4.60   	-137.33		
-10.68   	 55.54   	 44.48   	-101.73		 -5.15   	 -71.21		
  0.61   	 90.33   	 44.07   	 -86.47		 -5.43   	 -30.52		
 13.12   	129.70   	 43.72   	 -81.38		 -5.55   	 -10.17		
 26.25   	169.98   	 43.40   	 -66.12		 -5.60   	  20.35		
 37.54   	211.49   	 43.13   	 -55.95		 -5.51   	  45.78		
 44.25   	257.26   	 42.91   	 -55.95		 -5.33   	  71.21		
 44.56   	307.31   	 42.69   	 -61.04		 -5.05   	  91.56		
 40.59   	356.45   	 42.44   	 -61.04		 -4.68   	 111.90		
 36.93   	393.07   	 42.20   	 -66.12		 -4.23   	 127.16		
 37.84   	404.97   	 41.93   	 -71.21		 -3.72   	 142.42		
 42.42   	390.32   	 41.65   	 -71.21		 -3.15   	 137.33		
 46.69   	350.95   	 41.36   	 -71.21		 -2.60   	 116.99		
 44.56   	289.31   	 41.08   	 -76.30		 -2.14   	  71.21		
 34.18   	207.21   	 40.77   	 -81.38		 -1.85   	  20.35		
 18.92   	109.25   	 40.45   	 -86.47		 -1.77   	 -35.61		
  1.22   	  8.54   	 40.10   	 -86.47		 -1.91   	 -55.95		
-16.17   	-74.77   	 39.76   	 -81.38		 -2.14   	 -50.86		
-33.57   	-124.51   	 39.43   	 -71.21		 -2.34   	 -50.86		
-50.05   	-141.91   	 39.15   	 -66.12		 -2.54   	 -55.95		
-64.39   	-141.30   	 38.88   	 -66.12		 -2.77   	 -40.69		
-73.85   	-137.63   	 38.62   	 -66.12		 -2.93   	 -40.69		
-77.82   	-138.85   	 38.35   	 -61.04		 -3.09   	 -35.61		
-78.13   	-144.04   	 38.11   	 -55.95		 -3.23   	 -25.43		
-77.51   	-150.76   	 37.88   	 -55.95		 -3.34   	 -10.17		
-78.43   	-159.30   	 37.66   	 -45.78		 -3.38   	 -10.17		
-80.26   	-169.98   	 37.48   	 -50.86		 -3.42   	   0.00		
-81.18   	-179.14   	 37.27   	 -45.78		 -3.42   	  10.17		
-76.29   	-172.12   	 37.09   	 -40.69		 -3.38   	  20.35		
-51.57   	-119.02   	 36.93   	 -40.69		 -3.30   	  30.52		
 16.48   	 23.50   	 36.76   	 -30.52		 -3.17   	  40.69		
147.09   	293.27   	 36.64   	 -35.61		 -3.01   	  40.69		
311.58   	700.99   	 36.50   	 -30.52		 -2.85   	  55.95		
391.85   	1189.88   	 36.38   	 -30.52		 -2.62   	  61.04		
232.85   	1593.93   	 36.26   	 -50.86		 -2.38   	 147.51		
-895.08   	1303.10   	 36.05   	 -30.52		 -1.79   	  76.30		
-1483.46   	475.16   	 35.93   	 -35.61		 -1.49   	  91.56		
-1718.75   	-538.02   	 35.79   	 -30.52		 -1.12   	  96.64		
-1512.15   	-1352.54   	 35.67   	 -30.52		 -0.73   	  91.56		
-1015.63   	-1681.82(R)	 35.54   	 -35.61		 -0.37   	  96.64		
-494.08   	-1498.41   	 35.40   	 -30.52		  0.02   	  91.56		Beg---------
-143.43   	-1017.46   	 35.28   	 -35.61		  0.39   	  86.47		
 -3.66   	-531.62   	 35.14   	 -35.61		  0.73   	  81.38		
  4.27   	-239.56   	 34.99   	 -35.61		  1.06   	  81.38		
-19.84   	-171.81   	 34.85   	 -40.69		  1.38   	  71.21		
-23.80   	-234.38   	 34.69   	 -30.52		  1.67   	  71.21		
 -7.32   	-310.06   	 34.57   	 -30.52		  1.95   	  76.30		
 12.82   	-335.08   	 34.45   	 -30.52		  2.26   	  66.12		
 26.25   	-309.45   	 34.32   	 -40.69		  2.52   	  86.47		
 31.43   	-266.72   	 34.16   	 -35.61		  2.87   	 122.07		
 31.13   	-238.34   	 34.02   	 -35.61		  3.36   	 137.33		
 31.43   	-234.38   	 33.88   	 -40.69		  3.91   	 178.03		
 36.32   	-244.45   	 33.71   	 -35.61		  4.62   	 203.46		
 43.95   	-252.38   	 33.57   	 -40.69		  5.43   	 208.54		
 48.83   	-251.46   	 33.41   	 -40.69		  6.27   	 264.50		
 49.74   	-244.75   	 33.25   	 -40.69		  7.32   	 325.53		
 49.13   	-237.73   	 33.08   	 -40.69		  8.63   	 371.31		
 50.96   	-231.32   	 32.92   	 -40.69		 10.11   	 417.09		
 55.24   	-224.00   	 32.76   	 -40.69		 11.78   	 462.87		
 60.73   	-216.37   	 32.59   	 -35.61		 13.63   	 493.39		
 65.31   	-210.88   	 32.45   	 -35.61		 15.61   	 508.65		
 68.66   	-208.44   	 32.31   	 -30.52		 17.64   	 518.82		
 71.72   	-207.52   	 32.19   	 -25.43		 19.72   	 508.65		
 75.38   	-204.77   	 32.09   	 -20.35		 21.75   	 483.21		
 79.96   	-199.89   	 32.00   	 -20.35		 23.68   	 447.61		
 85.45   	-193.48   	 31.92   	 -20.35		 25.47   	 401.83		
 90.94   	-187.99   	 31.84   	 -15.26		 27.08   	 361.14		
 96.44   	-184.94   	 31.78   	 -20.35		 28.52   	 315.36		
102.23   	-184.94   	 31.70   	 -10.17		 29.79   	 264.50		
108.64   	-186.16   	 31.66(D)	   5.09		 30.84   	 223.80		
116.27   	-186.16   	 31.68   	  15.26		 31.74   	 178.03		
124.51   	-181.88   	 31.74   	  50.86		 32.45   	 137.33		
133.67   	-173.03   	 31.94   	  96.64		 33.00   	 106.82		
142.82   	-161.13   	 32.33   	 178.03		 33.43   	  76.30		
151.98   	-148.62   	 33.04   	 289.93		 33.73   	  55.95		
161.44   	-137.33   	 34.20   	 406.92		 33.96   	  40.69		
171.81   	-127.26   	 35.83   	 513.73		 34.12   	  30.52		
183.41   	-117.19   	 37.88   	 569.68		 34.24   	  25.43		
195.31   	-105.59   	 40.16   	 605.29		 34.34   	  25.43		
205.99   	-92.16   	 42.58   	 600.20		 34.45   	  30.52		
213.93   	-77.82   	 44.98   	 590.03		 34.57   	  40.69		
219.42   	-64.09   	 47.34   	 574.77		 34.73   	  35.61		
223.08   	-51.88   	 49.64   	 549.34		 34.87   	  45.78		
226.44   	-42.11   	 51.84   	 493.39		 35.06   	  50.86		
229.19   	-34.18   	 53.81   	 432.35		 35.26   	  45.78		
231.02   	-26.86   	 55.54   	 371.31		 35.44   	  50.86		
231.02   	-20.14   	 57.03   	 320.45		 35.65   	  66.12		
230.41   	-13.73   	 58.31   	 249.24		 35.91   	  61.04		
230.10   	 -8.54   	 59.31   	 188.20		 36.15   	  55.95		
231.32   	 -4.58   	 60.06   	 132.25		 36.38   	  55.95		
233.76   	 -3.05   	 60.59   	  81.38		 36.60   	  50.86		
236.51   	 -2.75   	 60.92   	  40.69		 36.81   	  50.86		
