SAMPLE NUMBER:   1
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  LRA     	  LRA'		
-790.41   	-785.52   	 42.87   	-427.26		100.83   	 -20.35		
-815.12   	-807.50   	 41.16   	-498.47		100.75   	   0.00		
-744.63   	-737.30   	 39.17   	-478.13		100.75   	  20.35		
-608.22   	-603.03   	 37.25   	-473.04		100.83   	  15.26		
-458.37   	-457.15   	 35.36   	-518.82		100.89   	  -5.09		
-344.54   	-348.21   	 33.29   	-534.08		100.87   	 -10.17		
-290.53   	-298.77   	 31.15   	-513.73		100.83   	   0.00		
-286.56   	-297.85   	 29.09   	-493.39		100.83   	  10.17		
-298.77   	-310.36   	 27.12   	-478.13		100.87   	  15.26		
-287.78   	-297.24   	 25.21   	-432.35		100.94   	   5.09		
-230.10   	-236.82   	 23.48   	-381.48		100.96   	   5.09		
-130.92   	-134.89   	 21.95   	-350.97		100.98   	   5.09		
-17.70   	-19.84   	 20.55   	-579.86		101.00   	   5.09		
169.37   	168.46   	 18.23   	-223.80		101.02   	  10.17		
251.16   	250.24   	 17.33   	-188.20		101.06   	   0.00		
339.97   	339.05   	 16.58   	-152.59		101.06   	   5.09		
425.11   	422.67   	 15.97   	-116.99		101.08   	   5.09		
470.89   	466.92   	 15.50   	 -96.64		101.10   	   5.09		
447.39   	441.28   	 15.12   	 -66.12		101.12   	   5.09		
358.58   	350.95   	 14.85   	 -40.69		101.14   	   5.09		
244.14   	235.60   	 14.69   	 -20.35		101.16   	   5.09		
152.89   	144.04   	 14.61   	 -10.17		101.18   	   0.00		
108.95   	101.32   	 14.57   	   0.00		101.18   	   0.00		
100.10   	 97.05   	 14.57   	  -5.09		101.18   	   0.00		
 92.16   	 98.57   	 14.55(D)	  15.26		101.18   	  -5.09		
 60.12   	 79.35   	 14.61   	  25.43		101.16   	   5.09		
  5.49   	 37.54   	 14.71   	  20.35		101.18   	   5.09		
-52.19   	 -9.46   	 14.79   	  35.61		101.20   	   0.00		
-96.13   	-43.95   	 14.93   	  55.95		101.20   	   0.00		
-126.34   	-65.00   	 15.16   	  55.95		101.20   	   0.00		
-157.47   	-86.67   	 15.38   	  61.04		101.20   	   5.09		
-203.25   	-127.26   	 15.63   	  71.21		101.22   	  10.17		
-265.50   	-192.87   	 15.91   	  76.30		101.26   	   5.09		
-336.00   	-276.79   	 16.22   	  66.12		101.28   	   5.09		
-406.49   	-366.82   	 16.48   	  61.04		101.30   	   5.09		
-473.02   	-451.05   	 16.72   	  50.86		101.32   	   5.09		
-527.95   	-517.27   	 16.93   	  35.61		101.34   	   5.09		
-549.32   	-544.13   	 17.07   	  10.17		101.36   	   5.09		
-393.98   	-397.95   	 17.11   	   0.00		101.38   	   0.00		
-235.60   	-245.67   	 17.11   	 -20.35		101.38   	  10.17		
-95.21   	-110.47   	 17.03   	 -15.26		101.42   	   5.09		
-35.40   	-53.41   	 16.97   	 -10.17		101.44   	   5.09		
-83.31   	-102.54   	 16.93   	 -15.26		101.46   	   5.09		
-216.06   	-236.21   	 16.87   	 -15.26		101.48   	   0.00		
-378.11   	-399.17   	 16.81   	  -5.09		101.48   	   5.09		
-515.44   	-537.41   	 16.79   	  -5.09		101.51   	  10.17		
-597.84   	-622.56   	 16.76   	  -5.09		101.55   	   5.09		
-622.56   	-657.65   	 16.74   	   0.00		101.57   	   5.09		
-609.74   	-670.47   	 16.74   	  15.26		101.59   	   5.09		
-586.85   	-693.97   	 16.81   	  25.43		101.61   	   0.00		
-575.87   	-738.83   	 16.91   	  35.61		101.61   	   0.00		
-586.55   	-780.33   	 17.05   	  35.61		101.61   	   5.09		
-626.53   	-766.60   	 17.19   	  55.95		101.63   	   0.00		
-712.59   	-661.62   	 17.42   	  71.21		101.63   	   5.09		
-861.82   	-507.20   	 17.70   	  71.21		101.65   	   0.00		
-1069.95   	-417.79   	 17.99   	  66.12		101.65   	   5.09		
-1288.15   	-495.30   	 18.25   	  66.12		101.67   	   0.00		
-1427.31   	-740.05   	 18.51   	  71.21		101.67   	 -10.17		
-1415.71   	-1028.14   	 18.80   	  66.12		101.63   	  -5.09		
-1257.32   	-1193.54   	 19.06   	  66.12		101.61   	  25.43		
-1035.46   	-1158.14   	 19.33   	  76.30		101.71   	 -10.17		
