SAMPLE NUMBER:   5
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  AO     	  AO'		
  3.36   	-119.93   	 13.88   	 244.15		 76.95   	 -61.04		
  4.58   	-130.00   	 14.85   	 366.22		 76.70   	-116.99		
 10.07   	-135.50   	 16.32   	 233.98		 76.24   	 -50.86		
 12.51   	-123.29   	 17.25   	 310.27		 76.03   	 -50.86		
 13.43   	-107.73   	 18.49   	 356.05		 75.83   	 -55.95		
 13.73   	-96.74   	 19.92   	 350.97		 75.60   	 -61.04		
 14.04   	-95.21   	 21.32   	 345.88		 75.36   	 -55.95		
 15.26   	-101.01   	 22.71   	 361.14		 75.14   	 -55.95		
 17.70   	-107.12   	 24.15   	 412.00		 74.91   	 -55.95		
 21.67   	-104.68   	 25.80   	 442.52		 74.69   	 -40.69		
 26.25   	-91.55   	 27.57   	 437.43		 74.53   	 -30.52		
 30.52   	-72.33   	 29.32   	 422.18		 74.40   	 -30.52		
 33.87   	-56.76   	 31.01   	 493.39		 74.28   	 -35.61		
 35.71   	-52.49   	 32.98   	 676.50		 74.14   	 -50.86		
 36.93   	-60.12   	 35.69   	 757.88		 73.94   	 -61.04		
 38.45   	-71.41   	 38.72   	 569.68		 73.69   	 -55.95		
 41.20   	-76.29   	 41.00   	 274.67		 73.47   	 -45.78		
 45.47   	-68.97   	 42.10   	  96.64		 73.29   	 -61.04		
 50.05   	-50.66   	 42.48   	 147.51		 73.04   	 -50.86		
 54.32   	-28.69   	 43.07   	 274.67		 72.84   	 -15.26		
 57.98   	-11.29   	 44.17   	 284.84		 72.78(D)	  71.21		
 61.34   	 -3.66   	 45.31   	 122.07		 73.06   	 183.11		
 65.61   	 -4.27   	 45.80   	 -61.04		 73.79   	 310.27		
 70.80   	 -9.16   	 45.55   	 -91.56		 75.04   	 447.61		
 77.21   	-12.21   	 45.19   	 -20.35		 76.83   	 615.46		
 83.62   	 -8.54   	 45.11   	  40.69		 79.29   	 798.57		
 90.03   	  3.97   	 45.27   	   0.00		 82.48   	 925.73		
 95.83   	 22.58   	 45.27   	 -76.30		 86.18   	 910.47		
101.62   	 42.42   	 44.96   	-127.16		 89.83   	 757.88		
107.42   	 56.76   	 44.46   	 -91.56		 92.86   	 523.90		
113.53   	 62.56   	 44.09   	   0.00		 94.95   	   0.00		
113.53   	 62.56   	 44.09   	 -20.35		 94.95   	 427.26		
125.12   	 63.78   	 44.01   	   0.00		 96.66   	   0.00		
125.12   	 63.78   	 44.01   	 -45.78		 96.66   	 152.59		
136.11   	 97.66   	 43.82   	   0.00		 97.27   	   0.00		
136.11   	 97.66   	 43.82   	 -25.43		 97.27   	 752.79		
141.91   	144.96   	 43.72   	   0.00		100.28   	   0.00		
