SAMPLE NUMBER:   14
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  AO     	  AO'		
 22.28   	-34.79   	 15.10   	  91.56		 73.02(D)	   0.00		
 21.67   	-38.76   	 15.46   	  91.56		 73.02   	  30.52		
 26.55   	-35.40   	 15.83   	  86.47		 73.14   	  81.38		
 34.48   	-26.55   	 16.17   	  76.30		 73.47   	 152.59		
 41.50   	-17.70   	 16.48   	  76.30		 74.08   	 228.89		
 43.03   	-15.56   	 16.79   	  81.38		 74.99   	 284.84		
 37.23   	-22.28   	 17.11   	  71.21		 76.13   	 325.53		
 26.25   	-34.48   	 17.40   	  76.30		 77.44   	 335.71		
 16.48   	-45.47   	 17.70   	  71.21		 78.78   	 330.62		
 13.12   	-49.74   	 17.99   	  81.38		 80.10   	 345.88		
 18.62   	-44.86   	 18.31   	  81.38		 81.48   	 376.40		
 31.13   	-32.96   	 18.64   	  86.47		 82.99   	 417.09		
 46.69   	-19.23   	 18.98   	  81.38		 84.66   	 457.78		
 61.04   	 -7.63   	 19.31   	  86.47		 86.49   	 483.21		
 72.02   	  0.31   	 19.65   	  86.47		 88.42   	 503.56		
 79.35   	  3.66   	 20.00   	  81.38		 90.44   	 508.65		
 81.18   	  3.36   	 20.33   	  76.30		 92.47   	 518.82		
 78.43   	  0.00   	 20.63   	  76.30		 94.55   	 518.82		
 72.94   	 -3.66   	 20.94   	  71.21		 96.62   	 528.99		
 68.97   	 -5.49   	 21.22   	  71.21		 98.74   	 528.99		
 70.50   	 -2.14   	 21.51   	  76.30		100.85   	 523.90		
 78.43   	  7.93   	 21.81   	  71.21		102.95   	 503.56		
 90.03   	 23.19   	 22.10   	  71.21		104.96   	 483.21		
 98.57   	 39.37   	 22.38   	  71.21		106.90   	 473.04		
 99.49   	 51.88   	 22.67   	  71.21		108.79   	 452.69		
 92.47   	 58.59   	 22.95   	  66.12		110.60   	 432.35		
 81.48   	 60.42   	 23.21   	  61.04		112.33   	 412.00		
 71.11   	 59.81   	 23.46   	  61.04		113.98   	 401.83		
 63.48   	 58.29   	 23.70   	  61.04		115.58   	 371.31		
 57.07   	 55.24   	 23.95   	  50.86		117.07   	 340.79		
 51.27   	 50.66   	 24.15   	  45.78		118.43   	 310.27		
 45.78   	 44.86   	 24.33   	  45.78		119.67   	 284.84		
 41.50   	 37.54   	 24.52   	  35.61		120.81   	 254.32		
 37.23   	 28.08   	 24.66   	  30.52		121.83   	 239.06		
 30.21   	 14.65   	 24.78   	  30.52		122.79   	 223.80		
 19.84   	 -2.14   	 24.90   	  25.43		123.68   	 203.46		
  8.85   	-18.62   	 25.00   	  30.52		124.50   	 172.94		
  1.53   	-29.91   	 25.13   	  25.43		125.19   	 142.42		
