SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  FA     	  FA'		  RPA     	  RPA'		  RV     	  RV'		
 74.46   	208.13   	 38.96   	-188.20		 21.30   	-101.73		 19.37   	-366.22		
 92.77   	245.67   	 38.21   	-172.94		 20.90   	 -71.21		 17.90   	-361.14		
107.73   	272.83   	 37.52   	-167.85		 20.61   	 -55.95		 16.46   	-391.66		
106.20   	252.08   	 36.85   	-152.59		 20.39   	 -45.78		 14.89   	-381.48		
 85.75   	191.04   	 36.24   	-137.33		 20.20   	 -40.69		 13.37   	-356.05		
 55.85   	104.37   	 35.69   	-116.99		 20.04   	 -50.86		 11.94   	-330.62		
 24.11   	 13.12   	 35.22   	-106.82		 19.84   	 -61.04		 10.62   	-310.27		
 -1.53   	-58.29   	 34.79   	 -91.56		 19.59   	 -66.12		  9.38   	-274.67		
-14.65   	-94.91   	 34.43   	 -81.38		 19.33   	 -76.30		  8.28   	-254.32		
-16.17   	-99.79   	 34.10   	 -71.21		 19.02   	 -86.47		  7.26   	-218.72		
-12.21   	-89.42   	 33.81   	 -66.12		 18.68   	 -96.64		  6.39   	-193.29		
 -8.24   	-82.09   	 33.55   	 -61.04		 18.29   	-101.73		  5.62   	-162.77		
 -7.93   	-85.45   	 33.31   	 -50.86		 17.88   	 -96.64		  4.96   	-132.25		
 -9.16   	-95.52   	 33.10   	 -55.95		 17.50   	 -96.64		  4.44   	-101.73		
-10.07   	-104.37   	 32.88   	 -50.86		 17.11   	 -86.47		  4.03   	 -76.30		
 -8.24   	-110.17   	 32.68   	 -45.78		 16.76   	 -81.38		  3.72   	 -45.78		
  2.14   	-122.68   	 32.49   	 -50.86		 16.44   	 -66.12		  3.54   	 -20.35		
 32.65   	-151.98   	 32.29   	 -50.86		 16.17   	 -50.86		  3.46(D)	   5.09		
 87.28   	-176.09   	 32.09   	 -50.86		 15.97   	 -40.69		  3.48   	  20.35		
134.89   	-137.33   	 31.88   	 -50.86		 15.81   	 -30.52		  3.56   	  45.78		
108.64   	-10.07   	 31.68   	 -50.86		 15.69   	 -30.52		  3.74   	  66.12		
-60.12   	140.69   	 31.47   	 -55.95		 15.56   	 -15.26		  4.01   	  76.30		
-384.83   	169.98   	 31.25   	 -55.95		 15.50   	 -15.26		  4.31   	  96.64		
-785.83   	-60.42   	 31.03   	 -50.86		 15.44   	 -10.17		  4.70   	 106.82		
-1109.62   	-538.64   	 30.82   	 -55.95		 15.40   	 -15.26		  5.13   	 111.90		
-1210.02   	-1042.79   	 30.60   	 -50.86		 15.34   	 -15.26		  5.57   	 122.07		
-1036.38   	-1275.63(R)	 30.40   	 -55.95		 15.28   	 -20.35		  6.06(E)	 122.07		
-665.59   	-1091.92   	 30.17   	 -50.86		 15.20   	 -30.52		  6.55   	 142.42		
 39.67   	-100.71   	 29.97   	 -50.86		 15.08   	 -35.61		  7.12   	 142.42		
149.54   	169.68   	 29.77   	 -50.86		 14.93   	 -40.69		  7.69   	 142.42		
 11.60   	-11.60   	 29.56   	 -40.69		 14.77   	 -40.69		  8.26   	 132.25		
-48.22   	-140.99   	 29.40   	 -40.69		 14.61   	 -35.61		  8.79   	 127.16		
-43.95   	-152.89   	 29.24   	 -40.69		 14.47   	 -30.52		  9.30   	 122.07		
 -3.05   	-83.62   	 29.07   	 -35.61		 14.34   	 -10.17		  9.79   	 111.90		
 29.60   	-13.73   	 28.93   	 -35.61		 14.30(D)	  20.35		 10.23   	 111.90		
 32.65   	  7.32   	 28.79   	 -35.61		 14.38   	  66.12		 10.68   	 111.90		
 15.87   	-13.12   	 28.65   	 -30.52		 14.65   	  66.12		 11.13   	 111.90		
  2.75   	-39.98   	 28.52   	 -35.61		 14.91   	  35.61		 11.58   	 127.16		
  4.27   	-48.22   	 28.38   	 -30.52		 15.06   	  15.26		 12.09   	 147.51		
 15.56   	-37.84   	 28.26   	 -30.52		 15.12   	  25.43		 12.68   	 167.85		
 25.33   	-22.58   	 28.14   	 -35.61		 15.22   	  25.43		 13.35   	 188.20		
 28.69   	-12.82   	 28.00   	 -30.52		 15.32   	  20.35		 14.10   	 213.63		
 27.77   	 -8.85   	 27.87   	 -30.52		 15.40   	  25.43		 14.95   	 244.15		
 26.25   	 -6.71   	 27.75   	 -30.52		 15.50   	  50.86		 15.93   	 279.75		
 26.55   	 -2.75   	 27.63   	 -30.52		 15.71   	  76.30		 17.05   	 305.19		
