SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  DAO     	  DAO'		
220.34   	-488.59   	 42.03(S)	 -10.17		102.73   	 -81.38		
216.67   	-519.41   	 41.99   	 -10.17		102.40   	-106.82		
208.44   	-553.89   	 41.95   	 -15.26		101.97   	-122.07		
201.11   	-587.77   	 41.89   	 -35.61		101.48   	-137.33		
198.06   	-614.93   	 41.75   	 -45.78		100.94   	-137.33		
198.97   	-631.41   	 41.57   	 -55.95		100.39   	-142.42		
200.20   	-635.07   	 41.34   	 -71.21		 99.82   	-147.51		
197.45   	-629.58   	 41.06   	 -81.38		 99.23   	-147.51		
188.29   	-619.51   	 40.73   	 -91.56		 98.64   	-157.68		
173.03   	-608.22   	 40.37   	-111.90		 98.01   	-157.68		
155.94   	-594.48   	 39.92   	-137.33		 97.37   	-167.85		
139.77   	-576.17   	 39.37   	-152.59		 96.70   	-172.94		
125.43   	-552.67   	 38.76   	-183.11		 96.01   	-167.85		
112.61   	-526.12   	 38.03   	-208.54		 95.34   	-178.03		
 99.49   	-502.01   	 37.19   	-233.98		 94.63   	-178.03		
 86.98   	-484.92   	 36.26   	-249.24		 93.92   	-188.20		
 76.60   	-476.99   	 35.26   	-269.58		 93.16   	-193.29		
 71.11   	-479.43   	 34.18   	-289.93		 92.39   	-198.37		
 71.72   	-490.11   	 33.02   	-295.01		 91.60   	-208.54		
 76.90   	-503.54   	 31.84   	-289.93		 90.76   	-208.54		
 83.62   	-513.92   	 30.68   	-295.01		 89.93   	-223.80		
 90.33   	-515.14   	 29.50   	-295.01		 89.03   	-228.89		
 96.13   	-505.37   	 28.32   	-310.27		 88.12   	-239.06		
101.01   	-485.84   	 27.08   	-315.36		 87.16   	-249.24		
104.68   	-460.82   	 25.82   	-320.45		 86.16   	-244.15		
