SAMPLE NUMBER:   5
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  DAO     	  DAO'		  RV     	  RV'		
 53.65   	 122.07		 39.72   	 188.20		
 54.14   	  96.64		 40.47   	 172.94		
 54.53   	  81.38		 41.16   	 157.68		
 54.85   	  71.21		 41.79   	 142.42		
 55.14   	  71.21		 42.36   	 132.25		
 55.42   	  66.12		 42.89   	 111.90		
 55.69   	  61.04		 43.34   	 101.73		
 55.93   	  76.30		 43.74   	  91.56		
 56.24   	 122.07		 44.11   	  86.47		
 56.72   	 137.33		 44.46   	  71.21		
 57.27   	 142.42		 44.74   	  66.12		
 57.84   	 147.51		 45.00   	  55.95		
 58.43   	 147.51		 45.23   	  40.69		
 59.02   	 152.59		 45.39   	  30.52		
 59.63   	 152.59		 45.51   	  25.43		
 60.24   	 152.59		 45.62   	  15.26		
 60.85   	 157.68		 45.68   	  10.17		
 61.49   	 147.51		 45.72   	   5.09		
 62.08   	 127.16		 45.74(S)	 -10.17		
 62.58   	 106.82		 45.70   	 -15.26		
 63.01   	  86.47		 45.64   	 -30.52		
 63.36   	  71.21		 45.51   	 -45.78		
 63.64   	  66.12		 45.33   	 -55.95		
 63.91   	  55.95		 45.11   	 -61.04		
 64.13   	  45.78		 44.86   	 -71.21		
 64.31   	  30.52		 44.58   	 -71.21		
 64.44   	  15.26		 44.29   	 -86.47		
 64.50(S)	   0.00		 43.95   	 -96.64		
 64.50   	  -5.09		 43.56   	-116.99		
 64.48   	 -15.26		 43.09   	-122.07		
 64.41   	 -25.43		 42.60   	-127.16		
 64.31   	 -20.35		 42.10   	-122.07		
 64.23   	 -25.43		 41.61   	-122.07		
 64.13   	 -30.52		 41.12   	-116.99		
 64.01   	 -35.61		 40.65   	-127.16		
 63.87   	 -35.61		 40.14   	-137.33		
 63.72   	 -40.69		 39.59   	-152.59		
 63.56   	 -40.69		 38.98   	-157.68		
 63.40   	 -40.69		 38.35   	-157.68		
 63.23   	 -40.69		 37.72   	-157.68		
 63.07   	 -45.78		 37.09   	-157.68		
 62.89   	 -50.86		 36.46   	-147.51		
 62.69   	 -50.86		 35.87   	-147.51		
 62.48   	 -45.78		 35.28   	-147.51		
 62.30   	 -45.78		 34.69   	-142.42		
 62.12   	 -45.78		 34.12   	-157.68		
 61.93   	 -50.86		 33.49   	-162.77		
 61.73   	 -55.95		 32.84   	-172.94		
 61.51   	 -66.12		 32.15   	-183.11		
 61.24   	 -76.30		 31.41   	-193.29		
 60.94   	 -86.47		 30.64   	-198.37		
 60.59   	-101.73		 29.85   	-203.46		
 60.18   	-116.99		 29.03   	-203.46		
 59.71   	-132.25		 28.22   	-208.54		
 59.19   	-137.33		 27.39   	-213.63		
 58.64   	-137.33		 26.53   	-228.89		
 58.09   	-137.33		 25.62   	-239.06		
 57.54   	-132.25		 24.66   	-249.24		
 57.01   	-122.07		 23.66   	-264.50		
 56.52   	-122.07		 22.60   	-259.41		
 56.03   	-101.73		 21.57   	-264.50		
 55.63   	 -96.64		 20.51   	-264.50		
 55.24   	 -91.56		 19.45   	-259.41		
 54.87   	 -86.47		 18.41   	-274.67		
 54.53   	 -71.21		 17.31   	-274.67		
 54.24   	 -66.12		 16.22   	-279.75		
 53.98   	 -55.95		 15.10   	-274.67		
 53.75   	 -61.04		 14.00   	-274.67		
 53.51   	 -66.12		 12.90   	-269.58		
 53.24   	 -66.12		 11.82   	-254.32		
 52.98   	 -66.12		 10.80   	-239.06		
 52.72   	 -66.12		  9.85   	-228.89		
 52.45   	 -55.95		  8.93   	-208.54		
 52.23   	 -50.86		  8.10   	-193.29		
 52.02   	 -50.86		  7.32   	-178.03		
 51.82   	 -61.04		  6.61   	-167.85		
 51.58   	 -55.95		  5.94   	-152.59		
 51.35   	 -61.04		  5.33   	-142.42		
 51.11   	 -50.86		  4.76   	-116.99		
 50.91   	 -45.78		  4.29   	-101.73		
 50.72   	 -35.61		  3.89   	 -71.21		
 50.58   	 -40.69		  3.60   	 -61.04		
 50.42   	 -45.78		  3.36   	 -45.78		
 50.23   	 -55.95		  3.17   	 -50.86		
 50.01   	 -61.04		  2.97   	 -45.78		
 49.77   	 -55.95		  2.79   	 -45.78		
 49.54   	 -45.78		  2.60   	 -40.69		
 49.36   	 -45.78		  2.44   	 -25.43		
 49.18   	 -50.86		  2.34   	 -10.17		
 48.97   	 -61.04		  2.30   	  -5.09		
 48.73   	 -61.04		  2.28(D)	  10.17		
 48.48   	 -61.04		  2.32   	  15.26		
 48.24   	 -55.95		  2.38   	  20.35		
 48.02   	 -50.86		  2.46   	  15.26		
 47.81   	 -45.78		  2.52   	  15.26		
 47.63   	 -35.61		  2.58   	  10.17		
 47.49   	 -35.61		  2.62   	  -5.09		
 47.34   	 -50.86		  2.60   	 -10.17		
 47.14   	 -40.69		  2.56   	 -10.17		
 46.98   	 -35.61		  2.52   	   0.00		
 46.84   	 -45.78		  2.52   	  10.17		
 46.65   	 -35.61		  2.56   	  25.43		
 46.51   	 -35.61		  2.67   	  50.86		
