SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  RFA     	  RFA'		
186.77   	264.59   	 54.71   	  35.61		 55.20   	 213.63		
150.76   	202.03   	 54.85   	  30.52		 56.05   	 203.46		
117.19   	140.99   	 54.97   	  25.43		 56.87   	 203.46		
 86.67   	 84.23   	 55.08   	  10.17		 57.68   	 193.29		
 60.12   	 33.57   	 55.12   	   5.09		 58.45   	 198.37		
 37.84   	-10.07   	 55.14(S)	   0.00		 59.25   	 188.20		
 19.23   	-45.78   	 55.14   	  -5.09		 60.00   	 193.29		
  3.97   	-74.77   	 55.12   	 -15.26		 60.77   	 188.20		
 -9.46   	-97.66   	 55.06   	 -20.35		 61.53   	 188.20		
-21.06   	-115.05   	 54.97   	 -30.52		 62.28   	 193.29		
-30.52   	-128.17   	 54.85   	 -45.78		 63.05   	 193.29		
-37.54   	-137.94   	 54.67   	 -50.86		 63.82   	 183.11		
-42.72   	-145.87   	 54.47   	 -66.12		 64.56   	 188.20		
-46.39   	-152.59   	 54.20   	 -81.38		 65.31   	 178.03		
-50.05   	-158.39   	 53.88   	-101.73		 66.02   	 162.77		
-53.71   	-163.27   	 53.47   	-127.16		 66.67   	 152.59		
-56.15   	-166.32   	 52.96   	-162.77		 67.28   	 147.51		
-57.37   	-167.24   	 52.31   	-203.46		 67.87   	 142.42		
-56.76   	-166.63   	 51.50   	-249.24		 68.44   	 132.25		
-55.54   	-165.10   	 50.50   	-295.01		 68.97   	 116.99		
-54.63   	-163.57   	 49.32   	-330.62		 69.44   	  91.56		
-54.32   	-162.96   	 48.00   	-350.97		 69.81   	  76.30		
-54.32   	-162.66   	 46.59   	-396.74		 70.11   	  66.12		
-53.71   	-161.74   	 45.00   	-457.78		 70.38   	  55.95		
-51.88   	-159.61   	 43.17   	-498.47		 70.60   	  35.61		
-48.83   	-155.94   	 41.18   	-523.90		 70.74   	  10.17		
-45.78   	-151.67   	 39.08   	-544.25		 70.78   	  10.17		
-43.03   	-147.71   	 36.91   	-559.51		 70.82   	  20.35		
-40.59   	-144.96   	 34.67   	-569.68		 70.91   	  15.26		
-39.06   	-143.43   	 32.39   	-574.77		 70.97   	   5.09		
-37.54   	-142.52   	 30.09   	-559.51		 70.99(S)	  -5.09		
-36.62   	-141.91   	 27.85   	-544.25		 70.97   	 -15.26		
-36.01   	-141.30   	 25.68   	-508.65		 70.91   	 -20.35		
-35.10   	-140.69   	 23.64   	-478.13		 70.82   	 -45.78		
-34.18   	-139.47   	 21.73   	-447.61		 70.64   	 -76.30		
-32.96   	-137.94   	 19.94   	-422.18		 70.34   	 -96.64		
-31.13   	-136.41   	 18.25   	-396.74		 69.95   	-106.82		
-29.60   	-134.58   	 16.66   	-366.22		 69.52   	-122.07		
-28.38   	-132.75   	 15.20   	-335.71		 69.03   	-122.07		
-27.77   	-130.92   	 13.86   	-305.19		 68.55   	-116.99		
-26.55   	-127.87   	 12.63   	-295.01		 68.08   	-111.90		
-22.89   	-121.77   	 11.45   	-274.67		 67.63   	-122.07		
-13.73   	-111.39   	 10.36   	-264.50		 67.14   	-142.42		
  2.14   	-96.74   	  9.30   	-254.32		 66.57   	-147.51		
 22.58   	-80.87   	  8.28   	-233.98		 65.98   	-162.77		
 42.42   	-65.31   	  7.34   	-228.89		 65.33   	-162.77		
 57.37   	-49.44   	  6.43   	-213.63		 64.68   	-157.68		
 68.97   	-28.69   	  5.57   	-208.54		 64.05   	-147.51		
 83.31   	  1.53   	  4.74   	-183.11		 63.46   	-127.16		
106.51   	 39.67   	  4.01   	-162.77		 62.95   	-106.82		
138.55   	 76.90   	  3.36   	-132.25		 62.52   	 -91.56		
173.95   	103.15   	  2.83   	-106.82		 62.16   	 -91.56		
201.11   	110.47   	  2.40   	 -81.38		 61.79   	-111.90		
209.66   	 97.35   	  2.08   	 -55.95		 61.34   	-116.99		
195.31   	 68.05   	  1.85   	 -30.52		 60.87   	-127.16		
160.22   	 29.91   	  1.73   	 -10.17		 60.37   	-122.07		
113.83   	-10.68   	  1.69   	  10.17		 59.88   	-116.99		
 67.44   	-48.22   	  1.73   	  20.35		 59.41   	-116.99		
 29.91   	-81.79   	  1.81   	  35.61		 58.94   	-101.73		
  0.00   	-114.44   	  1.95   	  45.78		 58.53   	 -91.56		
-28.99   	-148.93   	  2.14   	  45.78		 58.17   	 -86.47		
-61.65   	-181.27   	  2.32   	  40.69		 57.82   	 -81.38		
-94.60   	-204.77   	  2.48   	  30.52		 57.50   	 -91.56		
-119.63   	-214.54   	  2.60   	   5.09		 57.13   	 -96.64		
-128.78   	-211.49   	  2.62   	 -15.26		 56.74   	 -86.47		
-124.82   	-203.86   	  2.56   	 -45.78		 56.40   	 -86.47		
-116.88   	-200.20   	  2.38   	 -66.12		 56.05   	 -86.47		
-113.83   	-203.55   	  2.12   	 -81.38		 55.71   	 -86.47		
-117.49   	-209.35   	  1.79   	 -96.64		 55.36   	 -76.30		
-123.90   	-212.71   	  1.40   	 -96.64		 55.06   	 -66.12		
-127.87   	-212.10   	  1.02   	 -96.64		 54.79   	 -61.04		
-127.87   	-209.05   	  0.63   	 -81.38		 54.55   	 -66.12		
-126.65   	-206.91   	  0.31   	 -55.95		 54.28   	 -66.12		
-126.04   	-206.91   	  0.08   	 -20.35		 54.02   	 -66.12		
-126.65   	-207.52   	  0.00(D)	  10.17		 53.75   	 -55.95		
-127.56   	-206.30   	  0.04   	  45.78		 53.53   	 -61.04		
-127.56   	-202.94   	  0.22   	  71.21		 53.29   	 -55.95		
-126.04   	-198.36   	  0.51   	 101.73		 53.06   	 -61.04		
-124.51   	-194.40   	  0.92   	 111.90		 52.82   	 -50.86		
-123.29   	-192.26   	  1.36   	 132.25		 52.61   	 -50.86		
-122.68   	-191.96   	  1.89   	 142.42		 52.41   	 -55.95		
-121.46   	-190.43   	  2.46   	 142.42		 52.19   	 -55.95		
-114.44   	-182.80   	  3.03   	 132.25		 51.96   	 -50.86		
-92.16   	-164.49   	  3.56   	 116.99		 51.76   	 -50.86		
-40.89   	-136.11   	  4.03   	 101.73		 51.56   	 -45.78		
 48.22   	-93.69   	  4.44   	  86.47		 51.37   	 -45.78		
162.66   	-25.02   	  4.78   	  71.21		 51.19   	 -45.78		
268.25   	 91.86   	  5.07   	  55.95		 51.01   	 -40.69		
313.72   	267.64   	  5.29   	  35.61		 50.84   	 -40.69		
239.56   	467.83   	  5.43   	  15.26		 50.68   	 -45.78		
-364.07   	559.08   	  5.49   	   5.09		 50.50   	 -45.78		
-791.93   	274.66   	  5.51   	  -5.09		 50.32   	 -40.69		
-1158.75   	-189.21   	  5.49   	 -10.17		 50.15   	 -40.69		
-1354.68   	-668.34   	  5.45   	 -25.43		 49.99   	 -50.86		
-1329.04   	-979.61   	  5.35   	 -25.43		 49.79   	 -50.86		
-1113.59   	-1022.95(R)	  5.25(E)	 -30.52		 49.58   	 -45.78		
-792.85   	-832.21   	  5.13   	 -30.52		 49.40   	 -50.86		
-458.98   	-538.02   	  5.01   	 -35.61		 49.20   	 -45.78		
-187.38   	-277.10   	  4.86   	 -35.61		 49.01   	 -45.78		
-24.11   	-122.99   	  4.72   	 -25.43		 48.83   	 -40.69		
 25.94   	-75.38   	  4.62   	 -15.26		 48.67   	 -40.69		
 -1.83   	-89.72   	  4.56   	  -5.09		 48.50   	 -40.69		
-49.74   	-115.97   	  4.54   	  10.17		 48.34   	 -40.69		
-71.72   	-125.12   	  4.58   	  30.52		 48.18   	 -40.69		
-54.63   	-113.22   	  4.70   	  71.21		 48.02   	 -35.61		
-19.53   	-92.16   	  4.98   	 116.99		 47.87   	 -35.61		
  6.41   	-74.77   	  5.45   	 167.85		 47.73   	 -35.61		
 12.21   	-67.44   	  6.12   	 233.98		 47.59   	 -45.78		
  7.02   	-66.83   	  7.06   	 310.27		 47.41   	 -35.61		
  4.58   	-65.61   	  8.30   	 386.57		 47.26   	 -30.52		
 10.07   	-59.51   	  9.85   	 437.43		 47.14   	 -35.61		
 18.92   	-50.35   	 11.60   	 478.13		 47.00   	 -30.52		
 27.16   	-41.20   	 13.51   	 498.47		 46.88   	 -30.52		
 33.26   	-34.18   	 15.50   	 503.56		 46.75   	 -25.43		
 37.84   	-28.38   	 17.52   	 559.51		 46.65   	 -35.61		
 46.69   	-14.95   	 19.76   	 584.94		 46.51   	 -30.52		
 52.19   	 -7.32   	 22.10   	 615.46		 46.39   	 -35.61		
 58.90   	  0.92   	 24.56   	 615.46		 46.25   	 -35.61		
 65.31   	  9.77   	 27.02   	 574.77		 46.10   	 -30.52		
 71.11   	 18.62   	 29.32   	 534.08		 45.98   	 -35.61		
 76.29   	 27.47   	 31.45   	 503.56		 45.84   	 -35.61		
 80.87   	 35.71   	 33.47   	 478.13		 45.70   	 -35.61		
 85.75   	 43.64   	 35.38   	 437.43		 45.55   	 -30.52		
 91.25   	 51.57   	 37.13   	 356.05		 45.43   	 -25.43		
 97.35   	 60.12   	 38.56   	 274.67		 45.33   	 -30.52		
104.37   	 68.66   	 39.65   	 203.46		 45.21   	 -25.43		
111.69   	 77.21   	 40.47   	 152.59		 45.11   	 -30.52		
118.10   	 85.75   	 41.08   	 106.82		 44.98   	 -25.43		
123.90   	 94.60   	 41.51   	  76.30		 44.88   	 -30.52		
129.70   	104.37   	 41.81   	  50.86		 44.76   	 -20.35		
136.41   	115.05   	 42.01   	  30.52		 44.68   	 -25.43		
