SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		
-29.91   	489.81   	 50.29   	   0.00		
-29.91   	489.81   	 50.29   	1027.46		
-17.09   	502.62   	 54.40   	   0.00		
-17.09   	502.62   	 54.40   	 834.18		
  0.61   	510.25   	 57.74   	 259.41		
 12.21   	517.27   	 58.78   	 142.42		
 23.50   	526.43   	 59.35   	  45.78		
 33.87   	536.50   	 59.53(S)	 -40.69		
 43.64   	545.04   	 59.37   	-111.90		
 52.19   	550.54   	 58.92   	-172.94		
 59.20   	553.28   	 58.23   	-223.80		
 63.48   	554.20   	 57.33   	-254.32		
 65.92   	556.03   	 56.32   	-295.01		
 69.27   	560.61   	 55.14   	-645.98		
 84.23   	576.48   	 52.55   	-320.45		
 91.55   	582.58   	 51.27   	-305.19		
 95.52   	585.02   	 50.05   	-289.93		
 95.83   	584.41   	 48.89   	-269.58		
 95.21   	583.50   	 47.81   	-239.06		
 97.35   	585.33   	 46.86   	-208.54		
101.93   	589.29   	 46.02   	-183.11		
106.20   	592.65   	 45.29   	-157.68		
108.03   	593.87   	 44.66   	-137.33		
108.34   	593.57   	 44.11   	-111.90		
110.47   	594.48   	 43.66   	 -91.56		
116.58   	598.14   	 43.30   	 -76.30		
124.21   	603.33   	 42.99   	 -66.12		
129.70   	607.61   	 42.73   	 -55.95		
130.31   	608.83   	 42.50   	 -50.86		
127.56   	607.30   	 42.30   	 -55.95		
124.82   	605.16   	 42.08   	 -55.95		
123.60   	603.03   	 41.85   	 -45.78		
121.46   	598.75   	 41.67   	 -40.69		
115.66   	591.13   	 41.51   	 -45.78		
104.98   	580.14   	 41.32   	 -71.21		
 89.42   	566.71   	 41.04   	 -76.30		
 71.72   	551.45   	 40.73   	 -91.56		
 52.49   	535.28   	 40.37   	-111.90		
 32.65   	517.27   	 39.92   	-127.16		
 12.82   	498.66   	 39.41   	-132.25		
 -6.71   	480.65   	 38.88   	-137.33		
-25.02   	463.26   	 38.33   	   0.00		
-25.02   	463.26   	 38.33   	-325.53		
-60.12   	426.64   	 37.03   	   0.00		
-60.12   	426.64   	 37.03   	-350.97		
-91.86   	395.20   	 35.63   	   0.00		
-91.86   	395.20   	 35.63   	-356.05		
-115.36   	382.39   	 34.20   	   0.00		
-115.36   	382.39   	 34.20   	-366.22		
-129.70   	376.59   	 32.74   	   0.00		
-129.70   	376.59   	 32.74   	-366.22		
-142.21   	364.69   	 31.27   	   0.00		
-142.21   	364.69   	 31.27   	-412.00		
-149.54   	354.31   	 29.62   	-233.98		
-148.32   	353.09   	 28.69   	-254.32		
-144.65   	354.00   	 27.67   	-295.01		
-141.30   	354.61   	 26.49   	-330.62		
-140.38   	353.09   	 25.17   	-330.62		
-140.69   	350.95   	 23.85   	-320.45		
-139.77   	350.34   	 22.56   	-386.57		
-136.72   	352.17   	 21.02   	-442.52		
-132.75   	354.92   	 19.25   	-427.26		
-129.70   	356.14   	 17.54   	-427.26		
-130.00   	354.31   	 15.83   	-447.61		
-132.14   	351.56   	 14.04   	-432.35		
-134.58   	350.34   	 12.31   	-391.66		
-136.11   	351.26   	 10.74   	-376.40		
-136.72   	352.48   	  9.24   	-350.97		
-136.72   	353.39   	  7.83   	-305.19		
-136.11   	354.00   	  6.61   	-279.75		
-135.50   	354.92   	  5.49   	-254.32		
-136.11   	355.22   	  4.48   	-218.72		
-138.55   	353.09   	  3.60   	-203.46		
-143.43   	348.21   	  2.79   	-188.20		
-148.93   	342.41   	  2.03   	-157.68		
-152.59   	339.05   	  1.40   	-127.16		
-153.20   	339.36   	  0.90   	-116.99		
-152.28   	341.49   	  0.43   	-101.73		
-151.67   	342.41   	  0.02   	-101.73		
-152.28   	340.58   	 -0.39   	 -96.64		
-153.50   	336.91   	 -0.77   	 -55.95		
-155.33   	332.95   	 -1.00   	 -25.43		
-157.78   	329.90   	 -1.10   	 -25.43		
-160.52   	327.15   	 -1.20(D)	  10.17		
-162.96   	325.32   	 -1.16   	  35.61		
-162.96   	324.71   	 -1.02   	  45.78		
-160.83   	325.62   	 -0.83   	  55.95		
-158.39   	327.45   	 -0.61   	  86.47		
-157.78   	328.06   	 -0.26   	 101.73		
-160.22   	326.54   	  0.14   	 122.07		
-165.10   	322.57   	  0.63   	 132.25		
-169.98   	318.91   	  1.16   	   0.00		
-169.98   	318.91   	  1.16   	 279.75		
-174.56   	317.38   	  2.28   	   0.00		
-174.56   	317.38   	  2.28   	 233.98		
-178.22   	319.82   	  3.21   	   0.00		
-178.22   	319.82   	  3.21   	 188.20		
-181.27   	318.30   	  3.97   	   0.00		
-181.27   	318.30   	  3.97   	 162.77		
-180.36   	316.47   	  4.62   	   0.00		
-180.36   	316.47   	  4.62   	 127.16		
-180.66   	313.11   	  5.13   	   0.00		
-180.66   	313.11   	  5.13   	  40.69		
-184.02   	307.31   	  5.29   	 -25.43		
-183.72   	305.48   	  5.19   	 -45.78		
-181.58   	306.09   	  5.01   	 -50.86		
-179.75   	307.62   	  4.80   	 -45.78		
-179.44   	309.14   	  4.62   	 -45.78		
-181.88   	308.53   	  4.44   	 -35.61		
-186.46   	306.09   	  4.29   	 -20.35		
-190.12   	303.04   	  4.21   	   0.00		
-191.04   	301.21   	  4.21   	  15.26		
-188.90   	300.90   	  4.27   	  30.52		
-185.55   	301.51   	  4.39   	  35.61		
-182.50   	301.51   	  4.54   	  40.69		
-179.75   	301.82   	  4.70   	  40.69		
-176.39   	303.34   	  4.86   	  45.78		
-171.20   	307.31   	  5.05   	  50.86		
-162.66   	314.94   	  5.25   	  55.95		
-150.76   	326.23   	  5.47   	  61.04		
-134.89   	342.10   	  5.72   	  66.12		
-115.66   	362.55   	  5.98   	  66.12		
-93.99   	385.74   	  6.25   	  66.12		
-72.33   	408.94   	  6.51   	  61.04		
-52.80   	429.69   	  6.75   	  61.04		
-36.93   	447.08   	  7.00   	  45.78		
-22.89   	462.34   	  7.18   	  40.69		
 -8.85   	477.29   	  7.34   	  35.61		
  6.71   	493.16   	  7.49   	  30.52		
 23.50   	508.73   	  7.61   	   5.09		
 39.67   	521.55   	  7.63   	  -5.09		
 51.88   	527.95   	  7.61   	 -10.17		
 55.54   	526.43   	  7.57   	 -10.17		
 50.35   	516.97   	  7.53   	 -25.43		
 36.62   	501.10   	  7.43   	 -20.35		
 15.56   	479.74   	  7.34   	 -15.26		
-13.43   	450.13   	  7.28   	 -10.17		
-51.27   	409.85   	  7.24   	  -5.09		
