SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  RV     	  RV'		  RFA     	  RFA'		
  5.76   	   5.09		 59.33   	 -25.43		
  5.78   	  10.17		 59.23   	 -20.35		
  5.82   	  10.17		 59.15   	 -25.43		
  5.86   	  10.17		 59.04   	 -20.35		
  5.90   	  10.17		 58.96   	 -25.43		
  5.94   	  15.26		 58.86   	 -25.43		
  6.00   	   5.09		 58.76   	 -25.43		
  6.02   	   0.00		 58.66   	 -20.35		
  6.02   	   0.00		 58.58   	 -25.43		
  6.02   	  -5.09		 58.47   	 -25.43		
  6.00   	 -10.17		 58.37   	 -25.43		
  5.96   	 -10.17		 58.27   	 -25.43		
  5.92   	 -20.35		 58.17   	 -25.43		
  5.84   	 -15.26		 58.07   	 -25.43		
  5.78   	 -20.35		 57.97   	 -25.43		
  5.70   	 -25.43		 57.86   	 -25.43		
  5.60   	 -20.35		 57.76   	 -20.35		
  5.51   	 -15.26		 57.68   	 -20.35		
  5.45   	 -15.26		 57.60   	 -25.43		
  5.39   	 -10.17		 57.50   	 -20.35		
  5.35   	  -5.09		 57.42   	 -20.35		
  5.33   	   5.09		 57.33   	 -20.35		
  5.35   	   5.09		 57.25   	 -20.35		
  5.37   	  10.17		 57.17   	 -20.35		
  5.41   	  10.17		 57.09   	 -20.35		
  5.45   	  20.35		 57.01   	 -20.35		
  5.53   	  20.35		 56.93   	 -20.35		
  5.62   	  15.26		 56.85   	 -20.35		
  5.68   	  15.26		 56.76   	 -20.35		
  5.74   	  15.26		 56.68   	 -25.43		
  5.80   	  15.26		 56.58   	 -20.35		
  5.86   	  10.17		 56.50   	 -20.35		
  5.90   	   5.09		 56.42   	 -20.35		
  5.92   	   5.09		 56.34   	 -20.35		
  5.94   	   0.00		 56.26   	 -20.35		
  5.94   	   0.00		 56.17   	 -20.35		
  5.94   	 -10.17		 56.09   	 -20.35		
  5.90   	 -10.17		 56.01   	 -25.43		
  5.86   	 -10.17		 55.91   	 -15.26		
  5.82   	 -15.26		 55.85   	 -20.35		
  5.76   	 -15.26		 55.77   	 -20.35		
