SAMPLE NUMBER:   1
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RFA     	  RFA'		  RV     	  RV'		
-67.75   	-72.33   	108.65   	-244.15		 26.61   	-101.73		
-69.27   	-68.05   	107.67   	-249.24		 26.21   	-147.51		
-68.36   	-62.56   	106.67   	-249.24		 25.62   	-223.80		
-66.22   	-56.76   	105.68   	-249.24		 24.72   	-345.88		
-64.70   	-52.19   	104.68   	-239.06		 23.34   	-457.78		
-64.39   	-47.91   	103.72   	-223.80		 21.51   	-310.27		
-65.31   	-43.64   	102.83   	-208.54		 20.26   	-167.85		
-66.22   	-39.37   	101.99   	-193.29		 19.59   	-442.52		
-66.53   	-35.10   	101.22   	-183.11		 17.82   	-498.47		
-65.92   	-30.82   	100.49   	-178.03		 15.83   	-289.93		
-64.09   	-27.47   	 99.78   	-178.03		 14.67   	-371.31		
-61.65   	-25.94   	 99.06   	-178.03		 13.18   	-442.52		
-59.20   	-27.16   	 98.35   	-188.20		 11.41   	-356.05		
-56.46   	-29.91   	 97.60   	-203.46		  9.99   	-376.40		
-54.02   	-32.96   	 96.78   	-213.63		  8.48   	-427.26		
-51.57   	-33.57   	 95.93   	-233.98		  6.78   	-350.97		
-49.44   	-30.52   	 94.99   	-254.32		  5.37   	-300.10		
-47.61   	-25.33   	 93.98   	-274.67		  4.17   	-315.36		
-45.78   	-21.97   	 92.88   	-295.01		  2.91   	-284.84		
-44.56   	-21.67   	 91.70   	-315.36		  1.77   	-223.80		
-43.64   	-24.72   	 90.44   	-320.45		  0.87   	-203.46		
-42.72   	-28.99   	 89.16   	-320.45		  0.06   	-183.11		
-42.42   	-33.26   	 87.87   	-295.01		 -0.67   	-162.77		
-42.72   	-37.23   	 86.69   	-259.41		 -1.32   	-142.42		
-43.95   	-42.11   	 85.66   	-198.37		 -1.89   	-142.42		
-45.78   	-46.69   	 84.86   	-122.07		 -2.46   	-147.51		
-47.30   	-49.13   	 84.37   	 -40.69		 -3.05   	-111.90		
-47.00   	-48.52   	 84.21   	  15.26		 -3.50   	 -45.78		
-43.95   	-44.56   	 84.27   	  55.95		 -3.68   	  -5.09		
-37.23   	-36.93   	 84.50   	  76.30		 -3.70(D)	  30.52		
-27.77   	-25.02   	 84.80   	  71.21		 -3.58   	  66.12		
-17.09   	-10.07   	 85.09   	  30.52		 -3.32   	  86.47		
 -7.93   	  6.71   	 85.21   	  -5.09		 -2.97   	  71.21		
 -2.14   	 21.36   	 85.19   	 -61.04		 -2.69   	  50.86		
  1.22   	 31.13   	 84.94   	-101.73		 -2.48   	  25.43		
  4.58   	 36.93   	 84.54   	-127.16		 -2.38   	  15.26		
 11.60   	 43.33   	 84.03   	-132.25		 -2.32   	   0.00		
 24.11   	 53.71   	 83.50   	-127.16		 -2.32   	 -15.26		
 39.37   	 68.05   	 82.99   	-122.07		 -2.38   	 -45.78		
 51.88   	 83.01   	 82.50   	 -91.56		 -2.56   	 -50.86		
 57.37   	 93.69   	 82.14   	 -55.95		 -2.77   	 -61.04		
 54.02   	 97.05   	 81.91   	 -25.43		 -3.01   	 -61.04		
 45.17   	 93.08   	 81.81   	  -5.09		 -3.26   	 -45.78		
 34.48   	 83.01   	 81.79   	   5.09		 -3.44   	  -5.09		
 24.72   	 68.97   	 81.81   	  10.17		 -3.46   	  30.52		
 14.04   	 51.27   	 81.85   	  10.17		 -3.34   	  55.95		
  0.31   	 30.21   	 81.89   	  10.17		 -3.11   	  81.38		
-18.01   	  6.10   	 81.93   	   5.09		 -2.79   	 111.90		
-39.06   	-19.53   	 81.95   	 -10.17		 -2.34   	 127.16		
-58.59   	-43.64   	 81.91   	 -25.43		 -1.83   	 132.25		
-72.63   	-62.56   	 81.81   	 -35.61		 -1.30   	 137.33		
-79.04   	-74.16   	 81.67   	 -40.69		 -0.75   	 132.25		
-79.04   	-77.82   	 81.51   	 -45.78		 -0.22   	 111.90		
-75.99   	-75.99   	 81.32   	 -50.86		  0.22   	  81.38		
-72.94   	-71.41   	 81.12   	 -55.95		  0.55   	  55.95		
-71.72   	-68.66   	 80.89   	 -55.95		  0.77   	  35.61		
-72.33   	-69.58   	 80.67   	 -50.86		  0.92   	  10.17		
-73.55   	-73.85   	 80.47   	 -45.78		  0.96   	 -20.35		
-74.46   	-78.13   	 80.28   	 -45.78		  0.87   	 -45.78		
