SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  AO     	  AO'		  RV     	  RV'		
 71.56   	-183.11		 38.09   	-600.20		
 70.82   	-208.54		 35.69   	-640.89		
 69.99   	-233.98		 33.12   	-661.24		
 69.05   	-269.58		 30.48   	-671.41		
 67.98   	-289.93		 27.79   	-676.50		
 66.82   	-300.10		 25.09   	-666.32		
 65.62   	-295.01		 22.42   	-651.07		
 64.44   	-269.58		 19.82   	-625.63		
 63.36   	-249.24		 17.31   	-590.03		
 62.36   	-223.80		 14.95   	-544.25		
 61.46   	-183.11		 12.78   	-503.56		
 60.73   	-147.51		 10.76   	-457.78		
 60.14   	-116.99		  8.93   	-401.83		
 59.67   	 -96.64		  7.32   	-340.79		
 59.29   	 -71.21		  5.96   	-295.01		
 59.00   	 -50.86		  4.78   	-233.98		
 58.80   	 -91.56		  3.85   	-157.68		
 58.43   	 -40.69		  3.21   	-106.82		
 58.27   	 -40.69		  2.79   	 -66.12		
 58.11   	 -50.86		  2.52   	 -30.52		
 57.90   	 -55.95		  2.40(D)	   0.00		
 57.68   	 -71.21		  2.40   	  20.35		
 57.40   	 -71.21		  2.48   	  40.69		
 57.11   	 -66.12		  2.64   	  50.86		
 56.85   	 -81.38		  2.85   	  55.95		
 56.52   	 -81.38		  3.07   	  55.95		
 56.20   	 -76.30		  3.30   	  55.95		
 55.89   	 -71.21		  3.52   	  55.95		
 55.61   	 -66.12		  3.74   	  45.78		
 55.34   	 -71.21		  3.93   	  40.69		
 55.06   	 -61.04		  4.09   	  30.52		
 54.81   	 -50.86		  4.21   	  30.52		
 54.61   	 -45.78		  4.33   	  20.35		
 54.43   	 -50.86		  4.42   	  20.35		
 54.22   	 -50.86		  4.50   	  15.26		
 54.02   	 -45.78		  4.56   	  10.17		
 53.83   	 -40.69		  4.60   	  10.17		
 53.67   	 -96.64		  4.64   	  15.26		
 53.29   	 -50.86		  4.70   	  10.17		
 53.08   	 -50.86		  4.74   	  10.17		
 52.88   	 -50.86		  4.78   	  10.17		
 52.68   	 -50.86		  4.82   	  15.26		
 52.47   	 -50.86		  4.88(E)	  15.26		
 52.27   	 -55.95		  4.94   	  15.26		
 52.04   	 -55.95		  5.01   	  20.35		
 51.82   	 -50.86		  5.09   	  25.43		
 51.62   	 -61.04		  5.19   	  30.52		
 51.37   	 -55.95		  5.31   	  35.61		
 51.15   	 -50.86		  5.45   	  45.78		
 50.95   	 -45.78		  5.64   	  55.95		
 50.76   	 -55.95		  5.86   	  66.12		
 50.54   	 -55.95		  6.12   	  81.38		
 50.32   	 -50.86		  6.45   	 106.82		
 50.11   	 -45.78		  6.88   	 137.33		
 49.93   	 -55.95		  7.43   	 167.85		
 49.70   	 -50.86		  8.10   	 218.72		
 49.50   	 -55.95		  8.97   	 254.32		
 49.28   	 -55.95		  9.99   	 310.27		
 49.05   	 -55.95		 11.23   	 356.05		
 48.83   	 -55.95		 12.66   	 401.83		
 48.61   	 -45.78		 14.26   	 447.61		
 48.42   	 -50.86		 16.05   	 488.30		
 48.22   	-106.82		 18.01   	 605.29		
 47.79   	 -45.78		 20.43   	 605.29		
 47.61   	 -45.78		 22.85   	 605.29		
 47.43   	 -35.61		 25.27   	 595.11		
 47.28   	 -40.69		 27.65   	 569.68		
 47.12   	 -30.52		 29.93   	 539.16		
 47.00   	 -20.35		 32.09   	 498.47		
 46.92(D)	   5.09		 34.08   	 457.78		
 46.94   	  35.61		 35.91   	 412.00		
 47.08   	  76.30		 37.56   	 361.14		
 47.39   	 137.33		 39.00   	 315.36		
 47.93   	 223.80		 40.26   	 274.67		
 48.83   	 310.27		 41.36   	 228.89		
 50.07   	 396.74		 42.28   	 193.29		
 51.66   	 483.21		 43.05   	 162.77		
 53.59   	 564.60		 43.70   	 142.42		
 55.85   	 625.63		 44.27   	 122.07		
 58.35   	 671.41		 44.76   	 116.99		
