SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  AO     	  AO'		  RV     	  RV'		
 17.09   	 50.35   	 54.20   	 106.82		 30.68   	 116.99		
  1.83   	-11.90   	 54.63   	  86.47		 31.15   	 101.73		
 -7.63   	-62.56   	 54.97   	  61.04		 31.56   	  96.64		
-14.04   	-104.98   	 55.22   	  45.78		 31.94   	  86.47		
-21.06   	-135.19   	 55.40   	  20.35		 32.29   	  81.38		
-22.89   	-159.00   	 55.48   	  10.17		 32.61   	  66.12		
-26.25   	-177.92   	 55.52(S)	 -15.26		 32.88   	  61.04		
-28.69   	-188.29   	 55.46   	 -30.52		 33.12   	  50.86		
-28.38   	-197.14   	 55.34   	 -40.69		 33.33   	  45.78		
-28.38   	-201.11   	 55.18   	 -61.04		 33.51   	  30.52		
-25.94   	-199.58   	 54.93   	 -66.12		 33.63   	  25.43		
-24.11   	-197.45   	 54.67   	 -76.30		 33.73   	  15.26		
-24.72   	-199.28   	 54.36   	 -81.38		 33.79(S)	   0.00		
-25.02   	-196.84   	 54.04   	 -86.47		 33.79   	  -5.09		
-25.33   	-193.79   	 53.69   	 -91.56		 33.77   	 -15.26		
-24.11   	-195.62   	 53.33   	 -91.56		 33.71   	 -30.52		
-25.33   	-194.40   	 52.96   	-101.73		 33.59   	 -45.78		
-25.33   	-196.84   	 52.55   	-101.73		 33.41   	 -61.04		
-25.33   	-202.03   	 52.15   	-116.99		 33.16   	 -76.30		
-28.38   	-202.94   	 51.68   	-142.42		 32.86   	 -91.56		
-26.55   	-205.38   	 51.11   	-157.68		 32.49   	-106.82		
-25.94   	-208.44   	 50.48   	-172.94		 32.06   	-122.07		
-24.11   	-206.30   	 49.79   	-198.37		 31.58   	-142.42		
-21.97   	-202.33   	 48.99   	-213.63		 31.01   	-162.77		
-20.75   	-203.86   	 48.14   	-208.54		 30.36   	-172.94		
-20.45   	-198.97   	 47.30   	-203.46		 29.66   	-193.29		
-19.53   	-191.35   	 46.49   	-183.11		 28.89   	-208.54		
-14.04   	-181.58   	 45.76   	-162.77		 28.06   	-218.72		
  2.14   	-155.03   	 45.11   	-137.33		 27.18   	-228.89		
 17.40   	-121.15   	 44.56   	-116.99		 26.27   	-239.06		
 32.65   	-92.77   	 44.09   	 -91.56		 25.31   	-244.15		
 45.47   	-91.55   	 43.72   	 -81.38		 24.33   	-254.32		
 52.19   	-108.03   	 43.40   	 -66.12		 23.32   	-259.41		
 70.19   	-90.94   	 43.13   	 -61.04		 22.28   	-259.41		
 88.20   	-79.96   	 42.89   	 -61.04		 21.24   	-259.41		
 97.96   	-69.58   	 42.64   	 -61.04		 20.20   	-259.41		
100.10   	-51.27   	 42.40   	 -66.12		 19.17   	-259.41		
 78.13   	-104.68   	 42.14   	 -66.12		 18.13   	-249.24		
 36.01   	-179.14   	 41.87   	 -66.12		 17.13   	-249.24		
  1.83   	-223.08   	 41.61   	 -71.21		 16.13   	-239.06		
-29.30   	-253.60   	 41.32   	 -66.12		 15.18   	-228.89		
-48.22   	-254.21   	 41.06   	 -71.21		 14.26   	-218.72		
-46.69   	-245.97   	 40.77   	 -61.04		 13.39   	-213.63		
-40.59   	-243.23   	 40.53   	 -66.12		 12.53   	-198.37		
-41.20   	-248.72   	 40.26   	 -61.04		 11.74   	-183.11		
-41.50   	-255.43   	 40.02   	 -61.04		 11.01   	-178.03		
-40.59   	-256.65   	 39.78   	 -50.86		 10.29   	-157.68		
-39.67   	-272.22   	 39.57   	 -50.86		  9.66   	-152.59		
-14.95   	-367.13   	 39.37   	 -50.86		  9.05   	-132.25		
