SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  FA     	  FA'		  LPA     	  LPA'		  RV     	  RV'		
 -8.54   	-213.62   	 63.40   	 -35.61		 41.67   	  96.64		  7.14   	  10.17		
 64.09   	-229.80   	 63.26   	 -96.64		 42.05   	 132.25		  7.18   	 111.90		
101.32   	-174.56   	 62.87   	-132.25		 42.58   	 122.07		  7.63   	 147.51		
123.60   	-69.58   	 62.34   	 -96.64		 43.07   	  71.21		  8.22   	 132.25		
138.85   	 26.55   	 61.95   	 -66.12		 43.36   	  55.95		  8.75   	 162.77		
144.35   	 65.31   	 61.69   	 -40.69		 43.58   	  91.56		  9.40   	 244.15		
140.69   	 46.08   	 61.53   	 -55.95		 43.95   	  81.38		 10.38   	 269.58		
135.19   	  6.71   	 61.30   	-116.99		 44.27   	  40.69		 11.45   	 218.72		
133.97   	-15.56   	 60.83   	-157.68		 44.44   	  20.35		 12.33   	 142.42		
137.94   	-10.68   	 60.20   	-147.51		 44.52   	   5.09		 12.90   	 127.16		
143.43   	  9.46   	 59.61   	-101.73		 44.54   	 -40.69		 13.41   	 249.24		
146.79   	 28.38   	 59.21   	 -25.43		 44.37   	-101.73		 14.40   	 406.92		
147.71   	 37.84   	 59.10   	  25.43		 43.97   	-101.73		 16.03   	 422.18		
147.40   	 39.67   	 59.21   	  15.26		 43.56   	 -91.56		 17.72   	 356.05		
148.01   	 38.45   	 59.27   	 -91.56		 43.19   	-147.51		 19.15   	 350.97		
149.84   	 37.54   	 58.90   	-183.11		 42.60   	-198.37		 20.55   	 447.61		
152.28   	 37.23   	 58.17   	-188.20		 41.81   	-162.77		 22.34   	 564.60		
153.81   	 36.62   	 57.42   	-101.73		 41.16   	 -55.95		 24.60   	 620.55		
153.50   	 36.32   	 57.01   	   5.09		 40.94   	 -30.52		 27.08   	 625.63		
151.67   	 38.76   	 57.03   	  76.30		 40.81   	 -81.38		 29.58   	 635.81		
149.54   	 42.42   	 57.33   	  30.52		 40.49   	 -35.61		 32.13   	 661.24		
148.32   	 44.56   	 57.46   	 -71.21		 40.35   	  71.21		 34.77   	 681.58		
148.32   	 43.95   	 57.17   	-152.59		 40.63   	 152.59		 37.50   	 681.58		
149.23   	 40.89   	 56.56   	-167.85		 41.24   	 183.11		 40.22   	 645.98		
150.76   	 36.62   	 55.89   	 -86.47		 41.97   	 157.68		 42.81   	 600.20		
152.89   	 35.40   	 55.54   	 -15.26		 42.60   	  71.21		 45.21   	 549.34		
155.33   	 38.15   	 55.48   	  35.61		 42.89   	 -25.43		 47.41   	 503.56		
158.69   	 42.11   	 55.63   	  45.78		 42.79   	-106.82		 49.42   	 417.09		
162.66   	 42.11   	 55.81   	 -20.35		 42.36   	-152.59		 51.09   	 315.36		
166.32   	 35.71   	 55.73   	 -71.21		 41.75   	-152.59		 52.35   	 249.24		
