SAMPLE NUMBER:   1
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  LFA     	  LFA'		  RV     	  RV'		
-53.71   	-66.83   	 55.61   	   0.00		  4.82   	  45.78		
-47.61   	-69.89   	 55.61   	  -5.09		  5.01   	  45.78		
-36.93   	-81.18   	 55.58   	 -25.43		  5.19   	  50.86		
 -3.36   	-103.76   	 55.48   	 -20.35		  5.39   	  50.86		
 68.66   	-129.70   	 55.40   	 -25.43		  5.60   	  55.95		
185.85   	-138.24   	 55.30   	 -50.86		  5.82   	  61.04		
339.97   	-93.38   	 55.10   	 -30.52		  6.06   	  66.12		
496.52   	 38.76   	 54.97   	 -20.35		  6.33   	  66.12		
596.31   	263.67   	 54.89   	 -15.26		  6.59   	  66.12		
569.46   	547.49   	 54.83   	 -10.17		  6.86   	  61.04		
360.11   	815.73   	 54.79   	 -30.52		  7.10   	  66.12		
-496.83   	914.00(R)	 54.67   	 -15.26		  7.37(E)	  66.12		
-887.45   	667.72   	 54.61   	 -30.52		  7.63   	  61.04		
-1059.88   	305.79   	 54.49   	 -45.78		  7.87   	  61.04		
-968.63   	-36.62   	 54.30   	 -35.61		  8.12   	  55.95		
-690.00   	-237.12   	 54.16   	   5.09		  8.34   	  50.86		
-372.31   	-258.48   	 54.18   	 -25.43		  8.55   	  45.78		
-140.99   	-158.08   	 54.08   	 -61.04		  8.73   	  40.69		
-36.32   	-30.52   	 53.83   	  15.26		  8.89   	  40.69		
-21.67   	 48.83   	 53.90   	   0.00		  9.05   	  35.61		
-34.48   	 57.68   	 53.90   	 -76.30		  9.20   	  35.61		
-33.87   	 21.97   	 53.59   	 -30.52		  9.34   	  35.61		
-14.04   	-13.73   	 53.47   	  25.43		  9.48   	  35.61		
  9.46   	-24.11   	 53.57   	 -50.86		  9.62   	  45.78		
 22.89   	-10.07   	 53.37   	 -30.52		  9.81   	  55.95		
 22.28   	 11.29   	 53.24   	  25.43		 10.03   	  50.86		
 11.90   	 25.02   	 53.35   	 -10.17		 10.23   	  55.95		
 -3.66   	 25.94   	 53.31   	 -40.69		 10.46   	  55.95		
-18.31   	 20.75   	 53.14   	 -35.61		 10.68   	  61.04		
-26.55   	 18.92   	 53.00   	 -45.78		 10.93   	  76.30		
-24.11   	 25.33   	 52.82   	 -30.52		 11.23   	 101.73		
-11.29   	 37.23   	 52.70   	 -10.17		 11.64   	 127.16		
  6.71   	 49.13   	 52.65   	 -61.04		 12.15   	 157.68		
 24.41   	 59.81   	 52.41   	 -35.61		 12.78   	 193.29		
 36.62   	 69.58   	 52.27   	  10.17		 13.55   	 218.72		
 44.56   	 79.96   	 52.31   	 -30.52		 14.43   	 315.36		
 67.44   	103.45   	 52.19   	  25.43		 15.69   	 345.88		
 84.23   	115.05   	 52.29   	 -20.35		 17.07   	 371.31		
 96.13   	125.43   	 52.21   	 -35.61		 18.56   	 396.74		
 95.21   	134.28   	 52.06   	 -30.52		 20.14   	 417.09		
 80.26   	142.52   	 51.94   	 -35.61		 21.81   	 442.52		
 57.68   	152.28   	 51.80   	 -25.43		 23.58   	 452.69		
 37.23   	164.18   	 51.70   	 -45.78		 25.39   	 457.78		
 23.19   	178.53   	 51.52   	 -76.30		 27.22   	 473.04		
 16.48   	193.48   	 51.21   	 -20.35		 29.11   	 467.95		
 17.09   	207.82   	 51.13   	  20.35		 30.99   	 467.95		
 27.77   	221.56   	 51.21   	 -20.35		 32.86   	 462.87		
 48.83   	234.68   	 51.13   	  -5.09		 34.71   	 457.78		
 78.74   	248.11   	 51.11   	  -5.09		 36.54   	 442.52		
113.22   	262.15   	 51.09   	 -45.78		 38.31   	 427.26		
148.32   	275.88   	 50.91   	 -10.17		 40.02   	 412.00		
181.58   	289.00   	 50.86   	   5.09		 41.67   	 391.66		
211.18   	301.51   	 50.88   	 -30.52		 43.23   	 366.22		
232.85   	313.42   	 50.76(D)	   5.09		 44.70   	 340.79		
242.00   	325.62   	 50.78   	  10.17		 46.06   	 315.36		
238.34   	338.13   	 50.82   	  10.17		 47.32   	 295.01		
226.75   	350.34   	 50.86   	  15.26		 48.50   	 264.50		
214.23   	362.85   	 50.93   	   0.00		 49.56   	 244.15		
206.30   	375.67   	 50.93   	  20.35		 50.54   	 223.80		
203.55   	389.71   	 51.01   	  45.78		 51.43   	 193.29		
203.25   	404.36   	 51.19   	 244.15		 52.21   	 178.03		
201.11   	432.43   	 52.17   	 223.80		 52.92   	 152.59		
205.08   	444.03   	 53.06   	 325.53		 53.53   	 137.33		
218.51   	453.49   	 54.36   	 483.21		 54.08   	 116.99		
242.00   	462.34   	 56.30   	 651.07		 54.55   	 101.73		
269.47   	470.58   	 58.90   	 762.97		 54.95   	  86.47		
292.05   	478.52   	 61.95   	 885.04		 55.30   	  71.21		
303.65   	484.92   	 65.49   	 925.73		 55.58   	  66.12		
303.65   	488.89   	 69.20   	 900.30		 55.85   	  55.95		
295.10   	487.98   	 72.80   	 813.83		 56.07   	  45.78		
279.24   	480.04   	 76.05   	 620.55		 56.26   	  40.69		
255.43   	464.78   	 78.53   	 376.40		 56.42   	  35.61		
220.64   	441.89   	 80.04   	 142.42		 56.56   	  30.52		
175.78   	412.29   	 80.61(S)	 -76.30		 56.68   	  35.61		
127.26   	376.59   	 80.30   	-249.24		 56.83   	  30.52		
 83.92   	335.08   	 79.31   	-284.84		 56.95   	  25.43		
 51.88   	288.70   	 78.17   	-239.06		 57.05   	  30.52		
 30.21   	238.95   	 77.21   	-183.11		 57.17   	  25.43		
 11.90   	189.21   	 76.48   	-106.82		 57.27   	  30.52		
 -9.16   	143.13   	 76.05   	 -15.26		 57.40   	  30.52		
-31.74   	103.45   	 75.99   	  86.47		 57.52   	  25.43		
-48.52   	 70.80   	 76.34   	 132.25		 57.62   	  35.61		
-52.80   	 44.56   	 76.87   	 116.99		 57.76   	  30.52		
-44.86   	 22.58   	 77.33   	  96.64		 57.88   	  30.52		
-32.04   	  3.36   	 77.72   	  55.95		 58.01   	  35.61		
-25.02   	-13.12   	 77.94   	  20.35		 58.15   	  35.61		
-43.03   	-35.71   	 78.03   	 -66.12		 58.29   	  35.61		
-57.37   	-42.11   	 77.76   	 -91.56		 58.43   	  30.52		
-64.70   	-46.08   	 77.40   	 -30.52		 58.56   	  30.52		
-61.95   	-48.83   	 77.27   	 -15.26		 58.68   	  25.43		
-52.49   	-50.35   	 77.21   	 -20.35		 58.78   	  20.35		
-42.42   	-51.27   	 77.13   	  10.17		 58.86   	   5.09		
-36.32   	-52.19   	 77.17   	  10.17		 58.88(S)	  -5.09		
-32.65   	-53.10   	 77.21   	  -5.09		 58.86   	 -25.43		
-27.77   	-53.10   	 77.19   	   0.00		 58.76   	 -45.78		
-20.45   	-51.27   	 77.19   	  -5.09		 58.58   	 -66.12		
-14.04   	-46.69   	 77.17   	 -30.52		 58.31   	 -96.64		
-12.82   	-40.28   	 77.05   	 -50.86		 57.92   	-127.16		
-19.53   	-34.48   	 76.85   	 -66.12		 57.42   	-157.68		
-30.52   	-30.52   	 76.58   	 -76.30		 56.79   	-193.29		
-40.89   	-28.38   	 76.28   	-106.82		 56.01   	-223.80		
-49.44   	-25.94   	 75.85   	-137.33		 55.12   	-264.50		
-59.51   	-21.97   	 75.30   	-147.51		 54.06   	-300.10		
-74.46   	-15.56   	 74.71   	-157.68		 52.86   	-335.71		
-90.64   	 -9.46   	 74.08   	-147.51		 51.52   	-376.40		
-100.10   	 -5.49   	 73.49   	-147.51		 50.01   	-401.83		
-97.35   	 -5.49   	 72.90   	-152.59		 48.40   	-427.26		
-84.23   	 -7.63   	 72.29   	-132.25		 46.69   	-457.78		
-69.27   	 -8.54   	 71.76   	-142.42		 44.86   	-473.04		
-56.76   	 -2.75   	 71.19   	-167.85		 42.97   	-488.30		
-45.78   	 11.29   	 70.52   	-396.74		 41.02   	-574.77		
-19.84   	 56.46   	 68.93   	-228.89		 38.72   	-569.68		
-14.65   	 77.21   	 68.02   	-228.89		 36.44   	-564.60		
-20.75   	 91.86   	 67.10   	-228.89		 34.18   	-559.51		
-35.71   	102.23   	 66.18   	-223.80		 31.94   	-544.25		
-51.88   	112.61   	 65.29   	-188.20		 29.77   	-534.08		
-61.95   	127.56   	 64.54   	-193.29		 27.63   	-513.73		
-64.70   	148.32   	 63.76   	-213.63		 25.57   	-493.39		
-62.87   	171.51   	 62.91   	-157.68		 23.60   	-473.04		
-59.20   	190.12   	 62.28   	-106.82		 21.71   	-457.78		
-54.93   	196.53   	 61.85   	-101.73		 19.88   	-427.26		
-52.19   	187.99   	 61.44   	 -96.64		 18.17   	-401.83		
-50.35   	166.63   	 61.06   	 -76.30		 16.56   	-376.40		
-48.83   	140.08   	 60.75   	 -55.95		 15.06   	-350.97		
-46.69   	114.44   	 60.53   	 -76.30		 13.65   	-325.53		
-43.03   	 89.42   	 60.22   	 -86.47		 12.35   	-300.10		
-38.45   	 59.20   	 59.88   	 -61.04		 11.15   	-274.67		
-34.79   	 19.84   	 59.63   	 -76.30		 10.05   	-244.15		
-33.26   	-24.41   	 59.33   	-111.90		  9.07   	-223.80		
-35.10   	-61.95   	 58.88   	-111.90		  8.18   	-198.37		
-40.28   	-80.87   	 58.43   	 -86.47		  7.39   	-178.03		
-48.22   	-79.04   	 58.09   	 -76.30		  6.67   	-152.59		
-58.29   	-64.70   	 57.78   	 -81.38		  6.06   	-127.16		
-71.11   	-50.96   	 57.46   	 -71.21		  5.55   	-101.73		
-87.28   	-46.08   	 57.17   	 -61.04		  5.15   	 -81.38		
-103.76   	-49.13   	 56.93   	 -45.78		  4.82   	 -61.04		
-114.75   	-53.71   	 56.74   	 -40.69		  4.58   	 -40.69		
-113.53   	-55.24   	 56.58   	 -50.86		  4.42   	 -20.35		
-99.49   	-52.49   	 56.38   	 -45.78		  4.33   	  -5.09		
-78.74   	-47.30   	 56.20   	 -15.26		  4.31(D)	   5.09		
-60.73   	-42.11   	 56.13   	 -30.52		  4.33   	  20.35		
-50.96   	-37.84   	 56.01   	 -40.69		  4.42   	  30.52		
-48.83   	-34.18   	 55.85   	   0.00		  4.54   	  40.69		
-48.52   	-30.82   	 55.85   	 -15.26		  4.70   	  45.78		
-46.39   	-27.77   	 55.79   	 -15.26		  4.88   	  50.86		
-39.98   	-28.08   	 55.73   	  20.35		  5.09   	  50.86		
-23.80   	-37.54   	 55.81   	 -15.26		  5.29   	  50.86		
 11.60   	-57.07   	 55.75   	 -40.69		  5.49   	  50.86		
 79.65   	-74.77   	 55.58   	 -15.26		  5.70   	  61.04		
191.35   	-62.26   	 55.52   	   0.00		  5.94   	  66.12		
340.27   	 17.40   	 55.52   	 -15.26		  6.21   	  66.12		
484.01   	188.60   	 55.46   	 -45.78		  6.47   	  71.21		
553.28   	440.06   	 55.28   	 -35.61		  6.75   	  66.12		
473.63   	722.66   	 55.14   	 -25.43		  7.02   	  61.04		
201.72   	947.88(R)	 55.04   	 -50.86		  7.26(E)	  61.04		
-664.37   	882.87   	 54.83   	  -5.09		  7.51   	  55.95		
-969.24   	576.48   	 54.81   	 -30.52		  7.73   	  55.95		
-1029.36   	205.99   	 54.69   	 -45.78		  7.96   	  61.04		
-851.44   	-89.72   	 54.51   	 -30.52		  8.20   	  55.95		
-549.62   	-215.45   	 54.38   	 -20.35		  8.42   	  50.86		
-266.72   	-174.56   	 54.30   	   0.00		  8.63   	  45.78		
-91.55   	-48.22   	 54.30   	 -10.17		  8.81   	  40.69		
-29.91   	 69.89   	 54.26   	 -45.78		  8.97   	  35.61		
-34.79   	122.99   	 54.08   	 -35.61		  9.11   	  30.52		
-53.71   	110.47   	 53.94   	   0.00		  9.24   	  30.52		
-58.90   	 70.80   	 53.94   	  -5.09		  9.36   	  30.52		
-48.83   	 43.33   	 53.92   	 -20.35		  9.48   	  40.69		
-32.35   	 42.11   	 53.83   	 -25.43		  9.64   	  50.86		
-17.09   	 58.90   	 53.73   	 -55.95		  9.85   	  50.86		
 -6.10   	 76.29   	 53.51   	 -40.69		 10.05   	  55.95		
  3.05   	 84.53   	 53.35   	  10.17		 10.27   	  50.86		
 13.12   	 83.62   	 53.39   	  -5.09		 10.48   	  50.86		
 25.02   	 82.40   	 53.37   	 -45.78		 10.68   	  71.21		
 35.71   	 87.89   	 53.18   	 -15.26		 10.97   	  86.47		
 40.59   	101.32   	 53.12   	  20.35		 11.31   	 111.90		
 39.37   	117.19   	 53.20   	 -25.43		 11.76   	 137.33		
 33.87   	129.70   	 53.10   	 -61.04		 12.31   	 167.85		
 27.16   	137.63   	 52.86   	 -40.69		 12.98   	 198.37		
 18.92   	142.21   	 52.70   	 -25.43		 13.77   	 228.89		
  8.85   	146.18   	 52.59   	 -76.30		 14.69   	 330.62		
 -9.46   	156.86   	 52.29   	 -30.52		 16.01   	 361.14		
 -9.77   	163.27   	 52.17   	   5.09		 17.46   	 391.66		
 -2.14   	168.46   	 52.19   	 -15.26		 19.02   	 412.00		
 14.04   	171.81   	 52.13   	 -45.78		 20.67   	 437.43		
 36.93   	175.17   	 51.94   	 -15.26		 22.42   	 452.69		
 61.04   	179.75   	 51.88   	  -5.09		 24.23   	 462.87		
 79.65   	185.85   	 51.86   	 -10.17		 26.08   	 467.95		
 89.72   	193.79   	 51.82   	 -20.35		 27.96   	 473.04		
 91.86   	202.94   	 51.74   	 -25.43		 29.85   	 473.04		
 92.47   	213.32   	 51.64   	 -10.17		 31.74   	 473.04		
 97.05   	225.22   	 51.60   	 -20.35		 33.63   	 467.95		
106.20   	238.95   	 51.52   	 -30.52		 35.50   	 457.78		
117.19   	254.21   	 51.39   	 -20.35		 37.33   	 442.52		
125.43   	270.08   	 51.31   	 -35.61		 39.10   	 427.26		
128.78   	284.73   	 51.17   	 -35.61		 40.81   	 401.83		
127.87   	296.94   	 51.03   	 -10.17		 42.42   	 386.57		
124.82   	307.01   	 50.99   	 -10.17		 43.97   	 356.05		
120.85   	316.47   	 50.95(D)	   5.09		 45.39   	 335.71		
116.27   	326.84   	 50.97   	  20.35		 46.73   	 310.27		
113.22   	339.66   	 51.05   	  20.35		 47.98   	 284.84		
113.22   	354.31   	 51.13   	   5.09		 49.11   	 259.41		
117.80   	369.57   	 51.15   	  10.17		 50.15   	 239.06		
126.95   	383.30   	 51.19   	  50.86		 51.11   	 213.63		
139.77   	394.90   	 51.39   	  91.56		 51.96   	 188.20		
155.94   	404.36   	 51.76   	 356.05		 52.72   	 167.85		
203.25   	423.89   	 53.18   	 284.84		 53.39   	 152.59		
234.68   	435.79   	 54.32   	 401.83		 54.00   	 127.16		
264.89   	448.00   	 55.93   	 579.86		 54.51   	 111.90		
288.09   	457.76   	 58.25   	 732.45		 54.95   	  96.64		
301.51   	463.56   	 61.18   	 829.09		 55.34   	  86.47		
303.65   	465.70   	 64.50   	 910.47		 55.69   	  76.30		
294.80   	466.00   	 68.14   	 920.65		 55.99   	  61.04		
272.52   	465.70   	 71.82   	 864.70		 56.24   	  55.95		
238.34   	464.17   	 75.28   	 722.28		 56.46   	  45.78		
197.45   	458.37   	 78.17   	 473.04		 56.64   	  40.69		
159.91   	444.03   	 80.06   	 183.11		 56.81   	  35.61		
131.23   	418.40   	 80.79(S)	 -20.35		 56.95   	  35.61		
110.78   	382.39   	 80.71   	-147.51		 57.09   	  30.52		
 93.99   	339.36   	 80.12   	-269.58		 57.21   	  30.52		
 78.13   	293.58   	 79.04   	-264.50		 57.33   	  30.52		
 63.78   	247.50   	 77.99   	-203.46		 57.46   	  30.52		
 53.41   	202.94   	 77.17   	-132.25		 57.58   	  30.52		
 47.00   	159.30   	 76.64   	 -20.35		 57.70   	  30.52		
 41.50   	117.19   	 76.56   	  61.04		 57.82   	  30.52		
 32.04   	 77.82   	 76.81   	  81.38		 57.94   	  30.52		
 16.48   	 43.03   	 77.13   	 127.16		 58.07   	  35.61		
 -4.88   	 14.04   	 77.64   	 127.16		 58.21   	  35.61		
-28.69   	 -8.24   	 78.15   	  66.12		 58.35   	  30.52		
-49.13   	-24.72   	 78.41   	  35.61		 58.47   	  35.61		
-61.65   	-38.45   	 78.56   	 -35.61		 58.62   	  40.69		
-61.65   	-64.09   	 78.41   	 -30.52		 58.78   	  35.61		
-58.90   	-75.07   	 78.29   	 -40.69		 58.92   	  35.61		
-59.81   	-82.70   	 78.13   	 -10.17		 59.06   	  30.52		
-63.48   	-84.84   	 78.09   	  20.35		 59.19   	  20.35		
-66.83   	-82.70   	 78.17   	 -15.26		 59.27   	  15.26		
-67.44   	-78.74   	 78.11   	 -20.35		 59.33   	   5.09		
-61.04   	-75.07   	 78.03   	   5.09		 59.35(S)	 -10.17		
-45.78   	-72.94   	 78.05   	  -5.09		 59.31   	 -30.52		
-24.41   	-70.80   	 78.03   	 -35.61		 59.19   	 -50.86		
 -2.44   	-67.14   	 77.88   	 -40.69		 58.98   	 -76.30		
 13.43   	-61.65   	 77.72   	 -35.61		 58.68   	-101.73		
 18.92   	-55.54   	 77.58   	 -71.21		 58.27   	-137.33		
 14.65   	-50.66   	 77.29   	 -86.47		 57.72   	-172.94		
  4.58   	-48.52   	 76.95   	 -86.47		 57.03   	-203.46		
 -6.71   	-48.52   	 76.60   	-106.82		 56.22   	-239.06		
-17.09   	-49.44   	 76.17   	-116.99		 55.26   	-279.75		
-26.86   	-50.05   	 75.71   	-127.16		 54.14   	-320.45		
-37.23   	-49.74   	 75.20   	-132.25		 52.86   	-350.97		
-48.22   	-48.52   	 74.67   	-132.25		 51.45   	-386.57		
-57.07   	-46.39   	 74.14   	-147.51		 49.91   	-417.09		
-59.20   	-43.03   	 73.55   	-167.85		 48.24   	-437.43		
-53.41   	-38.15   	 72.88   	-188.20		 46.49   	-462.87		
-43.95   	-31.74   	 72.13   	-178.03		 44.64   	-483.21		
-37.23   	-22.89   	 71.41   	-172.94		 42.71   	-498.47		
-35.10   	-10.99   	 70.72   	-442.52		 40.71   	-579.86		
-31.43   	 18.31   	 68.95   	-198.37		 38.39   	-574.77		
-27.16   	 31.74   	 68.16   	-218.72		 36.09   	-564.60		
-25.94   	 43.64   	 67.28   	-228.89		 33.84   	-559.51		
-28.08   	 56.15   	 66.37   	-183.11		 31.60   	-539.16		
-28.99   	 72.02   	 65.64   	-178.03		 29.44   	-528.99		
-24.11   	 93.38   	 64.92   	-203.46		 27.32   	-508.65		
-17.40   	119.02   	 64.11   	-198.37		 25.29   	-488.30		
-18.01   	143.43   	 63.32   	-147.51		 23.34   	-462.87		
-32.04   	159.00   	 62.73   	-137.33		 21.49   	-442.52		
-54.63   	161.13   	 62.18   	-137.33		 19.72   	-417.09		
-75.07   	148.93   	 61.63   	-116.99		 18.05   	-386.57		
-85.75   	127.26   	 61.16   	 -86.47		 16.50   	-366.22		
-87.59   	101.62   	 60.81   	 -76.30		 15.04   	-340.79		
-85.45   	 74.77   	 60.51   	 -55.95		 13.67   	-315.36		
-82.70   	 42.72   	 60.28   	 -55.95		 12.41   	-289.93		
-77.51   	  0.61   	 60.06   	 -71.21		 11.25   	-264.50		
-68.97   	-49.44   	 59.78   	 -76.30		 10.19   	-239.06		
-59.20   	-97.66   	 59.47   	 -76.30		  9.24   	-213.63		
-52.49   	-130.31   	 59.17   	 -86.47		  8.38   	-193.29		
-49.74   	-139.47   	 58.82   	 -61.04		  7.61   	-167.85		
-50.05   	-130.00   	 58.58   	 -50.86		  6.94   	-137.33		
-52.80   	-114.75   	 58.37   	 -91.56		  6.39   	-116.99		
-60.12   	-106.20   	 58.01   	 -91.56		  5.92   	 -91.56		
-73.24   	-107.12   	 57.64   	 -71.21		  5.55   	 -66.12		
-88.50   	-114.44   	 57.35   	 -71.21		  5.29   	 -50.86		
-99.18   	-121.15   	 57.07   	 -71.21		  5.09   	 -25.43		
-97.96   	-125.12   	 56.79   	 -25.43		  4.98   	 -10.17		
-86.06   	-126.04   	 56.68   	 -10.17		  4.94(D)	   0.00		
-72.33   	-124.21   	 56.64   	 -30.52		  4.94   	  15.26		
-65.92   	-119.63   	 56.52   	 -30.52		  5.01   	  15.26		
-67.44   	-112.00   	 56.40   	 -30.52		  5.07   	  25.43		
-73.24   	-102.84   	 56.28   	 -10.17		  5.17   	  30.52		
-75.99   	-93.99   	 56.24   	  10.17		  5.29   	  40.69		
-70.50   	-90.03   	 56.28   	  10.17		  5.45   	  50.86		
-50.35   	-96.74   	 56.32   	 -10.17		  5.66   	  61.04		
 -7.02   	-117.19   	 56.28   	 -50.86		  5.90   	  66.12		
 69.58   	-143.13   	 56.07   	 -40.69		  6.16   	  71.21		
184.63   	-149.84   	 55.91   	  10.17		  6.45   	  76.30		
332.34   	-100.10   	 55.95   	   0.00		  6.75   	  66.12		
481.57   	 38.76   	 55.95   	 -30.52		  7.02   	  66.12		
571.90   	268.55   	 55.83   	 -15.26		  7.28   	  71.21		
532.23   	552.06   	 55.77   	 -15.26		  7.57   	  66.12		
305.79   	811.46   	 55.71   	 -40.69		  7.83   	  76.30		
-560.30   	877.99(R)	 55.54   	 -20.35		  8.14(E)	  76.30		
-928.04   	621.03   	 55.46   	 -25.43		  8.44   	  66.12		
-1062.93   	257.57   	 55.36   	 -40.69		  8.71   	  61.04		
-933.23   	-76.60   	 55.20   	 -10.17		  8.95   	  55.95		
-630.80   	-264.59   	 55.16   	 -15.26		  9.18   	  45.78		
-309.75   	-275.57   	 55.10   	 -45.78		  9.36   	  45.78		
-91.86   	-171.51   	 54.91   	  -5.09		  9.54   	  40.69		
 -9.77   	-47.61   	 54.89   	   5.09		  9.70   	  40.69		
-19.53   	 24.41   	 54.91   	 -40.69		  9.87   	  30.52		
-52.19   	 25.63   	 54.75   	 -50.86		  9.99   	  25.43		
-60.73   	-13.43   	 54.55   	  -5.09		 10.09   	  30.52		
-39.06   	-49.13   	 54.53   	 -15.26		 10.21   	  25.43		
 -6.10   	-57.98   	 54.47   	 -30.52		 10.32   	  35.61		
 18.62   	-43.64   	 54.34   	   0.00		 10.46   	  40.69		
 28.08   	-22.89   	 54.34   	 -30.52		 10.62   	  45.78		
 25.02   	 -8.85   	 54.22   	 -61.04		 10.80   	  40.69		
 18.01   	 -4.88   	 53.98   	 -20.35		 10.97   	  40.69		
 13.12   	 -4.88   	 53.90   	  -5.09		 11.13   	  55.95		
 13.12   	 -1.53   	 53.88   	 -20.35		 11.35   	  71.21		
 16.48   	  7.93   	 53.79   	 -10.17		 11.64   	  96.64		
 18.01   	 18.92   	 53.75   	 -30.52		 12.02   	 137.33		
 14.34   	 27.77   	 53.63   	 -61.04		 12.57   	 172.94		
  5.80   	 33.26   	 53.39   	 -15.26		 13.27   	 198.37		
 -1.22   	 37.54   	 53.33   	 -25.43		 14.06   	 223.80		
 -0.31   	 42.42   	 53.22   	 -61.04		 14.95   	 310.27		
 27.16   	 54.93   	 52.98   	   5.09		 16.20   	 340.79		
 39.37   	 61.95   	 53.00   	 -10.17		 17.56   	 376.40		
 43.64   	 68.66   	 52.96   	   0.00		 19.06   	 406.92		
 42.42   	 75.07   	 52.96   	  -5.09		 20.69   	 432.35		
 38.15   	 82.40   	 52.94   	 -35.61		 22.42   	 452.69		
 31.74   	 91.55   	 52.80   	 -40.69		 24.23   	 462.87		
 21.67   	102.23   	 52.63   	 -30.52		 26.08   	 467.95		
 10.99   	114.14   	 52.51   	 -40.69		 27.96   	 473.04		
  7.02   	125.73   	 52.35   	 -30.52		 29.85   	 478.13		
 18.31   	137.02   	 52.23   	 -15.26		 31.76   	 473.04		
 45.17   	148.01   	 52.17   	 -40.69		 33.65   	 473.04		
 79.96   	159.00   	 52.00   	 -45.78		 35.54   	 462.87		
112.92   	170.90   	 51.82   	 -15.26		 37.40   	 447.61		
137.94   	183.11   	 51.76   	 -20.35		 39.19   	 432.35		
155.94   	194.70   	 51.68   	 -20.35		 40.92   	 412.00		
169.68   	205.38   	 51.60   	 -15.26		 42.56   	 391.66		
179.14   	215.45   	 51.54   	 -25.43		 44.13   	 371.31		
182.19   	226.14   	 51.43(D)	  30.52		 45.62   	 345.88		
178.53   	237.73   	 51.56   	  30.52		 47.00   	 320.45		
170.29   	250.24   	 51.68   	 -25.43		 48.28   	 295.01		
162.05   	261.84   	 51.58   	   5.09		 49.46   	 274.67		
158.69   	272.22   	 51.60   	  50.86		 50.56   	 244.15		
161.13   	281.68   	 51.80   	  35.61		 51.54   	 223.80		
165.71   	292.36   	 51.94   	  66.12		 52.43   	 198.37		
168.76   	304.87   	 52.21   	 320.45		 53.22   	 183.11		
174.56   	331.42   	 53.49   	 284.84		 53.96   	 162.77		
187.07   	341.80   	 54.63   	 462.87		 54.61   	 137.33		
210.27   	350.04   	 56.48   	 600.20		 55.16   	 116.99		
238.04   	358.28   	 58.88   	 727.36		 55.63   	 101.73		
260.62   	368.04   	 61.79   	 874.87		 56.03   	  91.56		
269.78   	379.03   	 65.29   	 956.25		 56.40   	  71.21		
264.59   	388.79   	 69.11   	 951.17		 56.68   	  66.12		
248.41   	393.68   	 72.92   	 885.04		 56.95   	  55.95		
227.36   	391.54   	 76.46   	 732.45		 57.17   	  45.78		
204.77   	381.77   	 79.39   	 467.95		 57.35   	  40.69		
180.97   	364.69   	 81.26   	 193.29		 57.52   	  35.61		
155.03   	341.19   	 82.03(S)	 -15.26		 57.66   	  35.61		
126.34   	310.97   	 81.97   	-162.77		 57.80   	  30.52		
 93.69   	274.66   	 81.32   	-244.15		 57.92   	  25.43		
 56.46   	232.24   	 80.35   	-289.93		 58.03   	  30.52		
 18.31   	184.94   	 79.19   	-249.24		 58.15   	  20.35		
-14.95   	134.89   	 78.19   	-132.25		 58.23   	  25.43		
-38.15   	 84.84   	 77.66   	 -15.26		 58.33   	  25.43		
-50.96   	 38.15   	 77.60   	  50.86		 58.43   	  25.43		
-58.29   	 -2.75   	 77.80   	  86.47		 58.53   	  25.43		
-64.70   	-36.01   	 78.15   	 127.16		 58.64   	  25.43		
-70.80   	-62.87   	 78.66   	 111.90		 58.74   	  30.52		
-72.63   	-84.53   	 79.10   	  55.95		 58.86   	  30.52		
-68.97   	-102.54   	 79.33   	  40.69		 58.98   	  25.43		
-62.87   	-116.88   	 79.49   	 -35.61		 59.08   	  35.61		
-60.73   	-136.11   	 79.35   	 -35.61		 59.23   	  35.61		
-63.78   	-142.52   	 79.21   	   5.09		 59.37   	  35.61		
-63.17   	-147.71   	 79.23   	 -20.35		 59.51   	  25.43		
-58.90   	-151.67   	 79.15   	 -45.78		 59.61   	  25.43		
-56.15   	-154.11   	 78.96   	  15.26		 59.71   	  15.26		
-58.90   	-154.72   	 79.02   	  30.52		 59.78(S)	   0.00		
-67.75   	-154.42   	 79.15   	  30.52		 59.78   	 -15.26		
-77.21   	-153.50   	 79.27   	 172.94		 59.71   	 -30.52		
-82.09   	-151.98   	 79.96   	 188.20		 59.59   	 -50.86		
-81.18   	-149.84   	 80.71   	 -86.47		 59.39   	 -76.30		
-77.82   	-147.09   	 80.37   	-284.84		 59.08   	-106.82		
-73.55   	-144.65   	 79.23   	-305.19		 58.66   	-137.33		
-66.53   	-143.43   	 78.01   	-300.10		 58.11   	-172.94		
-53.71   	-142.21   	 76.81   	-183.11		 57.42   	-208.54		
-36.62   	-139.77   	 76.07   	 -40.69		 56.58   	-244.15		
-23.50   	-135.50   	 75.91   	 -40.69		 55.61   	-279.75		
-22.28   	-130.00   	 75.75   	 -81.38		 54.49   	-325.53		
-33.26   	-124.82   	 75.42   	 -61.04		 53.18   	-356.05		
-47.00   	-121.77   	 75.18   	 -40.69		 51.76   	-386.57		
-52.80   	-120.85   	 75.01   	 -91.56		 50.21   	-422.18		
-47.00   	-121.46   	 74.65   	-122.07		 48.52   	-447.61		
