SAMPLE NUMBER:   21
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  RFA     	  RFA'		
-52.80   	 21.06   	 35.73   	 -30.52		 91.37   	 -81.38		
-57.07   	  1.53   	 35.61   	 -35.61		 91.05   	 -71.21		
-59.81   	-13.12   	 35.46   	 -35.61		 90.76   	 -61.04		
-61.34   	-23.80   	 35.32   	 -40.69		 90.52   	 -40.69		
-61.95   	-31.74   	 35.16   	 -40.69		 90.36   	 -30.52		
-62.26   	-37.23   	 34.99   	 -50.86		 90.23   	 -10.17		
-62.26   	-41.50   	 34.79   	 -50.86		 90.19   	  -5.09		
-61.95   	-44.56   	 34.59   	 -55.95		 90.17   	  10.17		
-61.65   	-47.30   	 34.36   	 -61.04		 90.21   	  10.17		
-61.04   	-49.74   	 34.12   	 -55.95		 90.25   	  15.26		
-60.42   	-51.57   	 33.90   	 -66.12		 90.32   	  15.26		
-59.51   	-52.19   	 33.63   	 -71.21		 90.38   	  10.17		
-58.90   	-52.49   	 33.35   	 -76.30		 90.42   	   0.00		
-57.98   	-52.49   	 33.04   	 -76.30		 90.42   	 -10.17		
-57.07   	-52.80   	 32.74   	 -86.47		 90.38   	 -20.35		
-56.15   	-53.71   	 32.39   	 -91.56		 90.29   	 -40.69		
-54.63   	-55.54   	 32.02   	-101.73		 90.13   	 -50.86		
-53.41   	-57.07   	 31.62   	-122.07		 89.93   	 -71.21		
-52.49   	-58.90   	 31.13   	-137.33		 89.64   	 -86.47		
-51.88   	-60.12   	 30.58   	-157.68		 89.30   	-106.82		
-51.88   	-61.34   	 29.95   	-178.03		 88.87   	-122.07		
-51.88   	-61.65   	 29.24   	-198.37		 88.38   	-142.42		
-51.57   	-61.65   	 28.44   	-218.72		 87.81   	-157.68		
-51.57   	-61.95   	 27.57   	-233.98		 87.18   	-183.11		
