SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  AO     	  AO'		  RV     	  RV'		
 67.59   	-228.89		 32.90   	-254.32		
 66.67   	-249.24		 31.88   	-249.24		
 65.68   	-274.67		 30.88   	-264.50		
 64.58   	-289.93		 29.83   	-295.01		
 63.42   	-284.84		 28.65   	-345.88		
 62.28   	-264.50		 27.26   	-396.74		
 61.22   	-233.98		 25.68   	-462.87		
 60.28   	-193.29		 23.82   	-569.68		
 59.51   	-157.68		 21.55   	-691.76		
 58.88   	-132.25		 18.78   	-762.97		
 58.35   	-111.90		 15.73   	-747.71		
 57.90   	 -91.56		 12.74   	-676.50		
 57.54   	 -71.21		 10.03   	-625.63		
 57.25   	 -55.95		  7.53   	-595.11		
 57.03   	 -40.69		  5.15   	-554.42		
 56.87   	 -25.43		  2.93   	-483.21		
 56.76   	 -20.35		  1.00   	-376.40		
 56.68   	 -25.43		 -0.51   	-259.41		
 56.58   	 -15.26		 -1.55   	-167.85		
 56.52   	 -20.35		 -2.22   	-101.73		
 56.44   	 -10.17		 -2.62   	 -45.78		
 56.40   	  -5.09		 -2.81(D)	  15.26		
 56.38   	   0.00		 -2.75   	  76.30		
 56.38   	   0.00		 -2.44   	 137.33		
 56.38   	   0.00		 -1.89   	 213.63		
 56.38   	  -5.09		 -1.04   	 269.58		
 56.36   	   0.00		  0.04   	 310.27		
 56.36   	  -5.09		  1.28   	 371.31		
 56.34   	   0.00		  2.77   	 452.69		
 56.34   	   5.09		  4.58   	 478.13		
 56.36   	   0.00		  6.49   	 417.09		
 56.36   	  -5.09		  8.16   	 310.27		
 56.34   	 -10.17		  9.40   	 269.58		
 56.30   	 -10.17		 10.48   	 320.45		
 56.26   	   0.00		 11.76   	 340.79		
 56.26   	   5.09		 13.12   	 183.11		
 56.28   	   0.00		 13.86   	-142.42		
 56.28   	 -10.17		 13.29   	-503.56		
 56.24   	 -20.35		 11.27   	-722.28		
 56.15   	 -35.61		  8.38   	-691.76		
 56.01   	 -50.86		  5.62   	-523.90		
 55.81   	 -45.78		  3.52   	-356.05		
 55.63   	 -30.52		  2.10   	-213.63		
 55.50   	 -25.43		  1.24   	 -71.21		
 55.40   	 -25.43		  0.96   	 127.16		
 55.30   	 -30.52		  1.46   	 340.79		
 55.18   	 -30.52		  2.83   	 508.65		
 55.06   	 -35.61		  4.86   	 590.03		
 54.91   	 -40.69		  7.22   	 579.86		
 54.75   	 -35.61		  9.54   	 493.39		
 54.61   	 -30.52		 11.52   	 396.74		
 54.49   	 -40.69		 13.10   	 320.45		
 54.32   	 -50.86		 14.38   	 254.32		
 54.12   	 -55.95		 15.40   	 172.94		
 53.90   	 -50.86		 16.09   	  91.56		
 53.69   	 -45.78		 16.46   	   0.00		
 53.51   	 -40.69		 16.46   	 -96.64		
 53.35   	 -40.69		 16.07   	-172.94		
 53.18   	 -91.56		 15.38(E)	-452.69		
 52.82   	 -40.69		 13.57   	-264.50		
 52.65   	 -45.78		 12.51   	-279.75		
 52.47   	 -50.86		 11.39   	-284.84		
 52.27   	 -45.78		 10.25   	-269.58		
 52.09   	 -45.78		  9.18   	-228.89		
 51.90   	 -45.78		  8.26   	-172.94		
 51.72   	 -35.61		  7.57   	-101.73		
 51.58   	 -35.61		  7.16   	 -40.69		
 51.43   	 -35.61		  7.00   	  20.35		
 51.29   	 -40.69		  7.08   	  81.38		
 51.13   	 -45.78		  7.41   	 147.51		
 50.95   	 -40.69		  8.00   	 193.29		
 50.78   	 -35.61		  8.77   	 183.11		
 50.64   	 -35.61		  9.50   	 152.59		
 50.50   	 -30.52		 10.11   	 132.25		
 50.38   	 -35.61		 10.64   	 111.90		
 50.23   	 -45.78		 11.09   	 106.82		
 50.05   	 -40.69		 11.52   	 101.73		
 49.89   	 -45.78		 11.92   	  86.47		
