SAMPLE NUMBER:   5
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  II     	  III     	  DAO     	  DAO'		  RV     	  RV'		
-90.03   	-15.56   	 98.76   	-676.50		 52.41   	-396.74		
-100.10   	-23.80   	 96.05   	-600.20		 50.82   	-406.92		
-110.78   	-33.26   	 93.65   	-498.47		 49.20   	-417.09		
-119.02   	-40.59   	 91.66   	-376.40		 47.53   	-457.78		
-122.99   	-44.25   	 90.15   	-264.50		 45.70   	-493.39		
-121.15   	-43.03   	 89.09   	-172.94		 43.72   	-523.90		
-114.44   	-37.84   	 88.40   	 -96.64		 41.63   	-554.42		
-103.76   	-29.30   	 88.02   	 -66.12		 39.41   	-590.03		
-91.86   	-19.53   	 87.75   	 -86.47		 37.05   	-620.55		
-83.01   	-12.82   	 87.41   	-147.51		 34.57   	-656.15		
-79.96   	-11.90   	 86.82   	-233.98		 31.94   	-701.93		
-82.70   	-16.48   	 85.88   	-340.79		 29.14   	-757.88		
-88.20   	-22.89   	 84.52   	-447.61		 26.10   	-808.75		
-90.03   	-25.33   	 82.73   	-539.16		 22.87   	-824.00		
-83.31   	-20.14   	 80.57   	-600.20		 19.57   	-793.49		
-66.53   	 -7.93   	 78.17   	-625.63		 16.40   	-737.54		
-41.20   	  8.85   	 75.67   	-976.60		 13.45   	-1378.43		
 32.04   	 52.49   	 71.76   	-218.72		  7.93   	-645.98		
 79.65   	 80.26   	 70.88   	 -10.17		  5.35   	-544.25		
133.36   	113.22   	 70.84   	 142.42		  3.17   	-401.83		
187.68   	148.32   	 71.41   	 228.89		  1.57   	-249.24		
233.46   	180.97   	 72.33   	 239.06		  0.57   	-111.90		
261.23   	203.86   	 73.29   	 172.94		  0.12   	  15.26		
264.89   	209.35   	 73.98   	  55.95		  0.18   	 116.99		
241.70   	190.43   	 74.20   	 -61.04		  0.65   	 178.03		
195.92   	147.71   	 73.96   	-172.94		  1.36   	 244.15		
