SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  FA     	  FA'		
109.86   	200.81   	 10.62   	-249.24		 88.36   	-198.37		
124.21   	224.61   	  9.62   	-228.89		 87.57   	-198.37		
132.14   	241.09   	  8.71   	-213.63		 86.77   	-198.37		
129.09   	235.90   	  7.85   	-198.37		 85.98   	-188.20		
115.36   	203.55   	  7.06   	-188.20		 85.23   	-183.11		
 94.91   	150.15   	  6.31   	-172.94		 84.50   	-172.94		
 71.72   	 90.94   	  5.62   	-162.77		 83.80   	-167.85		
 46.69   	 39.67   	  4.96   	-142.42		 83.13   	-152.59		
 20.45   	  2.14   	  4.39   	-116.99		 82.52   	-147.51		
 -5.80   	-25.02   	  3.93   	 -81.38		 81.93   	-137.33		
-29.30   	-45.47   	  3.60   	 -45.78		 81.38   	-132.25		
-46.08   	-60.12   	  3.42   	 -15.26		 80.85   	-127.16		
-56.15   	-68.97   	  3.36   	   5.09		 80.35   	-122.07		
-63.17   	-73.24   	  3.38   	  20.35		 79.86   	-116.99		
-70.50   	-75.07   	  3.46   	  25.43		 79.39   	-116.99		
-78.74   	-76.60   	  3.56   	  10.17		 78.92   	-116.99		
-85.14   	-78.13   	  3.60   	 -15.26		 78.45   	-111.90		
-87.59   	-78.13   	  3.54   	 -55.95		 78.01   	-116.99		
-86.67   	-76.90   	  3.32   	 -86.47		 77.54   	-116.99		
-86.06   	-75.68   	  2.97   	-116.99		 77.07   	-111.90		
-89.42   	-77.51   	  2.50   	-132.25		 76.62   	-111.90		
-95.52   	-84.23   	  1.97   	-132.25		 76.17   	-111.90		
-101.62   	-95.83   	  1.44   	-122.07		 75.73   	-106.82		
-104.98   	-106.51   	  0.96   	-101.73		 75.30   	-106.82		
-101.62   	-104.37   	  0.55   	 -61.04		 74.87   	-101.73		
-76.90   	-73.55   	  0.31   	 -15.26		 74.47   	 -96.64		
 -3.97   	  3.97   	  0.24(D)	  40.69		 74.08   	 -96.64		
147.40   	142.21   	  0.41   	  96.64		 73.69   	 -91.56		
374.76   	339.05   	  0.79   	 157.68		 73.33   	 -86.47		
605.77   	569.15   	  1.42   	 213.63		 72.98   	 -81.38		
708.31   	787.05   	  2.28   	 330.62		 72.65   	 -86.47		
171.51   	999.45(R)	  3.60   	 325.53		 72.31   	 -76.30		
-344.54   	943.91   	  4.90   	 295.01		 72.00   	 -76.30		
-770.57   	782.78   	  6.08   	 254.32		 71.70   	 -71.21		
-950.32   	534.06   	  7.10   	 198.37		 71.41   	 -66.12		
-869.75   	236.82   	  7.89   	 142.42		 71.15   	 -61.04		
-640.26   	-36.32   	  8.46   	  86.47		 70.91   	 -61.04		
-403.75   	-203.55   	  8.81   	  35.61		 70.66   	 -55.95		
-240.17   	-220.34   	  8.95   	 -15.26		 70.44   	 -55.95		
-151.67   	-117.49   	  8.89   	 -55.95		 70.21   	 -50.86		
-104.06   	  9.77   	  8.67   	 -76.30		 70.01   	 -50.86		
-70.50   	 67.44   	  8.36   	 -86.47		 69.81   	 -50.86		
-44.25   	 30.21   	  8.02   	 -76.30		 69.60   	 -45.78		
-27.77   	-52.80   	  7.71   	 -25.43		 69.42   	 -50.86		
-19.53   	-112.92   	  7.61   	  66.12		 69.22   	 -45.78		
-13.73   	-117.80   	  7.87   	 147.51		 69.03   	 -45.78		
 -6.71   	-86.06   	  8.46   	 223.80		 68.85   	 -40.69		
  0.92   	-55.54   	  9.36   	 361.14		 68.69   	 -40.69		
  7.02   	-47.61   	 10.80   	 493.39		 68.52   	 -45.78		
 10.99   	-57.98   	 12.78   	 584.94		 68.34   	 -35.61		
 12.51   	-70.50   	 15.12   	 661.24		 68.20   	 -40.69		
 12.21   	-75.07   	 17.76   	 727.36		 68.04   	 -40.69		
 11.29   	-72.02   	 20.67   	 778.23		 67.87   	 -40.69		
 11.60   	-65.92   	 23.78   	 844.35		 67.71   	 -35.61		
 13.73   	-60.12   	 27.16   	 879.96		 67.57   	 -40.69		
 18.01   	-55.85   	 30.68   	1032.55		 67.41   	 -45.78		
 28.08   	-49.74   	 34.81   	1007.12		 67.22   	 -45.78		
 33.87   	-47.91   	 38.84   	 966.43		 67.04   	 -40.69		
 40.28   	-47.30   	 42.71   	 900.30		 66.88   	 -40.69		
 46.69   	-48.22   	 46.31   	 813.83		 66.71   	 -40.69		
 51.27   	-49.44   	 49.56   	 717.19		 66.55   	 -30.52		
 53.41   	-50.66   	 52.43   	 620.55		 66.43   	 -35.61		
 54.32   	-51.27   	 54.91   	 513.73		 66.29   	 -35.61		
 56.76   	-50.96   	 56.97   	 422.18		 66.14   	 -30.52		
 63.78   	-49.13   	 58.66   	 330.62		 66.02   	 -35.61		
 75.07   	-45.47   	 59.98   	 244.15		 65.88   	 -30.52		
 87.89   	-40.89   	 60.96   	 178.03		 65.76   	 -30.52		
 98.27   	-36.32   	 61.67   	 132.25		 65.64   	 -35.61		
104.68   	-32.65   	 62.20   	  91.56		 65.49   	 -35.61		
109.86   	-29.60   	 62.56   	  81.38		 65.35   	 -40.69		
117.19   	-25.94   	 62.89   	  71.21		 65.19   	 -35.61		
127.26   	-21.36   	 63.17   	  81.38		 65.05   	 -45.78		
137.94   	-17.09   	 63.50   	  91.56		 64.86   	 -45.78		
145.87   	-12.21   	 63.87   	 101.73		 64.68   	 -50.86		
148.32   	 -7.02   	 64.27   	 122.07		 64.48   	 -50.86		
146.18   	 -1.22   	 64.76   	 137.33		 64.27   	 -50.86		
142.21   	  5.19   	 65.31   	 147.51		 64.07   	 -45.78		
138.85   	 11.90   	 65.90   	 157.68		 63.89   	 -30.52		
137.02   	 18.62   	 66.53   	 157.68		 63.76   	  -5.09		
135.50   	 25.33   	 67.16   	 152.59		 63.74(D)	  40.69		
133.36   	 32.65   	 67.77   	 167.85		 63.91   	 264.50		
126.34   	 47.00   	 68.44   	 167.85		 64.96   	 401.83		
121.77   	 53.71   	 69.11   	 157.68		 66.57   	 523.90		
116.88   	 61.65   	 69.75   	 162.77		 68.67   	 595.11		
111.39   	 72.02   	 70.40   	 147.51		 71.05   	 610.37		
104.37   	 84.53   	 70.99   	 147.51		 73.49   	 605.29		
 96.44   	 98.27   	 71.58   	 132.25		 75.91   	 574.77		
 86.67   	110.78   	 72.11   	 132.25		 78.21   	 559.51		
 74.16   	119.63   	 72.63   	 122.07		 80.45   	 523.90		
 58.90   	122.68   	 73.12   	 116.99		 82.54   	 493.39		
 42.11   	119.02   	 73.59   	 106.82		 84.52   	 442.52		
 25.63   	109.56   	 74.02   	 111.90		 86.29   	 396.74		
 12.21   	 95.52   	 74.47   	 106.82		 87.87   	 345.88		
  2.44   	 78.13   	 74.89   	  96.64		 89.26   	 320.45		
 -5.19   	 58.59   	 75.28   	 101.73		 90.54   	 295.01		
-12.21   	 39.06   	 75.69   	  96.64		 91.72   	 279.75		
-19.23   	 20.75   	 76.07   	  91.56		 92.84   	 259.41		
-27.16   	  4.27   	 76.44   	  76.30		 93.88   	 249.24		
-34.18   	-10.68   	 76.74   	  66.12		 94.87   	 228.89		
-39.06   	-24.72   	 77.01   	  45.78		 95.79   	 218.72		
-40.89   	-37.23   	 77.19   	  25.43		 96.66   	 213.63		
-39.67   	-46.39   	 77.29(S)	   0.00		 97.52   	 198.37		
-37.54   	-51.27   	 77.29   	 -20.35		 98.31   	 188.20		
-36.01   	-51.88   	 77.21   	 -55.95		 99.06   	 167.85		
-36.32   	-50.66   	 76.99   	 -86.47		 99.74   	 142.42		
-37.23   	-50.96   	 76.64   	-203.46		100.30   	 101.73		
-38.76   	-56.46   	 75.83   	-269.58		100.71   	  81.38		
-38.76   	-58.59   	 74.75   	-315.36		101.04   	  50.86		
-38.76   	-58.59   	 73.49   	-356.05		101.24   	  20.35		
-37.84   	-55.85   	 72.06   	-417.09		101.32(S)	 -10.17		
-35.10   	-51.57   	 70.40   	-437.43		101.28   	 -35.61		
-30.21   	-47.00   	 68.65   	-462.87		101.14   	 -55.95		
-24.41   	-43.33   	 66.80   	-508.65		100.92   	 -76.30		
-19.23   	-40.89   	 64.76   	-559.51		100.61   	 -96.64		
-16.48   	-40.28   	 62.52   	-615.46		100.22   	-106.82		
-14.34   	-39.98   	 60.06   	-645.98		 99.80   	-116.99		
-10.99   	-38.45   	 57.48   	-676.50		 99.33   	-127.16		
 -5.49   	-35.40   	 54.77   	-717.19		 98.82   	-132.25		
  0.61   	-31.43   	 51.90   	-747.71		 98.29   	-137.33		
  4.58   	-27.77   	 48.91   	-768.05		 97.74   	-132.25		
  4.88   	-26.25   	 45.84   	-778.23		 97.21   	-137.33		
  1.83   	-26.55   	 42.73   	-783.31		 96.66   	-137.33		
 -0.92   	-27.77   	 39.59   	-773.14		 96.11   	-137.33		
 -0.92   	-28.08   	 36.50   	-757.88		 95.56   	-137.33		
  1.83   	-26.55   	 33.47   	-727.36		 95.01   	-137.33		
  7.02   	-22.58   	 30.56   	-696.84		 94.47   	-137.33		
 13.43   	-15.56   	 27.77   	-656.15		 93.92   	-147.51		
 21.97   	 -5.49   	 25.15   	-615.46		 93.33   	-147.51		
 33.57   	  7.63   	 22.69   	-559.51		 92.74   	-152.59		
 47.91   	 25.02   	 20.45   	-513.73		 92.13   	-157.68		
 63.78   	 47.30   	 18.39   	-462.87		 91.50   	-167.85		
